Time,layout.dim,layout.data_offset,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7
1714455731.899482,[],0,0.0,7.074419278865493e-19,-7.736499537713826e-05,-7.736499537713826e-05,-0.28007736802101135,-0.28007736802101135,-0.28007736802101135,-0.28007736802101135
1714455731.9091487,[],0,0.0,7.675751589886204e-07,-7.659741822862998e-05,-2.6058812636620132e-06,-0.2800025939941406,-0.2800025939941406,-0.2800025939941406,-0.2800025939941406
1714455731.9190104,[],0,0.0,7.675751589886204e-07,-7.659741822862998e-05,-1.5156101653701626e-05,-0.28001514077186584,-0.28001514077186584,-0.28001514077186584,-0.28001514077186584
1714455731.9290516,[],0,0.0,7.675751589886204e-07,-7.659741822862998e-05,-1.5156101653701626e-05,-0.28001514077186584,-0.28001514077186584,-0.28001514077186584,-0.28001514077186584
1714455731.9390862,[],0,0.0,7.675751589886204e-07,-7.659741822862998e-05,-1.5156101653701626e-05,-0.28001511096954346,-0.28001511096954346,-0.28001511096954346,-0.28001511096954346
1714455731.9490879,[],0,0.0,7.074419278865493e-19,-7.736499537713826e-05,-8.991525828605518e-05,-0.2800898849964142,-0.2800898849964142,-0.2800898849964142,-0.2800898849964142
1714455731.9590597,[],0,0.0,7.074419278865493e-19,-7.736499537713826e-05,-8.991525828605518e-05,-0.2800898551940918,-0.2800898551940918,-0.2800898551940918,-0.2800898551940918
1714455731.969051,[],0,0.0,7.074419278865493e-19,-7.736499537713826e-05,-8.991525828605518e-05,-0.2800898253917694,-0.2800898253917694,-0.2800898253917694,-0.2800898253917694
1714455731.9790254,[],0,0.0,7.074419278865493e-19,-5.068291648058221e-05,-6.323317938949913e-05,-0.2800631523132324,-0.2800631523132324,-0.2800631523132324,-0.2800631523132324
1714455731.9890833,[],0,0.0,7.074419278865493e-19,-5.068291648058221e-05,-6.323317938949913e-05,-0.28006312251091003,-0.28006312251091003,-0.28006312251091003,-0.28006312251091003
1714455731.9991355,[],0,0.0,7.074419278865493e-19,-5.068291648058221e-05,-7.578798977192491e-05,-0.28007563948631287,-0.28007563948631287,-0.28007563948631287,-0.28007563948631287
1714455732.0090559,[],0,0.0,7.074419278865493e-19,-5.068291648058221e-05,-7.578798977192491e-05,-0.2800755500793457,-0.2800755500793457,-0.2800755500793457,-0.2800755500793457
1714455732.019169,[],0,0.0,7.074419278865493e-19,-6.402281724149361e-05,-8.912789053283632e-05,-0.28008875250816345,-0.28008875250816345,-0.28008875250816345,-0.28007593750953674
1714455732.029721,[],0,0.0,7.074419278865493e-19,-5.068291648058221e-05,-0.00016232943744398654,-0.28016188740730286,-0.28016188740730286,-0.2800833582878113,-0.2800705134868622
1714455732.0390904,[],0,0.0,7.074419278865493e-19,-3.734529309440404e-05,-0.0001615461806068197,-0.28016090393066406,-0.28016090393066406,-0.2800823748111725,-0.2800823748111725
1714455732.0490382,[],0,0.0,7.074419278865493e-19,-1.0676887541194446e-05,-0.00014742712664883584,-0.2801465690135956,-0.2801465690135956,-0.280068039894104,-0.280068039894104
1714455732.0590334,[],0,0.0,7.074419278865493e-19,-1.0676887541194446e-05,-0.00014742712664883584,-0.2801465690135956,-0.2801465690135956,-0.280068039894104,-0.280068039894104
1714455732.0690527,[],0,0.0,7.074419278865493e-19,-7.47135272831656e-05,-0.000211463775485754,-0.2802104949951172,-0.2802104949951172,-0.2801319658756256,-0.2801319658756256
