Time,layout.dim,layout.data_offset,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8
1692168252.8084536,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2130399942398071,-0.05792993679642677,-4.10339879989624,0.0,0.0
1692168252.8138688,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2541600465774536,-0.059893663972616196,-4.10339879989624,0.0,0.0
1692168252.818484,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2284599542617798,-0.05866633728146553,-4.10339879989624,0.0,0.0
1692168252.8234613,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2695800065994263,-0.060630060732364655,-4.10339879989624,0.0,0.0
1692168252.8284433,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2592999935150146,-0.06013913080096245,-4.10339879989624,0.0,0.0
1692168252.8334458,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2181799411773682,-0.058175403624773026,-4.10339879989624,0.0,0.0
1692168252.8384593,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2592999935150146,-0.06013913080096245,-4.10339879989624,0.0,0.0
1692168252.8435602,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.279860019683838,-0.06112099438905716,-4.10339879989624,0.0,0.0
1692168252.8484426,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2644399404525757,-0.0603845976293087,-4.10339879989624,0.0,0.0
1692168252.8534327,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.3055599927902222,-0.06234832480549812,-4.10339879989624,0.0,0.0
1692168252.858436,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2695800065994263,-0.060630060732364655,-4.10339879989624,0.0,0.0
1692168252.8634326,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2387399673461914,-0.05915726721286774,-4.10339879989624,0.0,0.0
1692168252.8684332,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2027599811553955,-0.05743900686502457,-4.10339879989624,0.0,0.0
1692168252.8734698,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.279860019683838,-0.06112099438905716,-4.10339879989624,0.0,0.0
1692168252.8784554,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.249019980430603,-0.05964820086956024,-4.10339879989624,0.0,0.0
1692168252.8834043,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.3158400058746338,-0.06283925473690033,-4.10339879989624,0.0,0.0
1692168252.8884172,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2952799797058105,-0.06185739114880562,-4.10339879989624,0.0,0.0
1692168252.8934157,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2027599811553955,-0.05743900686502457,-4.10339879989624,0.0,0.0
1692168252.8984253,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.249019980430603,-0.05964820086956024,-4.10339879989624,0.0,0.0
1692168252.9034183,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2027599811553955,-0.05743900686502457,-4.10339879989624,0.0,0.0
1692168252.908466,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.243880033493042,-0.05940273404121399,-4.10339879989624,0.0,0.0
1692168252.9134164,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2952799797058105,-0.06185739114880562,-4.10339879989624,0.0,0.0
1692168252.9184344,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2387399673461914,-0.05915726721286774,-4.10339879989624,0.0,0.0
1692168252.9234762,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.249019980430603,-0.05964820086956024,-4.10339879989624,0.0,0.0
1692168252.928451,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.3055599927902222,-0.06234832480549812,-4.10339879989624,0.0,0.0
1692168252.9335003,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2233200073242188,-0.05842087045311928,-4.10339879989624,0.0,0.0
1692168252.9384434,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2027599811553955,-0.05743900686502457,-4.10339879989624,0.0,0.0
1692168252.943462,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.243880033493042,-0.05940273404121399,-4.10339879989624,0.0,0.0
1692168252.9484506,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2284599542617798,-0.05866633728146553,-4.10339879989624,0.0,0.0
1692168252.9534197,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2181799411773682,-0.058175403624773026,-4.10339879989624,0.0,0.0
1692168252.9584253,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2130399942398071,-0.05792993679642677,-4.10339879989624,0.0,0.0
1692168252.9634206,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2387399673461914,-0.05915726721286774,-4.10339879989624,0.0,0.0
1692168252.9684472,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2592999935150146,-0.06013913080096245,-4.10339879989624,0.0,0.0
1692168252.9734368,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2233200073242188,-0.05842087045311928,-4.10339879989624,0.0,0.0
1692168252.9783974,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2027599811553955,-0.05743900686502457,-4.10339879989624,0.0,0.0
1692168252.983482,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2592999935150146,-0.06013913080096245,-4.10339879989624,0.0,0.0
1692168252.9884405,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2541600465774536,-0.059893663972616196,-4.10339879989624,0.0,0.0
1692168252.9934268,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2130399942398071,-0.05792993679642677,-4.10339879989624,0.0,0.0
1692168252.9984417,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2387399673461914,-0.05915726721286774,-4.10339879989624,0.0,0.0
1692168253.0034244,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2747199535369873,-0.06087552756071091,-4.10339879989624,0.0,0.0
1692168253.00843,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2027599811553955,-0.05743900686502457,-4.10339879989624,0.0,0.0
1692168253.013426,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.3107000589370728,-0.06259378790855408,-4.10339879989624,0.0,0.0
1692168253.0184293,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2130399942398071,-0.05792993679642677,-4.10339879989624,0.0,0.0
1692168253.023416,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.3261200189590454,-0.06333018839359283,-4.10339879989624,0.0,0.0
1692168253.0284345,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2336000204086304,-0.058911800384521484,-4.10339879989624,0.0,0.0
1692168253.0334384,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.279860019683838,-0.06112099438905716,-4.10339879989624,0.0,0.0
1692168253.0384567,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.249019980430603,-0.05964820086956024,-4.10339879989624,0.0,0.0
1692168253.043429,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2644399404525757,-0.0603845976293087,-4.10339879989624,0.0,0.0
1692168253.0484366,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2695800065994263,-0.060630060732364655,-4.10339879989624,0.0,0.0
1692168253.0534458,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2284599542617798,-0.05866633728146553,-4.10339879989624,0.0,0.0
1692168253.0584207,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2592999935150146,-0.06013913080096245,-4.10339879989624,0.0,0.0
1692168253.0634491,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2747199535369873,-0.06087552756071091,-4.10339879989624,0.0,0.0
1692168253.0684597,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.279860019683838,-0.06112099438905716,-4.10339879989624,0.0,0.0
1692168253.0734313,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.207900047302246,-0.05768447369337082,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.0784407,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2541600465774536,-0.059893663972616196,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.083453,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.249019980430603,-0.05964820086956024,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.0884762,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2952799797058105,-0.06185739114880562,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.0934417,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2747199535369873,-0.06087552756071091,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.098425,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.3466800451278687,-0.06431204825639725,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.103436,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2027599811553955,-0.05743900686502457,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.1084714,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.1924799680709839,-0.05694807320833206,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.1134272,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.3209799528121948,-0.06308472156524658,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.1184006,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.207900047302246,-0.05768447369337082,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.123444,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2747199535369873,-0.06087552756071091,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.1284306,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.3158400058746338,-0.06283925473690033,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.133484,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.3055599927902222,-0.06234832480549812,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.1384223,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.279860019683838,-0.06112099438905716,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.1434116,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.279860019683838,-0.06112099438905716,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.1484864,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2284599542617798,-0.05866633728146553,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.1534247,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2387399673461914,-0.05915726721286774,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.158441,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.3107000589370728,-0.06259378790855408,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.1635032,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.249019980430603,-0.05964820086956024,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.168425,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.249019980430603,-0.05964820086956024,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.1734338,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2284599542617798,-0.05866633728146553,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.1784477,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2592999935150146,-0.06013913080096245,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.1834068,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2387399673461914,-0.05915726721286774,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.188426,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2233200073242188,-0.05842087045311928,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.1934402,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2747199535369873,-0.06087552756071091,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.1984363,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.243880033493042,-0.05940273404121399,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.2034535,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2233200073242188,-0.05842087045311928,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.2084749,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.249019980430603,-0.05964820086956024,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.2134318,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.3055599927902222,-0.06234832480549812,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.2184017,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.156499981880188,-0.05522981286048889,-4.10493278503418,-0.0011789350537583232,0.0
1692168253.2234504,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2592999935150146,-0.06013913080096245,-4.106466770172119,-0.0024910734500736,0.0
1692168253.228426,[],0,0.0,1.0,-0.05999999865889549,0.0,-1.2695800065994263,-0.060630060732364655,-4.106466770172119,-0.0024910734500736,0.0
