,mean_paretic,std_paretic,mean_nonparetic,std_nonparetic,symmetry
toeClearance,,,,,
stride,,,,,
GRFmax,1091.1759959253773,93.7702183947096,776.2544378465221,241.26297792882946,58.43194885291565
GRFimpulse,877.5083225404343,887.197969422058,515.6227380455764,490.4501149840533,62.98821032468521
stanceTime,1.330956138413528,1.2193102987298725,1.3032355231623496,0.9347513767713355,50.52616929237782
