time,vout
26.40302741,0.112
26.40553513,0.114
26.40866786,0.116
26.41181885,0.12
26.41500072,0.122
26.41798934,0.132
26.42112895,0.14
26.42425278,0.144
26.42737719,0.144
26.430501,0.146
26.4336898,0.15
26.43685054,0.148
26.43999502,0.146
26.44304637,0.146
26.44616439,0.142
26.44931728,0.134
26.45248537,0.12
26.45553635,0.116
26.45874478,0.116
26.46186843,0.114
26.46508934,0.112
26.46811493,0.102
26.47121185,0.102
26.47430339,0.1
26.47743843,0.102
26.48055048,0.102
26.48370837,0.102
26.48680785,0.102
26.49005121,0.108
26.49315567,0.11
26.4962793,0.114
26.499349,0.114
26.5024798,0.112
26.50561378,0.114
26.50871835,0.112
26.51183693,0.114
26.51499447,0.11
26.5181685,0.114
26.5212801,0.11
26.52442513,0.11
26.52757704,0.108
26.53064663,0.112
26.53377452,0.114
26.53692884,0.112
26.54004832,0.114
26.54319476,0.116
26.546376,0.116
26.54952752,0.122
26.55271069,0.126
26.55571361,0.14
26.558926,0.146
26.56187859,0.22
26.56501434,0.256
26.56809865,0.282
26.57127819,0.306
26.57436895,0.338
26.57751676,0.358
26.58064313,0.376
26.58386197,0.384
26.58693278,0.392
26.59003924,0.402
26.59320169,0.414
26.59632417,0.426
26.599458,0.432
26.60260061,0.442
26.60588752,0.452
26.60887411,0.46
26.61198171,0.47
26.61520104,0.482
26.61827245,0.496
26.62137771,0.506
26.62454576,0.516
26.62769693,0.528
26.63080715,0.542
26.63395704,0.558
26.63710152,0.568
26.64020273,0.58
26.64335093,0.588
26.64653947,0.594
26.6496138,0.6
26.65280372,0.608
26.65588406,0.614
26.65899874,0.616
26.66210491,0.62
26.66528343,0.622
26.66838459,0.624
26.67153572,0.624
26.67466095,0.626
26.67782015,0.626
26.68093745,0.626
26.68406313,0.626
26.68719248,0.624
26.69032058,0.622
26.6934526,0.62
26.69666539,0.618
26.69973624,0.614
26.70287504,0.616
26.706022,0.616
26.70920617,0.612
26.71226661,0.61
26.71547554,0.612
26.71852939,0.612
26.72166921,0.612
26.72482956,0.612
26.72793769,0.612
26.73104245,0.612
26.73421215,0.612
26.73733324,0.612
26.7404833,0.612
26.74360285,0.614
26.74672363,0.614
26.74993617,0.614
26.75304315,0.614
26.75616128,0.616
26.7592615,0.616
26.76240461,0.616
26.76562771,0.616
26.76874495,0.616
26.77183758,0.618
26.77501002,0.616
26.77807408,0.618
26.78120369,0.618
26.78433693,0.616
26.78746245,0.618
26.79057045,0.616
26.79379678,0.616
26.79688656,0.616
26.79997347,0.616
26.80309911,0.616
26.8061948,0.614
26.80934006,0.612
26.81252798,0.61
26.81557173,0.61
26.81882039,0.606
26.82189358,0.6
26.82496608,0.598
26.82811265,0.594
26.83125809,0.592
26.83439711,0.592
26.83753052,0.588
26.8407065,0.584
26.84386952,0.578
26.8469328,0.566
26.85005861,0.564
26.85324161,0.556
26.85634772,0.544
26.85960924,0.534
26.862599,0.526
26.86570395,0.518
26.8688411,0.506
26.87196535,0.5
26.87510315,0.486
26.87821771,0.478
26.88135617,0.47
26.88453448,0.458
26.88761293,0.448
26.89073282,0.444
26.89396348,0.442
26.89702302,0.442
26.90012709,0.444
26.90325359,0.444
26.90637172,0.448
26.90953965,0.456
26.91266119,0.464
26.91576839,0.47
26.91890037,0.48
26.92204217,0.488
26.92519526,0.496
26.92830441,0.508
26.93148432,0.516
26.93457513,0.524
26.93769663,0.53
26.94085647,0.538
26.94402884,0.54
26.94713841,0.55
26.95020161,0.55
26.95334593,0.552
26.95645113,0.552
26.95962134,0.552
26.96273645,0.554
26.96589078,0.554
26.96902306,0.554
26.97211398,0.552
26.97523371,0.554
26.97837597,0.556
26.98154423,0.562
26.98464791,0.564
26.98787654,0.564
26.99097058,0.568
26.99400296,0.57
26.99714704,0.574
27.00026548,0.576
27.00340256,0.578
27.00650411,0.582
27.00964678,0.584
27.01286372,0.586
27.01593311,0.588
27.01908524,0.594
27.022182,0.596
27.02530673,0.598
27.02845839,0.6
27.03162402,0.602
27.0347311,0.606
27.03786763,0.608
27.04100106,0.612
27.04410595,0.616
27.04724382,0.62
27.05041896,0.622
27.05349235,0.624
27.05668487,0.626
27.05975559,0.632
27.06293259,0.638
27.06609159,0.64
27.06916997,0.644
27.07231565,0.65
27.07546217,0.658
27.07858915,0.662
27.08171623,0.668
27.08487961,0.672
27.08799889,0.676
27.09119448,0.68
27.09425726,0.684
27.09738258,0.688
27.10055889,0.69
27.10367189,0.698
27.10677439,0.708
27.10999398,0.71
27.11303491,0.714
27.11616506,0.718
27.11929824,0.724
27.12245778,0.732
27.1255718,0.74
27.12870328,0.746
27.13188647,0.756
27.13499908,0.762
27.13813363,0.766
27.14124895,0.77
27.14437291,0.778
27.14752811,0.786
27.15064296,0.79
27.153801,0.802
27.15695015,0.81
27.16004126,0.822
27.16317335,0.83
27.16630235,0.84
27.16950648,0.854
27.1725698,0.862
27.1756753,0.87
27.17879991,0.876
27.18195117,0.884
27.18506752,0.892
27.18825993,0.898
27.19134121,0.904
27.19448284,0.91
27.19760689,0.918
27.20077106,0.926
27.20394254,0.934
27.20700311,0.938
27.210183,0.944
27.21333523,0.946
27.21641228,0.95
27.21957776,0.952
27.22270243,0.956
27.22578787,0.958
27.22898728,0.96
27.23206954,0.966
27.23522128,0.968
27.23832159,0.972
27.24146891,0.974
27.2445955,0.976
27.24774165,0.978
27.25092809,0.98
27.25396443,0.982
27.25708708,0.986
27.26059584,0.986
27.26361634,0.988
27.26673837,0.992
27.2700148,0.996
27.27306117,0.998
27.27616074,1.0
27.27933069,1.0
27.28253278,1.002
27.28552628,1.002
27.28864682,1.002
27.29183572,1.002
27.29495498,1.002
27.29806069,1.002
27.30120315,1.0
27.30434811,0.998
27.30743595,0.996
27.31057282,0.992
27.31375497,0.986
27.31686846,0.982
27.31997493,0.978
27.32316167,0.974
27.32635263,0.968
27.32941219,0.962
27.33257723,0.954
27.33565561,0.944
27.33884061,0.936
27.34191256,0.922
27.34503769,0.912
27.34819622,0.898
27.3513043,0.886
27.35444498,0.874
27.35758706,0.854
27.360546,0.84
27.3635875,0.826
27.36673828,0.804
27.36985706,0.786
27.37298258,0.782
27.37611741,0.766
27.37927906,0.752
27.38243937,0.74
27.38551698,0.732
27.38862224,0.724
27.39178428,0.712
27.39492159,0.702
27.39801669,0.702
27.40115139,0.696
27.40433552,0.692
27.40739741,0.692
27.41055269,0.688
27.41372067,0.688
27.41681845,0.686
27.41999354,0.684
27.42304821,0.678
27.42619946,0.674
27.42929622,0.666
27.43246198,0.66
27.43556598,0.65
27.43871541,0.638
27.44181619,0.63
27.44499921,0.624
27.44808839,0.614
27.45123041,0.608
27.45435558,0.602
27.45748822,0.588
27.46067128,0.576
27.46375295,0.566
27.46693019,0.552
27.47015476,0.528
27.47319708,0.502
27.47629415,0.47
27.47942228,0.416
27.48262774,0.386
27.48570713,0.348
27.48882315,0.32
27.49195422,0.274
27.49507613,0.246
27.498199,0.22
27.50135187,0.202
27.50451078,0.182
27.507589,0.17
27.51068161,0.164
27.51384656,0.158
27.51701321,0.142
27.52005189,0.14
27.52321422,0.138
27.52631171,0.138
27.52943272,0.136
27.53256974,0.134
27.53566706,0.134
27.53879026,0.134
27.54194852,0.134
27.54503808,0.136
27.54822926,0.134
27.55127161,0.132
27.55439715,0.138
27.557536,0.13
27.56063658,0.13
27.5637943,0.132
27.56696717,0.126
27.57008267,0.128
27.57313374,0.126
27.57624078,0.124
27.57935554,0.11
27.58246993,0.108
27.58557667,0.108
27.58870398,0.11
27.59181906,0.108
27.59503211,0.108
27.59809563,0.106
27.6012053,0.106
27.60431939,0.104
27.60741943,0.104
27.61054356,0.106
27.61367126,0.104
27.61677671,0.106
27.61997158,0.104
27.62302771,0.104
27.62611143,0.104
27.62922324,0.104
27.63236395,0.104
27.63546419,0.102
27.63863541,0.104
27.64169589,0.102
27.64479702,0.102
27.64795989,0.102
27.65109002,0.102
27.65423071,0.102
27.65727196,0.104
