case_num,RH,folder_name,sample_num,time,pred_time,explained_variance_score,mean_absolute_error,mean_squared_error,RMSE_KPA,R2
20,10,Right_1,2549,44.030768632888794,112.66287755966187,0.98281,1.69202,3.69781,38.25628,0.98280
20,10,Right_2,2533,50.390721797943115,114.19964933395386,0.98132,1.73882,3.99380,39.75789,0.98132
20,10,Right_3,2618,53.814942359924316,207.6822521686554,0.97440,1.98309,5.47724,46.55981,0.97440
20,10,Right_4,2394,39.76759576797485,106.40138864517212,0.98663,1.41040,2.87422,33.72798,0.98663
20,10,Right_5,2599,53.16181254386902,134.68220496177673,0.99109,1.02342,1.93967,27.70728,0.99109
20,10,Right_6,2604,48.62877798080444,129.1668655872345,0.98122,1.66191,4.05107,40.04194,0.98122
20,10,Right_7,2636,53.48029851913452,176.0950427055359,0.98013,1.80502,4.26317,41.07677,0.98013
20,10,Right_8,2524,150.36217880249023,374.8760907649994,0.97919,1.71068,4.45302,41.98144,0.97919
