time,vout
49.04141427,0.506
49.04453764,0.588
49.04766416,0.67
49.05076717,0.73
49.05390627,0.774
49.05701655,0.808
49.06012236,0.832
49.06329006,0.848
49.06638195,0.852
49.06949801,0.852
49.07260858,0.846
49.07572356,0.84
49.07885566,0.834
49.08195351,0.82
49.08507075,0.812
49.08818679,0.8
49.09135425,0.79
49.09442034,0.784
49.09754888,0.782
49.10066499,0.78
49.10377254,0.782
49.10690027,0.784
49.11002319,0.786
49.11315566,0.786
49.11630071,0.788
49.11937849,0.79
49.1224934,0.794
49.12561179,0.8
49.12872482,0.802
49.1318626,0.804
49.13498679,0.812
49.13811245,0.814
49.14121445,0.82
49.14436362,0.828
49.14745897,0.832
49.15058438,0.838
49.15370734,0.842
49.1568189,0.846
49.1599324,0.848
49.16305441,0.852
49.16618999,0.85
49.16936393,0.85
49.17242625,0.848
49.17553273,0.846
49.17865993,0.846
49.18178895,0.844
49.18489749,0.842
49.1880074,0.84
49.1911363,0.836
49.1943099,0.834
49.19737973,0.832
49.20050025,0.832
49.20364903,0.83
49.20675279,0.828
49.20986636,0.826
49.21299651,0.824
49.21610591,0.822
49.21924734,0.82
49.22237529,0.818
49.22549325,0.816
49.2286631,0.814
49.23176508,0.81
49.23487806,0.81
49.23802023,0.81
49.24115356,0.808
49.24428243,0.808
49.24742417,0.808
49.25064782,0.808
49.25366836,0.808
49.25679429,0.806
49.25991638,0.806
49.26304699,0.806
49.2662398,0.808
49.26935508,0.806
49.2724821,0.806
49.27564901,0.806
49.27875456,0.806
49.28187029,0.806
49.2847248,0.804
49.28783771,0.804
49.29094506,0.806
49.29406271,0.804
49.2971306,0.804
49.30024206,0.802
49.30338114,0.804
49.30647129,0.802
49.30958243,0.8
49.31270923,0.8
49.31582619,0.8
49.31893529,0.8
49.32203369,0.8
49.32516982,0.798
49.32833364,0.796
49.33140082,0.794
49.33451936,0.794
49.33764758,0.79
49.34076216,0.786
49.34389606,0.784
49.34702314,0.782
49.3501491,0.78
49.35325005,0.778
49.35638916,0.776
49.35948836,0.774
49.36261179,0.77
49.36572538,0.766
49.36885056,0.764
49.37196154,0.758
49.37509138,0.756
49.3782111,0.752
49.38134291,0.746
49.38444071,0.742
49.38756756,0.732
49.39069156,0.726
49.39381692,0.72
49.39692743,0.712
49.40006753,0.704
49.40316766,0.702
49.40634493,0.696
49.40944314,0.69
49.41257436,0.688
49.41567943,0.682
49.41879143,0.678
49.42191036,0.676
49.42503042,0.672
49.42815608,0.666
49.43127295,0.664
49.43440325,0.66
49.43748645,0.656
49.44059475,0.652
49.44371712,0.65
49.44682986,0.646
49.44993221,0.644
49.45304688,0.64
49.45616021,0.638
49.45926521,0.636
49.46241408,0.636
49.4655019,0.632
49.46862169,0.63
49.47172317,0.628
49.47484892,0.626
49.47795443,0.626
49.48107942,0.624
49.48418812,0.62
49.48735649,0.618
49.49044175,0.618
49.4935563,0.616
49.49666762,0.614
49.49978997,0.612
49.50290977,0.61
49.50604734,0.61
49.50913828,0.606
49.51224988,0.602
49.51542047,0.6
49.51848799,0.598
49.52161266,0.598
49.5247128,0.598
49.52783747,0.598
49.53094643,0.596
49.53405919,0.598
49.53717799,0.598
49.54035716,0.596
49.54341588,0.598
49.54652936,0.598
49.54963938,0.596
49.55275005,0.596
49.55586947,0.596
49.55898651,0.596
49.56211627,0.594
49.56522091,0.592
49.56836621,0.592
49.57145227,0.592
49.57457305,0.588
49.57767669,0.586
49.58079686,0.586
49.58389562,0.582
49.58699917,0.58
49.59012469,0.58
49.59324845,0.578
49.59637249,0.578
49.59944673,0.572
49.60256066,0.568
49.60568436,0.568
49.60880627,0.566
49.61190821,0.564
49.61502923,0.562
49.61813345,0.562
49.62126003,0.56
49.62442719,0.558
49.62748225,0.556
49.63062191,0.552
49.63372882,0.548
49.63685258,0.546
49.63995838,0.542
49.64308597,0.536
49.64619908,0.532
49.6493789,0.526
49.65244175,0.518
49.65556158,0.516
49.6586834,0.51
49.66180951,0.502
49.66491982,0.492
49.6680294,0.49
49.67113205,0.488
49.67425354,0.48
49.6773811,0.466
49.68047132,0.458
49.68361106,0.45
49.68671151,0.446
49.68982067,0.438
49.69294838,0.428
49.69606319,0.422
49.69916473,0.408
49.70228543,0.402
49.70544356,0.396
49.70851554,0.388
49.7116406,0.382
49.71473951,0.368
49.71785105,0.36
49.72097349,0.354
49.72408677,0.342
49.72720714,0.336
49.7303206,0.33
49.73344956,0.326
49.73654825,0.316
49.7396471,0.314
49.74277253,0.306
49.74590851,0.304
49.74899369,0.304
49.7521213,0.296
49.75521877,0.296
49.75838901,0.29
49.76145997,0.286
49.76457273,0.282
49.76771167,0.278
49.77082404,0.272
49.77392656,0.264
49.77704419,0.26
49.78016143,0.256
49.78327642,0.252
49.78640047,0.246
49.78951816,0.238
49.79262512,0.232
49.79574995,0.226
49.7988461,0.212
49.80196273,0.21
49.80507923,0.208
49.80817808,0.2
49.81130316,0.192
49.81445819,0.184
49.81752966,0.18
49.82065032,0.176
49.82375436,0.172
49.82688004,0.166
49.83000475,0.164
49.83311516,0.16
49.83622499,0.158
49.83939993,0.156
49.84246847,0.158
49.84556208,0.154
49.84868295,0.152
49.85179336,0.15
49.85490773,0.148
49.85801186,0.142
49.86112262,0.142
49.86422467,0.142
49.8674039,0.14
49.87047192,0.138
49.87357779,0.138
49.8766929,0.138
49.87980799,0.132
49.88292949,0.128
49.88605599,0.13
49.88916067,0.13
49.89226721,0.128
49.89541703,0.128
49.89850166,0.126
49.90161375,0.124
49.90473269,0.124
49.90784284,0.12
49.91096956,0.12
49.91409836,0.118
49.91720106,0.116
49.92032134,0.116
49.9234733,0.116
49.92655084,0.116
49.92967312,0.116
49.93277262,0.116
49.93590775,0.116
49.93901112,0.116
49.94212701,0.116
49.94524636,0.114
49.94842151,0.114
49.95148941,0.114
49.95459614,0.114
49.9577389,0.114
49.96082342,0.112
49.96394171,0.112
49.96706364,0.112
49.97017593,0.11
49.97330232,0.104
49.97642714,0.102
49.97952692,0.1
49.98263695,0.1
49.98574656,0.1
49.98885912,0.1
49.9919843,0.1
49.99508319,0.1
49.99818499,0.1
50.00321238,0.1
50.00443014,0.1
50.00753303,0.1
50.01063973,0.1
50.01376192,0.1
50.01687443,0.1
50.02000254,0.1
50.02310851,0.1
50.0262113,0.1
50.02932391,0.1
50.03249425,0.1
50.03554073,0.1
50.03866225,0.1
50.04176228,0.1
50.04488078,0.1
50.04799058,0.1
50.05110512,0.1
50.05421795,0.1
50.0573448,0.1
50.06049479,0.1
50.06360349,0.1
50.06678038,0.1
50.06985041,0.1
50.07298353,0.1
50.07614949,0.1
50.07924606,0.1
50.08236916,0.1
50.0854866,0.1
50.08862845,0.1
50.0917813,0.1
50.09487495,0.1
50.09804749,0.1
50.10118051,0.1
50.10431619,0.1
50.1071481,0.1
50.11026629,0.1
50.1133748,0.1
50.11655334,0.1
50.11955282,0.1
50.12265751,0.1
50.12576419,0.1
50.12888779,0.1
50.13199245,0.1
50.13509897,0.1
50.13820101,0.1
50.14132308,0.1
50.14445388,0.1
50.14755604,0.102
50.15066693,0.1
50.15377393,0.1
50.15688058,0.102
50.15999269,0.1
50.16309545,0.1
50.16620851,0.1
50.16933401,0.102
50.17245615,0.102
50.17555625,0.102
50.1786641,0.102
50.18177892,0.102
50.18489477,0.102
50.18801266,0.102
50.19113719,0.102
50.1942479,0.102
50.19734873,0.102
50.2005231,0.102
50.20356297,0.102
50.20667523,0.102
50.20979008,0.102
50.21289297,0.102
50.21600964,0.102
50.21911406,0.102
50.22223593,0.102
50.22533588,0.102
50.22846451,0.102
50.23155386,0.102
50.23467551,0.102
50.23779123,0.102
50.24089723,0.102
50.24402147,0.104
50.24712214,0.104
50.2502334,0.104
50.25334649,0.102
50.25652512,0.102
50.25959001,0.102
50.26271608,0.102
50.26582499,0.102
50.26894584,0.1
50.27205706,0.1
50.27516888,0.102
50.27828128,0.102
50.28139019,0.1
50.2845283,0.1
50.28760615,0.1
50.29073123,0.1
50.29382532,0.1
50.29693449,0.1
50.30004814,0.1
50.30315841,0.1
50.30626901,0.1
50.30937041,0.102
50.31253942,0.102
50.31560734,0.112
50.31870547,0.12
50.32182903,0.118
50.32493388,0.118
50.32805401,0.116
50.33116679,0.114
50.33427995,0.114
50.33739227,0.11
50.34054554,0.11
50.34362016,0.102
50.34673601,0.102
50.34983204,0.102
50.35292365,0.102
50.35604928,0.1
50.35913351,0.1
50.36223519,0.1
50.36533342,0.1
50.36848582,0.1
50.37153767,0.1
50.37464364,0.102
50.37774514,0.1
50.38085793,0.102
50.38395153,0.1
50.38704182,0.1
50.39014269,0.1
50.39324536,0.1
50.3963608,0.1
50.39949106,0.1
50.40256417,0.1
50.40566975,0.1
50.40874873,0.1
50.41184153,0.1
50.41493754,0.1
50.4180538,0.1
50.42114986,0.1
50.42425525,0.1
50.42736782,0.102
50.43049225,0.1
50.43356432,0.1
50.43667532,0.1
50.43976449,0.1
50.44287712,0.102
50.44598291,0.1
50.44907575,0.102
50.45218204,0.1
50.45527927,0.1
50.45836929,0.1
50.46149841,0.102
50.4646008,0.102
50.46769019,0.1
50.47080123,0.1
50.47390529,0.102
50.47699991,0.1
50.48010199,0.1
50.48320249,0.1
50.48631543,0.1
50.48940306,0.1
50.49256543,0.1
50.49562858,0.1
50.49871378,0.1
50.50180754,0.1
50.50491475,0.1
50.5080176,0.1
50.51110758,0.1
50.51422019,0.1
50.51732136,0.102
50.52043186,0.1
50.52356999,0.1
50.52669408,0.1
50.52984616,0.1
50.53293014,0.1
50.53606564,0.1
50.53917821,0.1
50.54230303,0.1
50.54542521,0.1
50.54857062,0.1
50.55179006,0.1
50.5548943,0.1
50.5579864,0.1
50.5608188,0.1
50.5639236,0.1
50.56703645,0.1
50.57014069,0.1
50.57320017,0.1
50.57629653,0.1
50.57939865,0.1
50.58252269,0.1
50.5856069,0.1
50.58871673,0.1
50.5918306,0.1
50.59492332,0.1
50.5980316,0.1
50.6011201,0.102
50.60423054,0.1
50.60733973,0.1
50.61041984,0.1
50.61357749,0.102
50.61663982,0.102
50.61977199,0.11
50.62287782,0.114
50.62598025,0.128
50.62910869,0.132
50.6322174,0.138
50.63533071,0.156
50.63844373,0.214
50.6415879,0.24
50.64466815,0.3
50.6477873,0.378
50.65091714,0.462
50.65403345,0.532
50.65715867,0.586
50.66027806,0.642
50.66340352,0.684
50.66652947,0.712
50.66963186,0.732
50.67275584,0.748
50.67589304,0.756
50.67900591,0.76
50.68211614,0.76
50.68522397,0.758
50.68833649,0.76
50.69146395,0.756
50.69458817,0.748
50.69771612,0.742
50.70082591,0.736
50.70393488,0.736
50.70706438,0.734
50.71017571,0.736
50.7133061,0.738
50.71642334,0.738
50.71953721,0.742
50.72265916,0.744
50.72576562,0.746
50.72887375,0.748
50.73199921,0.754
50.73510432,0.76
50.73822884,0.764
50.74135903,0.77
50.74446797,0.776
50.7475969,0.78
50.75070147,0.784
50.75381569,0.788
50.75692419,0.796
50.76004651,0.802
50.76316988,0.806
50.76627653,0.81
50.76940041,0.81
50.77254591,0.814
50.7756476,0.816
50.77879241,0.816
50.78189669,0.816
50.78499282,0.818
50.78812745,0.818
50.79123784,0.82
50.7943703,0.822
50.79755223,0.822
50.80063534,0.822
50.80372754,0.824
50.80685278,0.824
50.80999108,0.824
50.8130898,0.826
50.81622153,0.828
50.81933408,0.828
50.82244758,0.83
50.82560856,0.83
50.82868808,0.832
50.83181216,0.832
50.83493197,0.832
50.83805482,0.832
50.8411811,0.83
50.84430712,0.832
50.8474359,0.832
50.85055706,0.83
50.85368773,0.832
50.85680377,0.834
50.8599308,0.834
50.86305482,0.836
50.86616684,0.836
50.86928412,0.836
50.8724106,0.838
50.87555843,0.838
50.87866138,0.838
50.8817888,0.838
50.88489621,0.838
50.88802234,0.838
50.8911496,0.838
50.89429036,0.838
50.89738219,0.838
50.90056362,0.838
50.9036333,0.838
50.90675351,0.836
50.90987771,0.834
50.91300273,0.832
50.9161273,0.832
50.91923386,0.83
50.92236834,0.83
50.9254674,0.828
50.92863315,0.828
50.93171865,0.828
50.93484156,0.826
50.93796401,0.824
50.94107684,0.822
50.94419745,0.818
50.94732136,0.816
50.95044927,0.814
50.95357484,0.81
50.95667369,0.808
50.9597973,0.804
50.96290323,0.8
50.96603095,0.798
50.96914188,0.794
50.97227052,0.792
50.97539527,0.788
50.97857177,0.784
50.98164999,0.78
50.98476628,0.778
50.98788582,0.772
50.99100153,0.766
50.99414012,0.764
50.99722814,0.76
51.00035247,0.754
51.00346749,0.75
51.00663541,0.744
51.0097074,0.734
51.01283023,0.726
51.0159676,0.722
51.01907734,0.716
51.02220599,0.71
51.02532564,0.706
51.02843308,0.694
51.03158362,0.688
51.03468334,0.68
51.03781145,0.674
51.0409358,0.666
51.04403991,0.658
51.04717049,0.654
51.05031216,0.65
51.05340516,0.642
51.05657947,0.636
51.05964223,0.63
51.06277401,0.626
51.06590078,0.622
51.06899878,0.62
51.07211551,0.612
51.07524819,0.602
51.07835121,0.6
51.08147117,0.594
51.08464936,0.592
51.08771493,0.59
51.09084316,0.588
51.09394762,0.586
51.09705649,0.586
51.10018014,0.584
51.10330812,0.584
51.10642816,0.58
51.10959825,0.578
51.11265453,0.578
51.11577649,0.578
51.11890191,0.576
51.1220011,0.574
51.12510832,0.574
51.12822625,0.574
51.13135101,0.574
51.13446982,0.572
51.13759862,0.574
51.14071847,0.572
51.14382721,0.572
51.14693601,0.572
51.15003916,0.572
51.15317095,0.574
51.1562856,0.574
51.15941941,0.574
51.16252984,0.574
51.1656661,0.576
51.16874291,0.576
51.17186638,0.576
51.17498321,0.578
51.17810001,0.578
51.18120584,0.578
51.18433173,0.582
51.18745632,0.584
51.19060652,0.588
51.1936891,0.59
51.1967928,0.594
51.19992595,0.594
51.20302245,0.598
51.2061338,0.6
51.20924462,0.602
51.21235291,0.604
51.21546054,0.604
51.21861082,0.606
51.22171378,0.606
51.22482177,0.608
51.22794116,0.608
51.23105671,0.61
51.23418293,0.61
51.23729734,0.61
51.24041988,0.61
51.24354488,0.61
51.24666784,0.61
51.24978064,0.608
51.25288228,0.608
51.25600436,0.608
51.2591188,0.606
51.26224178,0.604
51.26536412,0.6
51.26849573,0.598
51.27161839,0.594
51.27471888,0.59
51.27784501,0.584
51.2809703,0.578
51.28409738,0.568
51.28720767,0.562
51.29032441,0.554
51.29343901,0.548
51.29655427,0.538
51.29968108,0.532
51.30279095,0.526
51.30591106,0.518
51.30901956,0.506
51.31213575,0.492
51.31525217,0.48
51.31837901,0.47
51.32148371,0.46
51.32462562,0.446
51.32772904,0.438
51.33085284,0.418
51.33395067,0.394
51.3370658,0.374
51.3401979,0.358
51.3433068,0.342
51.34643806,0.326
51.34953819,0.312
51.35268569,0.296
51.35577186,0.286
51.35888358,0.274
51.36200349,0.258
51.36512649,0.244
51.36823732,0.24
51.37135808,0.23
51.37446704,0.214
51.37763799,0.202
51.38071645,0.19
51.38384223,0.186
51.38694319,0.176
51.39006199,0.178
51.39319034,0.172
51.39631436,0.172
51.39944238,0.168
51.40255486,0.168
51.40569314,0.166
51.40880223,0.162
51.41197638,0.158
51.41506034,0.154
51.41820084,0.15
51.42132754,0.148
51.42444534,0.148
51.42758258,0.144
51.43069714,0.142
51.43382717,0.14
51.43698358,0.14
51.44008369,0.138
51.44321869,0.134
51.44641756,0.132
51.4495313,0.132
51.45265721,0.132
51.45578112,0.13
51.45892791,0.13
51.46203738,0.128
51.46515706,0.128
51.46826517,0.124
51.47112801,0.122
51.47422412,0.122
51.47733656,0.12
51.4804468,0.12
51.48352184,0.118
51.48670045,0.118
51.48975621,0.118
51.49288593,0.118
51.49599936,0.116
51.49909106,0.114
51.50221238,0.116
51.50534121,0.116
51.50844471,0.114
51.51156341,0.116
51.51471741,0.114
51.51777621,0.114
51.52090527,0.114
51.52400651,0.114
51.52711371,0.114
51.53023125,0.114
51.53335528,0.112
51.53647373,0.112
51.5395858,0.112
51.54271778,0.106
51.54579334,0.102
51.54890412,0.1
51.5520118,0.1
51.55511101,0.1
51.55824097,0.1
51.56134175,0.1
51.56446547,0.1
51.56756386,0.1
51.57071866,0.1
51.57378938,0.1
51.57691449,0.102
51.58001758,0.1
51.58311491,0.1
51.58622845,0.1
51.58932769,0.1
51.59243477,0.1
51.59554291,0.1
51.5986688,0.1
51.60176864,0.1
51.60488106,0.102
51.60798912,0.1
51.61109767,0.1
51.61422078,0.1
51.61731158,0.1
51.62042447,0.1
51.62352745,0.1
51.62667378,0.1
51.62976232,0.102
51.63287297,0.1
51.63599704,0.102
51.63909606,0.1
51.64220399,0.102
51.64530614,0.1
51.64842464,0.1
51.65153125,0.1
51.65467662,0.1
51.65776175,0.102
51.66088406,0.1
51.66399284,0.1
51.66711849,0.1
51.67020436,0.1
51.67331875,0.1
51.6764358,0.1
51.67955464,0.1
51.68267775,0.1
51.6857826,0.1
51.68888462,0.1
51.69199865,0.1
51.69511552,0.1
51.6982193,0.1
51.70132649,0.102
51.70444308,0.1
51.70755953,0.1
51.71068764,0.1
51.71378469,0.1
51.71691317,0.1
51.7200139,0.1
51.72313286,0.1
51.72625277,0.1
51.72937395,0.1
51.73245997,0.1
51.73556167,0.1
51.73868843,0.1
51.74179188,0.1
51.74491549,0.1
51.74802021,0.1
51.75112362,0.1
51.75423199,0.1
51.75734267,0.1
51.76043886,0.1
51.76357378,0.102
51.7666963,0.1
51.7697946,0.1
51.77292028,0.1
51.7760436,0.102
51.77914806,0.102
51.78227156,0.102
51.78538236,0.102
51.78850412,0.102
51.79160423,0.104
51.79475134,0.102
51.79782375,0.102
51.80092669,0.104
51.80405032,0.106
51.80716039,0.106
51.81026741,0.108
51.81338277,0.108
51.81650953,0.106
51.81960415,0.11
51.82275964,0.106
51.82583451,0.106
51.82895451,0.102
51.83206721,0.102
51.83517814,0.102
51.83828577,0.1
51.84140219,0.1
51.84451084,0.1
51.84769749,0.1
51.85076154,0.1
51.85386701,0.1
51.85698708,0.1
51.86009064,0.1
51.8632013,0.1
51.86632753,0.1
51.86943165,0.1
51.87251282,0.1
51.87561686,0.1
51.87876647,0.102
51.88184017,0.114
51.88496019,0.116
51.88805967,0.118
51.8911844,0.118
51.89429571,0.118
51.89741102,0.114
51.90051282,0.112
51.90361697,0.11
51.90676847,0.11
51.90984215,0.108
51.91296206,0.1
51.91607475,0.1
51.91916043,0.1
51.92228134,0.1
51.92539967,0.1
51.92847212,0.1
51.9315871,0.1
51.93471588,0.1
51.93778558,0.1
51.94088088,0.1
51.9439903,0.102
51.94709271,0.1
51.95021517,0.102
51.9533216,0.102
51.95640673,0.102
51.95952903,0.102
51.9626154,0.102
51.96577871,0.102
51.96883595,0.104
51.9720061,0.104
51.97510569,0.102
51.97822104,0.102
51.9813441,0.1
51.98447826,0.102
51.98761408,0.1
51.99075153,0.1
51.99386676,0.1
51.99705762,0.1
52.00017169,0.1
52.00329256,0.1
52.00614151,0.1
52.00923082,0.1
52.01228878,0.1
52.01539375,0.1
52.01848895,0.1
52.0215931,0.1
52.02473401,0.1
52.02779836,0.1
52.03090212,0.102
52.03400439,0.1
52.03711139,0.1
52.04020828,0.1
52.04330212,0.1
52.04640225,0.1
52.04950732,0.1
52.05260923,0.1
52.05573341,0.1
52.05882419,0.1
52.06193225,0.1
