time,vout
0.00104193,0.964
0.00258739,0.964
0.00315693,1.052
0.00370746,1.052
0.00425796,1.052
0.0048053,1.052
0.00535363,1.052
0.00590231,1.054
0.0064502,1.054
0.00699815,1.054
0.00754739,1.052
0.00809487,1.052
0.00864285,1.054
0.00919294,1.054
0.00974135,1.056
0.01028924,1.054
0.01083831,1.056
0.01138061,1.054
0.01192685,1.056
0.01357143,1.056
0.01417433,1.056
0.01465915,1.054
0.01563768,1.056
0.01619581,1.054
0.016681,1.054
0.01723281,1.056
0.01771655,1.056
0.01826348,1.054
0.01874707,1.056
0.01929657,1.056
0.01978132,1.056
0.02033044,1.056
0.02081524,1.056
0.02136304,1.058
0.02184813,1.058
0.02241515,1.06
0.02290739,1.06
0.02345724,1.06
0.0239425,1.062
0.02448937,1.062
0.02497359,1.062
0.02552778,1.06
0.02601154,1.06
0.02655932,1.062
0.02704255,1.062
0.02759263,1.06
0.02807765,1.06
0.02866113,1.06
0.02914611,1.06
0.0297225,1.06
0.03026043,1.058
0.03087959,1.058
0.03143485,1.056
0.03194546,1.056
0.03254037,1.056
0.03303452,1.052
0.03361113,1.052
0.03412539,1.052
0.03470222,1.054
0.03524368,1.054
0.03582581,1.054
0.03633722,1.052
0.03694878,1.054
0.03755146,1.05
0.03808713,1.052
0.03866769,1.05
0.03918174,1.048
0.03976013,1.05
0.04027552,1.05
0.04098835,1.048
0.0415432,1.048
0.042053,1.046
0.0426495,1.046
0.04469165,0.742
0.04783918,0.74
0.05072822,0.74
0.05405328,0.742
0.05708837,0.74
0.06016511,0.74
0.06324572,0.74
0.06635555,0.74
0.06950368,0.74
0.07257644,0.74
0.075723,0.74
0.07888867,0.74
0.08209857,0.74
0.08515104,0.74
0.08826224,0.74
0.09146248,0.74
0.09455241,0.74
0.09768898,0.74
0.10080876,0.74
0.1038457,0.74
0.10701728,0.742
0.11015161,0.74
0.11332078,0.74
0.11612256,0.74
0.1193133,0.74
0.12238037,0.742
0.1255712,0.742
0.12870435,0.742
0.13177333,0.74
0.13492663,0.74
0.13803744,0.74
0.14115561,0.742
0.14431554,0.742
0.14746104,0.74
0.15060987,0.742
0.15369439,0.74
0.15685998,0.742
0.15996289,0.742
0.16304805,0.742
0.16619096,0.74
0.16939226,0.74
0.17248435,0.74
0.17556778,0.74
0.17875256,0.74
0.18185581,0.74
0.18497772,0.742
0.18819083,0.74
0.1912562,0.742
0.19438319,0.74
0.19748635,0.742
0.20061909,0.74
0.20375887,0.74
0.20693713,0.74
0.21008504,0.742
0.21317267,0.74
0.21629452,0.74
0.21936806,0.74
0.22251167,0.74
0.22564426,0.742
0.22873096,0.742
0.23203202,0.74
0.2350373,0.74
0.23816389,0.74
0.24136396,0.74
0.24438219,0.742
0.24751122,0.74
0.25064607,0.74
0.25376044,0.74
0.25699343,0.74
0.26005693,0.74
0.26319954,0.74
0.26625737,0.74
0.26940733,0.74
0.27251944,0.74
0.27564917,0.74
0.27893489,0.742
0.28198961,0.74
0.28513837,0.742
0.2882428,0.742
0.29130735,0.74
0.29442044,0.74
0.29754709,0.74
0.3007547,0.74
0.30385644,0.742
0.30699944,0.74
0.31010248,0.74
0.31318244,0.74
0.31633793,0.74
0.31952002,0.742
0.32262196,0.74
0.32573554,0.74
0.32887467,0.742
0.33199015,0.74
0.33509322,0.74
0.33822815,0.74
0.34132606,0.742
0.34458363,0.74
0.3476367,0.742
0.35071887,0.74
0.3538922,0.74
0.35701859,0.74
0.36011752,0.74
0.36323881,0.74
0.36644848,0.74
0.369508,0.74
0.37262778,0.742
0.37576263,0.74
0.37887909,0.742
0.38207722,0.74
0.38518198,0.74
0.38831563,0.74
0.39143283,0.74
0.39455489,0.742
0.39764443,0.74
0.40076476,0.74
0.40394309,0.74
0.40705046,0.74
0.41022911,0.74
0.41327563,0.74
0.41643646,0.74
0.41955463,0.742
0.42266561,0.74
0.42588131,0.742
0.42900993,0.74
0.43209744,0.74
0.43518078,0.74
0.43829768,0.742
0.44141674,0.74
0.44455189,0.74
0.44767763,0.74
0.45078996,0.74
0.45406661,0.74
0.45708233,0.74
0.46016204,0.74
0.4633037,0.74
0.46648959,0.74
0.46957415,0.74
0.47274296,0.742
0.47586652,0.74
0.47897267,0.74
0.4820718,0.74
0.48521641,0.742
0.48833542,0.74
0.49146257,0.74
0.4946537,0.74
0.4977238,0.74
0.50083798,0.74
0.50398743,0.742
0.50706987,0.74
0.51018737,0.74
0.51330643,0.74
0.51649757,0.74
0.519605,0.74
0.52271813,0.74
0.52581552,0.74
0.52903254,0.74
0.53208678,0.74
0.53518187,0.74
0.53841104,0.74
0.54148154,0.74
0.54460219,0.74
0.54766757,0.74
0.55080037,0.74
0.55396231,0.74
0.55707235,0.74
0.56019035,0.74
0.56336596,0.74
0.5664893,0.74
0.56957452,0.742
0.57269109,0.74
0.57590881,0.74
0.57900196,0.74
0.5822013,0.74
0.58526565,0.74
0.58835874,0.74
0.59145767,0.74
0.59457385,0.74
0.59771676,0.74
0.60082141,0.738
0.60408122,0.74
0.60716298,0.74
0.61026135,0.74
0.61335383,0.738
0.6165188,0.74
0.6196308,0.74
0.62280191,0.74
0.62601857,0.74
0.62905604,0.74
0.63217109,0.74
0.6352638,0.74
0.63838839,0.74
0.64155298,0.738
0.64464172,0.74
0.64783026,0.74
0.65097887,0.74
0.65405559,0.74
0.65716878,0.738
0.66030339,0.74
0.66342083,0.74
0.66655928,0.74
0.66973255,0.74
0.67285913,0.74
0.67600124,0.74
0.67912459,0.74
0.68225111,0.74
0.68534122,0.738
0.68846422,0.74
0.69164357,0.74
0.6947625,0.74
0.69792828,0.74
0.70099257,0.738
0.70411828,0.74
0.70725183,0.738
0.7104252,0.74
0.71354496,0.738
0.71670233,0.74
0.71977904,0.74
0.72294459,0.74
0.72610602,0.74
0.72918022,0.738
0.73236233,0.74
0.73548287,0.74
0.73858093,0.74
0.7416978,0.74
0.74483798,0.74
0.74799713,0.74
0.75109346,0.74
0.7542997,0.738
0.75765505,0.74
0.76047391,0.74
0.763628,0.738
0.76680272,0.74
0.77000326,0.74
0.773041,0.738
0.7761718,0.74
0.77929061,0.74
0.78241898,0.738
0.78556822,0.74
0.78867276,0.74
0.79186342,0.738
0.79504144,0.74
0.79808683,0.74
0.80121348,0.74
0.80440237,0.74
0.80747763,0.738
0.81060502,0.74
0.81374446,0.74
0.81685667,0.74
0.82031033,0.74
0.82331215,0.738
0.82644441,0.74
0.82963207,0.74
0.8327073,0.738
0.83584793,0.738
0.83902222,0.74
0.84220056,0.74
0.84531454,0.738
0.84833924,0.738
0.85147374,0.74
0.85462383,0.738
0.85772313,0.738
0.8609293,0.738
0.86402244,0.738
0.8671337,0.738
0.87033902,0.74
0.87333394,0.738
0.87646185,0.738
0.87955407,0.738
0.88272815,0.74
0.88585568,0.738
0.88893461,0.738
0.89216752,0.738
0.8953418,0.738
0.89829994,0.738
0.90149794,0.738
0.9046453,0.738
0.9077137,0.738
0.91084139,0.738
0.91398787,0.74
0.91720543,0.738
0.92024439,0.74
0.92334909,0.74
0.92643574,0.738
0.92962474,0.738
0.93276033,0.738
0.93585207,0.738
0.93905413,0.738
0.94217874,0.74
0.94522781,0.74
0.94835774,0.74
0.95148635,0.738
0.95463348,0.738
0.9578075,0.738
0.96094192,0.74
0.96401578,0.74
0.96724952,0.738
0.97030081,0.738
0.9734098,0.74
0.97662006,0.738
0.97965644,0.738
0.98286017,0.738
0.98592889,0.738
0.98911891,0.738
0.99231674,0.74
0.99541291,0.74
0.99846741,0.738
1.00156878,0.738
1.00476731,0.74
1.00791054,0.738
1.01099291,0.74
1.0141967,0.738
1.0172952,0.738
1.02036804,0.74
1.02349726,0.74
1.02660642,0.74
1.02982876,0.738
1.03292493,0.738
1.03606002,0.738
1.03919859,0.738
1.04234757,0.74
1.0454448,0.738
1.04851443,0.74
1.05170091,0.738
1.0547955,0.74
1.05790539,0.74
1.06108265,0.738
1.0642007,0.74
1.06728022,0.738
1.07046559,0.74
1.07362311,0.738
1.07667511,0.74
1.07982643,0.738
1.08296744,0.738
1.08605276,0.74
1.08923263,0.738
1.09235874,0.74
1.09550417,0.738
1.09856104,0.74
1.10169876,0.74
1.10487804,0.74
1.1080508,0.74
1.11116883,0.74
1.11425235,0.738
1.11743631,0.738
1.12057813,0.738
1.1236073,0.74
1.12679389,0.738
1.12985163,0.74
1.13304242,0.738
1.13618965,0.738
1.13927059,0.738
1.14244056,0.738
1.14554872,0.738
1.14865539,0.738
1.151773,0.738
1.15493152,0.738
1.15803817,0.738
1.16119367,0.738
1.16434809,0.738
1.16742057,0.738
1.17059396,0.738
