Time,layout.dim,layout.data_offset,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7
1714298438.4078507,[],0,0.0,-1.3514580245467935e-17,-5.0984607161130846e-17,-7.374904816970229e-05,-0.28007373213768005,-0.28007373213768005,-0.28007373213768005,-0.28007373213768005
1714298438.4176357,[],0,0.0,-1.3514580245467935e-17,8.130051355692558e-06,-6.561900227097794e-05,-0.2800655663013458,-0.2800624668598175,-0.2800624668598175,-0.2800624668598175
1714298438.4274633,[],0,0.0,-1.3514580245467935e-17,-2.6004589768809314e-17,-0.00010154220944968984,-0.2801014482975006,-0.28017643094062805,-0.28017643094062805,-0.28017643094062805
1714298438.437485,[],0,0.0,-1.3514580245467935e-17,-2.6004589768809314e-17,-0.00010154220944968984,-0.28010138869285583,-0.2801763713359833,-0.2801763713359833,-0.2801763713359833
1714298438.4474747,[],0,0.0,-1.3514580245467935e-17,-8.13251972431317e-06,-0.00010967472189804539,-0.2801094055175781,-0.2801094055175781,-0.2801094055175781,-0.2801094055175781
1714298438.4575474,[],0,0.0,-1.3514580245467935e-17,-1.0245710323192864e-18,-0.00010154220944968984,-0.2801012098789215,-0.2801012098789215,-0.2801012098789215,-0.2801012098789215
1714298438.467824,[],0,0.0,-1.3514580245467935e-17,-8.13251972431317e-06,-0.00019734127272386104,-0.28019681572914124,-0.280274897813797,-0.280274897813797,-0.280274897813797
1714298438.4780073,[],0,0.0,-1.3514580245467935e-17,-8.13251972431317e-06,-0.0002849864249583334,-0.28028446435928345,-0.2803625464439392,-0.2803625464439392,-0.2803601026535034
1714298438.4879427,[],0,0.0,-1.3514580245467935e-17,-8.13251972431317e-06,-0.00029890326550230384,-0.28029829263687134,-0.28045135736465454,-0.28045135736465454,-0.28044888377189636
1714298438.4980714,[],0,0.0,-1.3514580245467935e-17,-8.13251972431317e-06,-0.0003266935527790338,-0.28032606840133667,-0.28047916293144226,-0.28047916293144226,-0.28047916293144226
1714298438.508189,[],0,0.0,-1.3499671969287892e-17,-8.13251972431317e-06,-0.00040044300840236247,-0.2803998291492462,-0.28062477707862854,-0.2807018458843231,-0.2807018458843231
1714298438.5175023,[],0,0.0,-1.3499671969287892e-17,-8.13251972431317e-06,-0.00040044300840236247,-0.2803998291492462,-0.28062477707862854,-0.2807018458843231,-0.2807018458843231
1714298438.527664,[],0,0.0,-1.3499671969287892e-17,-8.13251972431317e-06,-0.00041435894672758877,-0.2804136276245117,-0.28063857555389404,-0.2807156443595886,-0.2807156443595886
1714298438.5375865,[],0,0.0,-1.3499671969287892e-17,-8.13251972431317e-06,-0.00041435894672758877,-0.2804136276245117,-0.2807135581970215,-0.28079062700271606,-0.28079062700271606
