Time,layout.dim,layout.data_offset,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7
1714298438.4079697,[],0,0.0,-0.20000000298023224,-0.20015710592269897,-0.20023217797279358,-0.2002808153629303,-0.2002057582139969,-0.2002057582139969,-0.00020575754751916975
1714298438.4177253,[],0,0.0,-0.20000000298023224,-0.2002211958169937,-0.20029625296592712,-0.2004421502351761,-0.2003747522830963,-0.2003747522830963,-0.0003747512528207153
1714298438.4275644,[],0,0.0,-0.20000000298023224,-0.20031416416168213,-0.20046067237854004,-0.20070379972457886,-0.20055367052555084,-0.20055367052555084,-0.0005536758690141141
1714298438.4375343,[],0,0.0,-0.20000000298023224,-0.20031416416168213,-0.20046067237854004,-0.20075243711471558,-0.20060230791568756,-0.20060230791568756,-0.0006023117457516491
1714298438.4475806,[],0,0.0,-0.20000000298023224,-0.2004072070121765,-0.20055371522903442,-0.2009427398443222,-0.2007926106452942,-0.2007926106452942,-0.000792614184319973
1714298438.4576066,[],0,0.0,-0.20000000298023224,-0.20054978132247925,-0.20069628953933716,-0.20113390684127808,-0.20098377764225006,-0.20098377764225006,-0.0009837819961830974
1714298438.4679892,[],0,0.0,-0.20000000298023224,-0.2007213681936264,-0.20094116032123566,-0.20147603750228882,-0.20131823420524597,-0.20131823420524597,-0.001318235881626606
1714298438.4780686,[],0,0.0,-0.20000000298023224,-0.2007213681936264,-0.201014444231987,-0.20154932141304016,-0.2013164460659027,-0.2013164460659027,-0.0013164468109607697
1714298438.4880798,[],0,0.0,-0.20000000298023224,-0.2007213681936264,-0.20101265609264374,-0.20159615576267242,-0.20128826797008514,-0.20128826797008514,-0.001288272556848824
1714298438.4981384,[],0,0.0,-0.20000000298023224,-0.2007213681936264,-0.20108413696289062,-0.2016676366329193,-0.20135974884033203,-0.20135974884033203,-0.0013597512152045965
1714298438.5083325,[],0,0.0,-0.20000000298023224,-0.2007213681936264,-0.20108413696289062,-0.2016676366329193,-0.20136742293834686,-0.2012888640165329,-0.0012888704659417272
1714298438.5175905,[],0,0.0,-0.20000000298023224,-0.2007213681936264,-0.20108413696289062,-0.2016676366329193,-0.20136742293834686,-0.2012888640165329,-0.0012888704659417272
1714298438.5277777,[],0,0.0,-0.20000000298023224,-0.2007213681936264,-0.201157346367836,-0.2017846703529358,-0.20140941441059113,-0.20140939950942993,-0.0014094066573306918
1714298438.5377,[],0,0.0,-0.20000000298023224,-0.2007213681936264,-0.201157346367836,-0.2017846554517746,-0.20140938460826874,-0.20140938460826874,-0.0014093893114477396
1714298438.548189,[],0,0.0,-0.20000000298023224,-0.2007213681936264,-0.201157346367836,-0.20183329284191132,-0.20145802199840546,-0.2013794630765915,-0.0013794653350487351
