,time,vout
34689,107.56958377,2.016
34690,107.57250957,2.02
34691,107.57570988,2.02
34692,107.57882018,2.022
34693,107.58186997,2.024
34694,107.5850141,2.026
34695,107.5881736,2.028
34696,107.59125033,2.03
34697,107.5943124,2.034
34698,107.59750429,2.032
34699,107.60057029,2.032
34700,107.60369166,2.032
34701,107.60690994,2.032
34702,107.60991694,2.034
34703,107.61307562,2.034
34704,107.61614921,2.036
34705,107.61932273,2.034
34706,107.62238007,2.032
34707,107.62555238,2.03
34708,107.62860981,2.03
34709,107.63175681,2.028
34710,107.63486149,2.024
34711,107.63794758,2.022
34712,107.64108631,2.02
34713,107.64415018,2.014
34714,107.6479906,2.008
34715,107.65043899,2.002
34716,107.65351732,1.998
34717,107.65667688,1.99
34718,107.65979992,1.982
34719,107.66292503,1.972
34720,107.6660026,1.958
34721,107.6691377,1.948
34722,107.67229631,1.936
34723,107.67533964,1.92
34724,107.67851183,1.902
34725,107.68162088,1.882
34726,107.68471995,1.868
34727,107.68778377,1.85
34728,107.69092714,1.83
34729,107.69404455,1.808
34730,107.69712873,1.788
34731,107.70032866,1.774
34732,107.70345473,1.754
34733,107.70651542,1.736
34734,107.70958768,1.718
34735,107.71284912,1.702
34736,107.71581545,1.69
34737,107.71885345,1.672
34738,107.72200538,1.658
34739,107.72511208,1.646
34740,107.72825758,1.632
34741,107.73129171,1.622
34742,107.7343856,1.612
34743,107.73750445,1.598
34744,107.74062118,1.586
34745,107.74377082,1.568
34746,107.74685199,1.544
34747,107.74995218,1.514
34748,107.75306612,1.492
34749,107.75614129,1.458
34750,107.75930668,1.44
34751,107.76238418,1.418
34752,107.76555651,1.4
34753,107.76861534,1.382
34754,107.7717142,1.376
34755,107.77482047,1.374
34756,107.77794857,1.378
34757,107.78104625,1.388
34758,107.78422788,1.4
34759,107.78734232,1.394
34760,107.79036283,1.41
34761,107.79348218,1.43
34762,107.79663547,1.44
34763,107.79970579,1.448
34764,107.80275892,1.458
34765,107.80588566,1.454
34766,107.80900262,1.43
34767,107.81208464,1.378
34768,107.81516464,1.366
34769,107.81834521,1.374
34770,107.82136569,1.38
34771,107.82444558,1.39
