,time,vout
12811,39.75304327,0.394
12812,39.75550883,0.394
12813,39.75870242,0.394
12814,39.76168637,0.394
12815,39.76479253,0.396
12816,39.76793773,0.396
12817,39.77110755,0.398
12818,39.77418866,0.398
12819,39.77729531,0.398
12820,39.78049775,0.4
12821,39.78352424,0.4
12822,39.78661568,0.402
12823,39.78994175,0.404
12824,39.79297275,0.408
12825,39.79611296,0.408
12826,39.79908937,0.408
12827,39.80216801,0.408
12828,39.80523833,0.41
12829,39.80834453,0.408
12830,39.81146761,0.41
12831,39.81480683,0.408
12832,39.81772962,0.41
12833,39.82082105,0.41
12834,39.82395803,0.41
12835,39.82704703,0.41
12836,39.83015298,0.41
12837,39.83329127,0.408
12838,39.83640444,0.41
12839,39.83951444,0.408
12840,39.84265511,0.408
12841,39.84574144,0.402
12842,39.84888546,0.386
12843,39.85208796,0.37
12844,39.85512057,0.356
12845,39.8582557,0.346
12846,39.86132425,0.326
12847,39.8644187,0.318
12848,39.86763242,0.316
12849,39.87072536,0.318
12850,39.87386733,0.322
12851,39.87700194,0.326
12852,39.88007107,0.33
12853,39.88309905,0.33
12854,39.8862367,0.332
12855,39.88936579,0.34
12856,39.89256205,0.34
12857,39.89552379,0.342
12858,39.89868437,0.344
12859,39.90175542,0.348
12860,39.90491572,0.348
12861,39.90797961,0.35
12862,39.91118762,0.35
12863,39.91428131,0.348
12864,39.91736075,0.348
12865,39.9204382,0.35
12866,39.92357322,0.354
12867,39.92668594,0.352
12868,39.92980638,0.354
12869,39.93302883,0.356
12870,39.93607083,0.36
12871,39.93916892,0.362
12872,39.9423169,0.364
12873,39.94540801,0.364
12874,39.94851594,0.364
12875,39.95166348,0.364
12876,39.95478549,0.366
12877,39.95792509,0.366
12878,39.96101531,0.366
12879,39.96413396,0.366
12880,39.96723992,0.372
12881,39.97038348,0.374
12882,39.97347188,0.378
12883,39.97672068,0.384
12884,39.98012442,0.386
12885,39.98290159,0.392
12886,39.98599438,0.398
12887,39.98910249,0.408
12888,39.99219353,0.412
12889,39.99582081,0.42
12890,39.99843675,0.422
12891,40.00154053,0.426
12892,40.00472811,0.438
12893,40.00784514,0.446
12894,40.01098177,0.452
12895,40.01405353,0.458
12896,40.01710114,0.466
12897,40.02024188,0.47
12898,40.02339675,0.478
12899,40.02648722,0.48
12900,40.02964025,0.486
12901,40.03280516,0.492
12902,40.03590433,0.494
12903,40.0390449,0.498
12904,40.04221161,0.498
12905,40.04522953,0.502
12906,40.04833072,0.504
12907,40.05143399,0.506
12908,40.05493229,0.508
12909,40.05766053,0.512
12910,40.06079314,0.512
12911,40.06438375,0.516
12912,40.06706149,0.518
12913,40.07020709,0.522
12914,40.07333296,0.524
12915,40.07678694,0.528
12916,40.07949309,0.532
12917,40.08264899,0.536
12918,40.08574864,0.538
12919,40.08900351,0.54
12920,40.09200766,0.544
12921,40.09520368,0.546
12922,40.09827238,0.552
12923,40.10137287,0.556
12924,40.10456722,0.558
12925,40.10761757,0.56
12926,40.11095351,0.564
12927,40.11384327,0.568
12928,40.11698186,0.574
12929,40.12010618,0.578
12930,40.12328383,0.584
12931,40.12631757,0.588
12932,40.12944611,0.59
12933,40.13255003,0.596
12934,40.1356874,0.606
12935,40.13878035,0.61
12936,40.14189903,0.614
12937,40.14507994,0.62
12938,40.14814131,0.622
12939,40.15125762,0.628
12940,40.15436264,0.63
12941,40.15745429,0.636
12942,40.16058464,0.636
12943,40.16368359,0.64
12944,40.16710535,0.638
12945,40.1700002,0.64
12946,40.1730484,0.638
12947,40.17617298,0.64
12948,40.17973496,0.642
12949,40.18241481,0.642
12950,40.18555333,0.644
12951,40.18956325,0.646
12952,40.19177088,0.648
12953,40.19483592,0.65
12954,40.19796249,0.648
12955,40.20185746,0.646
12956,40.20419577,0.648
12957,40.20731249,0.65
12958,40.21051394,0.652
12959,40.21355851,0.652
12960,40.2166627,0.654
12961,40.21979292,0.654
12962,40.22375925,0.656
12963,40.22632075,0.658
12964,40.22916372,0.658
12965,40.23238762,0.658
12966,40.23540505,0.66
12967,40.23851622,0.662
12968,40.24161942,0.662
12969,40.24476251,0.662
12970,40.24785748,0.662
12971,40.25109551,0.664
12972,40.25410209,0.664
12973,40.25726787,0.666
12974,40.26033749,0.664
12975,40.26345577,0.666
12976,40.26659098,0.668
12977,40.26967842,0.672
12978,40.27280164,0.676
12979,40.27595994,0.678
12980,40.27902238,0.68
12981,40.28213799,0.68
12982,40.28524629,0.684
12983,40.28835651,0.684
12984,40.2914712,0.686
12985,40.29460316,0.686
12986,40.29772035,0.688
12987,40.30084366,0.69
12988,40.30396257,0.692
12989,40.30708198,0.692
12990,40.31017999,0.692
12991,40.31328949,0.696
12992,40.31642457,0.696
12993,40.31956818,0.696
12994,40.32266453,0.696
12995,40.32575594,0.7
12996,40.32887794,0.7
12997,40.33208846,0.7
12998,40.33515288,0.7
12999,40.33822998,0.7
13000,40.34134049,0.7
13001,40.34444788,0.702
13002,40.34759125,0.702
13003,40.35067894,0.702
13004,40.3538162,0.702
13005,40.35703064,0.704
13006,40.36004955,0.704
13007,40.36312138,0.706
13008,40.36623353,0.706
13009,40.36935273,0.708
13010,40.37251183,0.708
13011,40.37557179,0.71
13012,40.37870153,0.712
13013,40.38181874,0.714
13014,40.38497892,0.716
13015,40.38806873,0.718
13016,40.39120179,0.718
13017,40.39430299,0.724
13018,40.39749062,0.728
13019,40.40051101,0.73
13020,40.4037207,0.732
13021,40.4067454,0.734
13022,40.40987201,0.736
13023,40.41299242,0.738
13024,40.41611436,0.744
13025,40.41922738,0.744
13026,40.42235179,0.748
13027,40.42545272,0.752
13028,40.42857949,0.756
13029,40.43170155,0.76
13030,40.43482853,0.762
13031,40.43799264,0.766
13032,40.44104511,0.77
13033,40.44417364,0.772
13034,40.44730361,0.774
13035,40.45038203,0.778
13036,40.45351207,0.78
13037,40.45663192,0.784
13038,40.45973262,0.786
13039,40.46283799,0.788
13040,40.46598905,0.792
13041,40.46910166,0.798
13042,40.47222386,0.804
13043,40.47533407,0.804
13044,40.4784372,0.81
13045,40.4815911,0.814
13046,40.48466222,0.818
13047,40.48776711,0.82
13048,40.49089479,0.822
13049,40.49406348,0.826
13050,40.49715046,0.828
13051,40.50024027,0.83
13052,40.50343473,0.834
13053,40.50649772,0.84
13054,40.50963216,0.852
13055,40.51275431,0.854
13056,40.51590287,0.86
13057,40.51907257,0.862
13058,40.52211422,0.868
13059,40.52526349,0.87
13060,40.5282717,0.872
13061,40.53140783,0.876
13062,40.53452444,0.878
13063,40.53762388,0.88
13064,40.54074533,0.882
13065,40.54385077,0.886
13066,40.54718472,0.888
13067,40.55011283,0.892
13068,40.55322227,0.894
13069,40.55640672,0.898
13070,40.55943935,0.9
13071,40.5625626,0.902
13072,40.56567701,0.904
13073,40.56876123,0.906
13074,40.57187974,0.908
13075,40.57501286,0.912
13076,40.57819107,0.914
13077,40.58128962,0.914
13078,40.58435314,0.914
13079,40.58747492,0.916
13080,40.59060433,0.916
13081,40.59365785,0.916
13082,40.59679714,0.916
13083,40.59988277,0.916
13084,40.60306238,0.916
13085,40.6061232,0.916
13086,40.60927762,0.918
13087,40.61236772,0.918
13088,40.61548127,0.916
13089,40.61859648,0.916
13090,40.62166412,0.916
13091,40.62478885,0.914
13092,40.62791231,0.914
13093,40.63107992,0.912
13094,40.63415638,0.912
13095,40.63726744,0.91
13096,40.64039257,0.91
13097,40.64349344,0.906
13098,40.64660733,0.904
13099,40.64971753,0.9
13100,40.65280744,0.896
13101,40.65592249,0.89
13102,40.65907307,0.884
13103,40.66217066,0.876
13104,40.66527229,0.868
13105,40.66835855,0.858
13106,40.67156707,0.844
13107,40.67459694,0.818
13108,40.67770807,0.796
13109,40.68085138,0.774
13110,40.68401377,0.756
13111,40.6870897,0.726
13112,40.69020424,0.704
13113,40.69331292,0.694
13114,40.6965434,0.682
13115,40.69958551,0.668
13116,40.70271768,0.652
13117,40.70580103,0.648
13118,40.7089174,0.646
13119,40.7120977,0.642
13120,40.71516731,0.638
13121,40.71833446,0.634
13122,40.72138609,0.63
13123,40.72463912,0.628
13124,40.72764149,0.624
13125,40.73074785,0.62
13126,40.73391857,0.616
13127,40.73703538,0.612
13128,40.74012314,0.598
13129,40.7432162,0.59
13130,40.74639057,0.574
13131,40.74945286,0.56
13132,40.75263468,0.554
13133,40.75569042,0.544
13134,40.75885886,0.524
13135,40.76192035,0.466
13136,40.76509775,0.44
13137,40.76820012,0.406
13138,40.77127809,0.356
13139,40.77440616,0.326
13140,40.77750531,0.336
13141,40.78061059,0.35
13142,40.78371827,0.354
13143,40.78689699,0.346
13144,40.79004035,0.344
13145,40.79311611,0.342
13146,40.79604016,0.348
13147,40.79916296,0.348
13148,40.80229411,0.346
13149,40.80539716,0.344
13150,40.80850022,0.342
13151,40.81163648,0.342
13152,40.81476714,0.342
13153,40.81790159,0.342
13154,40.82101298,0.342
13155,40.82414964,0.342
13156,40.82721362,0.34
13157,40.83032647,0.338
13158,40.8334641,0.334
13159,40.83657653,0.33
13160,40.83971836,0.326
13161,40.84280849,0.318
13162,40.84597249,0.308
13163,40.84906957,0.306
13164,40.85220527,0.304
13165,40.85534164,0.3
13166,40.85840751,0.298
13167,40.86154201,0.294
13168,40.86467222,0.294
13169,40.86781883,0.294
13170,40.87100579,0.292
13171,40.87410653,0.292
13172,40.87715109,0.292
13173,40.8802941,0.292
13174,40.88338025,0.292
13175,40.88653946,0.292
13176,40.88963579,0.292
13177,40.89276757,0.292
13178,40.89591675,0.292
13179,40.89900601,0.29
13180,40.90224925,0.29
13181,40.90525523,0.29
13182,40.90838609,0.29
13183,40.91150681,0.288
13184,40.91460253,0.286
13185,40.91773194,0.29
13186,40.92091872,0.286
13187,40.92404799,0.286
13188,40.92708668,0.288
13189,40.93020362,0.288
13190,40.93333759,0.288
13191,40.93644412,0.286
13192,40.9395729,0.284
13193,40.94268068,0.286
13194,40.94584897,0.284
13195,40.94899138,0.284
13196,40.95205699,0.284
13197,40.95521053,0.284
13198,40.95831498,0.282
13199,40.96146023,0.282
13200,40.96454429,0.284
13201,40.96767825,0.282
13202,40.97080351,0.282
13203,40.97393142,0.282
13204,40.97702285,0.282
13205,40.98015092,0.284
13206,40.98325957,0.284
13207,40.98637451,0.284
13208,40.98948738,0.286
13209,40.99263275,0.286
13210,40.99575688,0.286
13211,40.99891675,0.286
13212,41.00200766,0.286
13213,41.00509731,0.286
13214,41.00821416,0.288
13215,41.0113367,0.286
13216,41.01445655,0.288
13217,41.0175549,0.288
13218,41.02068836,0.286
13219,41.02382223,0.286
13220,41.02693553,0.286
13221,41.03005381,0.286
13222,41.03318692,0.284
13223,41.03628449,0.284
13224,41.03938818,0.286
13225,41.04250666,0.284
13226,41.04561366,0.284
13227,41.04875411,0.282
13228,41.05193005,0.28
13229,41.05500646,0.28
13230,41.05812236,0.276
13231,41.06123238,0.274
13232,41.06434546,0.274
13233,41.06747175,0.274
13234,41.07057818,0.272
13235,41.07369388,0.272
13236,41.07683773,0.274
13237,41.07994285,0.272
13238,41.08307129,0.272
13239,41.08618851,0.272
13240,41.08931757,0.27
13241,41.09239138,0.27
13242,41.09550294,0.268
13243,41.09864685,0.27
13244,41.10176955,0.27
13245,41.10486677,0.27
13246,41.10800825,0.27
13247,41.1111176,0.27
13248,41.11425246,0.27
13249,41.1173951,0.268
13250,41.12049618,0.27
13251,41.12361342,0.27
13252,41.12666366,0.268
13253,41.12981946,0.27
13254,41.13295579,0.272
13255,41.13608833,0.27
13256,41.13922118,0.27
13257,41.14230622,0.268
13258,41.14544118,0.268
13259,41.1485832,0.268
13260,41.15173857,0.272
13261,41.15483862,0.274
13262,41.15795092,0.272
13263,41.16109399,0.274
13264,41.16411107,0.274
13265,41.16731324,0.274
13266,41.17033359,0.276
13267,41.17346049,0.276
13268,41.17661547,0.276
13269,41.17972523,0.276
13270,41.18287303,0.276
13271,41.18587551,0.276
13272,41.18908116,0.276
13273,41.19219198,0.274
13274,41.1952914,0.276
13275,41.19836072,0.278
13276,41.2014846,0.28
13277,41.2046161,0.282
13278,41.20774394,0.284
13279,41.2108577,0.288
13280,41.21406659,0.288
13281,41.21712272,0.292
13282,41.22019414,0.294
13283,41.22330935,0.294
13284,41.22643273,0.296
13285,41.22952829,0.296
13286,41.23266166,0.298
13287,41.23579146,0.298
13288,41.23903196,0.3
13289,41.24202499,0.298
13290,41.2451122,0.3
13291,41.2482327,0.304
13292,41.25134916,0.304
13293,41.25447803,0.304
13294,41.25756116,0.308
13295,41.2606911,0.31
13296,41.26378503,0.308
13297,41.26696503,0.31
13298,41.27003122,0.31
13299,41.27317248,0.31
13300,41.2762677,0.312
13301,41.27938451,0.314
13302,41.28249297,0.314
13303,41.28563823,0.316
13304,41.28881073,0.318
13305,41.29187953,0.318
13306,41.29505862,0.32
13307,41.29811999,0.32
13308,41.30122799,0.32
13309,41.30434183,0.324
13310,41.30743818,0.33
13311,41.31061255,0.332
13312,41.31374394,0.336
13313,41.31681233,0.336
13314,41.32008351,0.338
13315,41.32304122,0.342
13316,41.32620127,0.344
13317,41.32928244,0.346
13318,41.33238325,0.348
13319,41.33557016,0.352
13320,41.33864588,0.354
13321,41.34183649,0.362
13322,41.34488036,0.368
13323,41.3480494,0.374
13324,41.35112549,0.382
13325,41.35423899,0.386
