,Name,Sync,F1X1,F1X3,F1Y1,F1Y2,F1Z1,F1Z2,F1Z3,F1Z4,F2X1,F2X3,F2Y1,F2Y2,F2Z1,F2Z2,F2Z3,F2Z4
1385,2.308333,10426.0,-9.0,19.0,-45.0,-78.0,-47.0,-42.0,-47.0,-56.0,-111.0,-67.0,-101.0,-105.0,-73.0,-55.0,-45.0,-73.0
1386,2.31,10431.0,3.0,38.0,-28.0,-60.0,-27.0,-22.0,-32.0,-36.0,-78.0,-34.0,-64.0,-63.0,-34.0,-20.0,-9.0,-36.0
1387,2.311667,10436.0,18.0,51.0,-13.0,-47.0,-16.0,-10.0,-18.0,-21.0,-61.0,-14.0,-55.0,-49.0,-20.0,-4.0,6.0,-16.0
1388,2.313333,10427.0,18.0,53.0,-9.0,-45.0,-10.0,-5.0,-15.0,-24.0,-60.0,-12.0,-45.0,-45.0,-16.0,-7.0,7.0,-17.0
1389,2.315,10439.0,19.0,52.0,-12.0,-46.0,-9.0,-7.0,-18.0,-20.0,-56.0,-18.0,-46.0,-45.0,-15.0,0.0,8.0,-16.0
1390,2.316667,10430.0,-10.0,20.0,-46.0,-78.0,-48.0,-41.0,-53.0,-56.0,-110.0,-65.0,-97.0,-97.0,-76.0,-58.0,-50.0,-73.0
1391,2.318333,10426.0,4.0,37.0,-30.0,-61.0,-27.0,-19.0,-32.0,-35.0,-78.0,-37.0,-64.0,-67.0,-36.0,-19.0,-6.0,-43.0
1392,2.32,10431.0,18.0,53.0,-13.0,-47.0,-13.0,-12.0,-16.0,-23.0,-60.0,-15.0,-48.0,-49.0,-20.0,-5.0,4.0,-23.0
1393,2.321667,10434.0,21.0,50.0,-9.0,-45.0,-14.0,-7.0,-13.0,-23.0,-62.0,-10.0,-46.0,-46.0,-16.0,-1.0,6.0,-21.0
1394,2.323333,10428.0,21.0,55.0,-10.0,-43.0,-13.0,-6.0,-18.0,-18.0,-57.0,-13.0,-42.0,-50.0,-16.0,-1.0,1.0,-16.0
1395,2.325,10425.0,-12.0,19.0,-44.0,-77.0,-46.0,-43.0,-49.0,-56.0,-110.0,-67.0,-97.0,-100.0,-72.0,-57.0,-58.0,-74.0
1396,2.326667,10434.0,8.0,36.0,-26.0,-60.0,-31.0,-20.0,-30.0,-40.0,-76.0,-32.0,-67.0,-63.0,-36.0,-19.0,-15.0,-35.0
1397,2.328333,10419.0,15.0,51.0,-14.0,-47.0,-14.0,-10.0,-17.0,-24.0,-60.0,-14.0,-47.0,-45.0,-18.0,-6.0,-1.0,-23.0
1398,2.33,10448.0,20.0,52.0,-12.0,-48.0,-13.0,-8.0,-16.0,-22.0,-55.0,-9.0,-49.0,-44.0,-16.0,-3.0,4.0,-14.0
1399,2.331667,10416.0,19.0,52.0,-10.0,-45.0,-10.0,-6.0,-19.0,-21.0,-56.0,-10.0,-44.0,-41.0,-16.0,-4.0,0.0,-19.0
1400,2.333333,10429.0,-10.0,19.0,-45.0,-79.0,-47.0,-43.0,-49.0,-53.0,-103.0,-69.0,-96.0,-95.0,-72.0,-59.0,-50.0,-74.0
1401,2.335,10437.0,4.0,36.0,-26.0,-58.0,-27.0,-24.0,-30.0,-37.0,-72.0,-32.0,-60.0,-57.0,-41.0,-20.0,-12.0,-36.0
1402,2.336667,10432.0,19.0,52.0,-18.0,-46.0,-12.0,-9.0,-20.0,-19.0,-58.0,-15.0,-45.0,-42.0,-18.0,-4.0,4.0,-27.0
1403,2.338333,10427.0,21.0,53.0,-10.0,-45.0,-10.0,-9.0,-16.0,-22.0,-54.0,-14.0,-41.0,-42.0,-17.0,-3.0,3.0,-20.0
1404,2.34,10430.0,21.0,51.0,-10.0,-44.0,-12.0,-5.0,-15.0,-22.0,-58.0,-12.0,-41.0,-38.0,-18.0,0.0,-1.0,-23.0
1405,2.341667,10426.0,-10.0,21.0,-44.0,-77.0,-47.0,-43.0,-50.0,-53.0,-106.0,-65.0,-93.0,-96.0,-74.0,-58.0,-51.0,-75.0
1406,2.343333,10424.0,4.0,33.0,-27.0,-61.0,-27.0,-20.0,-31.0,-38.0,-72.0,-32.0,-59.0,-54.0,-34.0,-20.0,-18.0,-38.0
1407,2.345,10428.0,19.0,50.0,-13.0,-47.0,-16.0,-8.0,-21.0,-22.0,-55.0,-10.0,-48.0,-38.0,-19.0,-4.0,0.0,-21.0
1408,2.346667,10414.0,18.0,50.0,-10.0,-44.0,-14.0,-6.0,-16.0,-26.0,-54.0,-15.0,-38.0,-34.0,-14.0,-7.0,0.0,-17.0
1409,2.348333,10437.0,21.0,52.0,-9.0,-45.0,-13.0,-8.0,-15.0,-24.0,-50.0,-15.0,-43.0,-34.0,-16.0,-1.0,-2.0,-17.0
