,Name,Sync,F1X1,F1X3,F1Y1,F1Y2,F1Z1,F1Z2,F1Z3,F1Z4,F2X1,F2X3,F2Y1,F2Y2,F2Z1,F2Z2,F2Z3,F2Z4
1004,1.673333,10430.0,-5.0,9.0,-2.0,-24.0,-6.0,-7.0,-14.0,-22.0,-65.0,-14.0,-31.0,6.0,-16.0,-6.0,-3.0,-18.0
1005,1.675,10438.0,-34.0,-23.0,-35.0,-58.0,-41.0,-40.0,-48.0,-57.0,-125.0,-71.0,-85.0,-42.0,-69.0,-55.0,-64.0,-74.0
1006,1.676667,10433.0,-22.0,-3.0,-17.0,-38.0,-26.0,-21.0,-32.0,-36.0,-89.0,-35.0,-53.0,-12.0,-36.0,-22.0,-26.0,-37.0
1007,1.678333,10433.0,-7.0,7.0,-3.0,-26.0,-10.0,-7.0,-16.0,-27.0,-70.0,-19.0,-36.0,9.0,-19.0,-5.0,-9.0,-28.0
1008,1.68,10432.0,-5.0,9.0,-1.0,-26.0,-9.0,-3.0,-16.0,-26.0,-68.0,-12.0,-40.0,9.0,-17.0,-4.0,-4.0,-20.0
1009,1.681667,10461.0,-7.0,10.0,-4.0,-23.0,-7.0,-4.0,-14.0,-26.0,-70.0,-15.0,-33.0,12.0,-13.0,-8.0,-5.0,-21.0
1010,1.683333,10427.0,-37.0,-20.0,-35.0,-61.0,-40.0,-38.0,-49.0,-57.0,-117.0,-72.0,-88.0,-43.0,-70.0,-59.0,-57.0,-68.0
1011,1.685,10436.0,-21.0,-6.0,-17.0,-38.0,-24.0,-20.0,-33.0,-40.0,-86.0,-36.0,-51.0,-4.0,-37.0,-22.0,-23.0,-36.0
1012,1.686667,10431.0,-5.0,11.0,-6.0,-27.0,-8.0,-7.0,-16.0,-23.0,-72.0,-20.0,-33.0,8.0,-19.0,-5.0,-6.0,-28.0
1013,1.688333,10430.0,-4.0,10.0,-3.0,-23.0,-6.0,-6.0,-16.0,-23.0,-69.0,-17.0,-33.0,10.0,-18.0,-4.0,-4.0,-23.0
