time,L lateral heel,L third metatarsal head,L fifth metatarsal head,L lateral heel,L heel,L medial heel,L medial heel,L heel
0.0017446700000007,4.369140625,6.9912109375,5.64453125,4.63134765625,1.21527099609375,1.7373046875,6.42431640625,3.89111328125
0.0048069099999992,4.369140625,6.9912109375,5.64453125,4.63134765625,1.21527099609375,1.73052978515625,6.435302734375,3.9755859375
0.0079733399999994,4.369140625,7.01806640625,5.670166015625,4.61328125,1.205322265625,1.73095703125,6.453369140625,4.052734375
0.0110808599999998,4.351806640625,7.01806640625,5.670166015625,4.63134765625,1.205322265625,1.73095703125,6.46044921875,4.08447265625
0.014212950000001,4.351806640625,6.9912109375,5.670166015625,4.66845703125,1.19622802734375,1.72613525390625,6.46142578125,4.14892578125
0.0173816199999983,4.351806640625,6.9912109375,5.689697265625,4.66845703125,1.19384765625,1.71966552734375,6.46142578125,4.15478515625
0.0204471700000006,4.3447265625,7.01806640625,5.714111328125,4.66845703125,1.19384765625,1.71685791015625,6.45556640625,4.15478515625
0.0236753000000007,4.330078125,6.9912109375,5.714111328125,4.6806640625,1.14959716796875,1.71295166015625,6.43896484375,4.1572265625
0.0267192600000001,4.3109130859375,6.9912109375,5.7392578125,4.6806640625,1.14959716796875,1.71087646484375,6.41943359375,4.1572265625
0.0298066000000005,4.3109130859375,7.01806640625,5.7392578125,4.6806640625,1.1375732421875,1.7042236328125,6.338623046875,4.1376953125
0.0329425599999986,4.291015625,7.01806640625,5.7392578125,4.7109375,1.06805419921875,1.7042236328125,6.2724609375,4.123046875
0.036097380000001,4.2825927734375,6.9912109375,5.760009765625,4.7109375,1.05352783203125,1.69781494140625,6.251220703125,4.099609375
0.0392868600000007,4.2825927734375,7.01806640625,5.806884765625,4.7314453125,1.05352783203125,1.6949462890625,6.158447265625,4.076171875
0.042374500000001,4.2568359375,7.01806640625,5.830810546875,4.7314453125,1.05352783203125,1.69189453125,6.1083984375,4.03955078125
0.0455663199999989,4.233154296875,7.01806640625,5.830810546875,4.7314453125,1.05352783203125,1.68603515625,5.94970703125,4.01611328125
0.0486111300000011,4.20458984375,6.9912109375,5.87744140625,4.7314453125,1.05352783203125,1.6846923828125,5.7060546875,3.7529296875
0.0517233399999987,4.193115234375,7.01806640625,5.87744140625,4.7685546875,1.05352783203125,1.683837890625,5.600830078125,3.6865234375
0.0548686700000011,4.173583984375,6.9912109375,5.901123046875,4.7685546875,1.05352783203125,1.693115234375,5.540771484375,3.6142578125
0.0581108199999995,4.15576171875,6.9912109375,5.951904296875,4.791015625,1.05352783203125,1.70361328125,5.370849609375,3.2763671875
0.0611719700000001,4.13671875,7.01806640625,5.975341796875,4.81103515625,1.06805419921875,1.7210693359375,5.023681640625,2.970703125
0.0643244699999989,4.1131591796875,6.9912109375,6.003173828125,4.81103515625,1.06805419921875,1.74365234375,4.877685546875,2.55126953125
0.0674476699999999,4.1131591796875,6.9599609375,6.029052734375,4.83740234375,1.1375732421875,1.7789306640625,4.733154296875,2.1982421875
0.0705353200000011,4.1005859375,6.9599609375,6.05419921875,4.89208984375,1.14959716796875,1.8460693359375,4.496337890625,2.08837890625
0.0736799099999991,4.0662841796875,6.9599609375,6.079345703125,4.89208984375,1.165283203125,1.88623046875,4.25439453125,1.8330078125
0.0768007299999986,4.049560546875,6.9599609375,6.10107421875,4.927734375,1.17913818359375,1.9256591796875,4.00390625,1.6982421875
0.0799935599999983,4.0257568359375,6.9599609375,6.127685546875,4.96484375,1.17913818359375,2.006591796875,3.660400390625,1.8330078125
0.0830666300000011,3.9808349609375,6.9443359375,6.154052734375,4.98828125,1.17913818359375,2.074951171875,3.475830078125,1.59326171875
0.0862127999999984,3.9696044921875,6.9599609375,6.182861328125,4.98828125,1.19384765625,2.1302490234375,3.475830078125,1.59326171875
0.0893976199999997,3.9482421875,6.9443359375,6.182861328125,5.0341796875,1.205322265625,2.1885986328125,3.377685546875,1.32763671875
0.0924686500000007,3.93603515625,6.9443359375,6.21142578125,5.05224609375,1.21527099609375,2.3023681640625,3.377685546875,1.091796875
0.0956001200000002,3.8870849609375,6.9443359375,6.237548828125,5.10888671875,1.22833251953125,2.3525390625,3.297119140625,0.97607421875
0.098750729999999,3.871337890625,6.91796875,6.291015625,5.15576171875,1.22833251953125,2.423828125,3.11865234375,0.8876953125
0.1018643700000012,3.85693359375,6.91796875,6.291015625,5.1806640625,1.24298095703125,2.4752197265625,3.0185546875,0.8876953125
0.105018170000001,3.840087890625,6.91796875,6.31689453125,5.2353515625,1.2523193359375,2.5736083984375,2.933349609375,0.76953125
0.1082199300000006,3.840087890625,6.8974609375,6.345947265625,5.2509765625,1.25958251953125,2.6458740234375,2.933349609375,0.662109375
0.11137875,3.840087890625,6.8974609375,6.345947265625,5.27880859375,1.2734375,2.7041015625,2.849853515625,0.57177734375
0.1144490100000013,3.812744140625,6.8974609375,6.3994140625,5.27880859375,1.27008056640625,2.7674560546875,2.849853515625,0.57177734375
0.1175778399999991,3.812744140625,6.86767578125,6.424560546875,5.30810546875,1.2650146484375,2.8817138671875,2.7470703125,0.3916015625
0.1206703599999983,3.776123046875,6.8388671875,6.3994140625,5.3349609375,1.2464599609375,2.9705810546875,2.55810546875,0.3916015625
0.123857319999999,3.732177734375,6.81640625,6.424560546875,5.36328125,1.23468017578125,3.032958984375,2.47705078125,0.3916015625
0.1269407300000011,3.732177734375,6.81640625,6.455810546875,5.40625,1.21392822265625,3.0711669921875,2.38330078125,0.32177734375
