time,R lateral heel,R fifth metatarsal head,R third metatarsal head,R second toe,R first toe,R first metatarsal head,R medial heel,R heel
0.0029182600000012,2.5673828125,3.158447265625,7.226104736328125,6.162841796875,6.46484375,7.442138671875,2.70703125,4.2392578125
0.0059846300000003,2.59130859375,3.158447265625,7.226104736328125,6.162841796875,6.46484375,7.412841796875,2.70703125,4.17822265625
0.0091759599999932,2.5673828125,3.158447265625,7.226104736328125,6.162841796875,6.46484375,7.412841796875,2.70703125,4.17822265625
0.0122069799999877,2.54541015625,3.1351318359375,7.32537841796875,6.1513671875,6.485595703125,7.412841796875,2.7587890625,4.17822265625
0.0153218499999923,2.52099609375,3.1351318359375,7.187713623046875,6.1513671875,6.510009765625,7.412841796875,2.70703125,4.17822265625
0.0184491099999917,2.52099609375,3.1351318359375,7.187713623046875,6.1217041015625,6.510009765625,7.412841796875,2.70703125,4.1669921875
0.021548079999988,2.52099609375,3.1351318359375,7.187713623046875,6.1217041015625,6.510009765625,7.412841796875,2.70703125,4.1669921875
0.0246400899999912,2.52099609375,3.1209716796875,7.187713623046875,6.1217041015625,6.537353515625,7.442138671875,2.70703125,4.1669921875
0.0277590199999906,2.52099609375,3.1209716796875,7.187713623046875,6.1217041015625,6.537353515625,7.412841796875,2.70703125,4.1318359375
0.0309230599999921,2.52099609375,3.1209716796875,7.187713623046875,6.1119384765625,6.564697265625,7.412841796875,2.669921875,4.1318359375
0.0339789099999876,2.505859375,3.099609375,7.256195068359375,6.1217041015625,6.564697265625,7.412841796875,2.70703125,4.1318359375
0.03715124,2.505859375,3.099609375,7.187713623046875,6.1119384765625,6.5859375,7.442138671875,2.669921875,4.1318359375
0.0402509500000007,2.505859375,3.056884765625,7.187713623046875,6.1119384765625,6.5859375,7.442138671875,2.669921875,4.1318359375
0.0433534599999916,2.505859375,3.056884765625,7.16265869140625,6.1119384765625,6.61083984375,7.442138671875,2.669921875,4.1318359375
0.0464102999999909,2.505859375,3.056884765625,7.16265869140625,6.1119384765625,6.622802734375,7.442138671875,2.669921875,4.0810546875
0.0495319999999992,2.48828125,3.056884765625,7.16265869140625,6.1513671875,6.622802734375,7.478515625,2.6162109375,4.0810546875
0.0526564299999989,2.48828125,3.056884765625,7.16265869140625,6.1119384765625,6.677734375,7.5113525390625,2.6162109375,4.0927734375
0.0558208699999909,2.48828125,3.03759765625,7.16265869140625,6.1119384765625,6.677734375,7.5772705078125,2.6162109375,4.0439453125
0.0589431899999937,2.48828125,3.03759765625,7.187713623046875,6.1119384765625,6.70166015625,7.609375,2.5302734375,4.0439453125
0.0620321899999964,2.48828125,3.0169677734375,7.16265869140625,6.1119384765625,6.722412109375,7.6419677734375,2.5302734375,3.95654296875
0.0651211299999943,2.48828125,2.99755859375,7.16265869140625,6.1119384765625,6.74951171875,7.714599609375,2.525390625,3.95654296875
0.0682409799999987,2.48828125,2.99755859375,7.187713623046875,6.1119384765625,6.767578125,7.714599609375,2.45703125,3.923828125
0.0713310699999993,2.48828125,2.99755859375,7.256195068359375,6.1119384765625,6.81201171875,7.749755859375,2.4267578125,3.89404296875
0.0744870199999923,2.46826171875,2.99755859375,7.187713623046875,6.1119384765625,6.84423828125,7.7828369140625,2.4189453125,3.8447265625
0.0775586099999969,2.46826171875,2.99755859375,7.226104736328125,6.1119384765625,6.900634765625,7.8548583984375,2.3603515625,3.7958984375
0.0806766099999976,2.46826171875,2.9786376953125,7.226104736328125,6.1217041015625,6.923828125,7.8970947265625,2.3193359375,3.7314453125
0.0838335599999879,2.46826171875,2.9786376953125,7.256195068359375,6.1217041015625,6.994873046875,7.9356689453125,2.2412109375,3.6142578125
0.0870418499999914,2.45849609375,2.9786376953125,7.256195068359375,6.1217041015625,7.056640625,7.9647216796875,2.1943359375,3.541015625
0.0900536699999889,2.45849609375,2.958984375,7.256195068359375,6.1513671875,7.109619140625,8.0023193359375,2.11328125,3.47802734375
0.0931787799999881,2.46826171875,2.958984375,7.32537841796875,6.1513671875,7.15869140625,8.03662109375,2.0703125,3.41796875
0.0963968699999924,2.45849609375,2.958984375,7.2896728515625,6.1513671875,7.226806640625,8.15087890625,2.02734375,3.3505859375
0.0994733200000013,2.45849609375,2.9403076171875,7.2896728515625,6.162841796875,7.286376953125,8.1925048828125,1.9501953125,3.31494140625
0.1025557600000013,2.45849609375,2.9403076171875,7.2896728515625,6.162841796875,7.31298828125,8.311767578125,1.8935546875,3.2958984375
0.1057201899999995,2.43115234375,2.9403076171875,7.32537841796875,6.181884765625,7.381591796875,8.311767578125,1.818359375,3.19677734375
0.1089965699999879,2.43115234375,2.9403076171875,7.3564453125,6.221435546875,7.401611328125,8.3912353515625,1.7802734375,3.1611328125
0.1119426699999905,2.412109375,2.9403076171875,7.3564453125,6.181884765625,7.50244140625,8.43505859375,1.8173828125,3.162109375
0.1150793699999894,2.412109375,2.9403076171875,7.3564453125,6.20263671875,7.564697265625,8.515869140625,1.732421875,3.09375
0.1182672799999977,2.38818359375,2.9403076171875,7.4144287109375,6.221435546875,7.62158203125,8.5478515625,1.708984375,3.09375
0.1213842399999975,2.412109375,2.92626953125,7.4144287109375,6.245849609375,7.699951171875,8.6375732421875,1.646484375,3.052734375
0.1244397399999996,2.38818359375,2.92626953125,7.43658447265625,6.271240234375,7.79541015625,8.7213134765625,1.5771484375,3.0400390625
0.1275698899999895,2.38818359375,2.9007568359375,7.43658447265625,6.2896728515625,7.869873046875,8.8021240234375,1.5654296875,2.9775390625
