time,R second toe,R third metatarsal head,R fifth metatarsal head,R lateral calcaneal tuberosity,R calcaneal tuberosity,R medial calcaneal tuberosity,R first metatarsal head,R first toe
1.0636534200000085,1.81982421875,2.2374267578125,5.54046630859375,4.7498779296875,5.0673828125,5.6663818359375,4.529296875,7.8828125
1.0668083300000006,1.828125,2.2469482421875,5.58294677734375,4.8255615234375,5.160888671875,5.72265625,4.294921875,6.8642578125
1.0700114600000035,1.83154296875,2.246826171875,5.59808349609375,4.9239501953125,5.2353515625,5.7835693359375,4.0283203125,6.23046875
1.0730282700000089,1.84326171875,2.2596435546875,5.6650390625,5.0772705078125,5.2900390625,5.828857421875,3.7958984375,5.8095703125
1.0761191100000076,1.88916015625,2.2705078125,5.70928955078125,5.1763916015625,5.333984375,5.9088134765625,3.6396484375,5.5927734375
1.079294400000009,1.92822265625,2.2705078125,5.744598388671875,5.3021240234375,5.35302734375,5.953857421875,3.5634765625,5.40283203125
1.08237527,2.00048828125,2.2921142578125,5.79376220703125,5.41455078125,5.3857421875,5.9912109375,3.517578125,5.2412109375
1.0855112400000024,2.09619140625,2.2978515625,5.84197998046875,5.4810791015625,5.40771484375,6.057861328125,3.517578125,5.2177734375
1.0886256500000115,2.17724609375,2.347900390625,5.883026123046875,5.56787109375,5.44091796875,6.1456298828125,3.517578125,5.2177734375
1.0917646800000114,2.28125,2.3868408203125,5.971343994140625,5.6650390625,5.484619140625,6.236572265625,3.5634765625,5.2177734375
1.09486342000001,2.373046875,2.444091796875,6.04736328125,5.7550048828125,5.498779296875,6.3057861328125,3.5634765625,5.2177734375
1.0980086300000096,2.45849609375,2.5120849609375,6.121307373046875,5.9114990234375,5.498779296875,6.37646484375,3.5634765625,5.166015625
1.1011100500000026,2.54541015625,2.57470703125,6.220550537109375,6.007568359375,5.51904296875,6.44580078125,3.5634765625,5.166015625
1.1042311400000102,2.59130859375,2.6116943359375,6.25555419921875,6.1119384765625,5.51904296875,6.5,3.5908203125,5.166015625
1.1073379000000045,2.64599609375,2.7513427734375,6.340728759765625,6.162841796875,5.5546875,6.5467529296875,3.5908203125,5.166015625
1.1104596600000036,2.72705078125,2.802490234375,6.41497802734375,6.245849609375,5.536865234375,6.62646484375,3.6806640625,5.2412109375
1.113647499999999,2.77392578125,2.8868408203125,6.484710693359375,6.305419921875,5.5546875,6.6527099609375,3.6806640625,5.2900390625
1.1167276600000093,2.82470703125,2.9403076171875,6.6116943359375,6.353515625,5.58154296875,6.7080078125,3.7724609375,5.3955078125
