time,f1,f2,f3,f4,f5,f6
141.5169026851654,-1.3765848805575158,-1.2366707147553573,-1.4045178815219943,-1.6270005009952337,-1.1706031126225562,-1.60978886846441
141.52643418312073,-1.3769698720205457,-1.2366707147553573,-1.4045178815219943,-1.6272762953454103,-1.1706031126225562,-1.60978886846441
141.5362982749939,-1.3772344954059268,-1.2366707147553573,-1.4045178815219943,-1.6276580161910117,-1.1706031126225562,-1.60978886846441
141.54674530029297,-1.3773452685846888,-1.2366707147553573,-1.4045178815219943,-1.6281635243360093,-1.1706031126225562,-1.60978886846441
141.55636048316956,-1.3773923134881156,-1.2366707147553573,-1.4045178518803267,-1.6287646228693198,-1.1706031126225562,-1.60978886846441
141.56643915176392,-1.3775417630299636,-1.2366708004124314,-1.4045178518803267,-1.6289540358760974,-1.1715853760630115,-1.60978886846441
141.57651615142822,-1.377892651398452,-1.2366708004124314,-1.4045178518803267,-1.6289540358760974,-1.1723936502558288,-1.6104067797152268
141.58640360832214,-1.378415117634089,-1.2366708004124314,-1.4045178518803267,-1.6289540358760974,-1.1729229637687757,-1.611626055795653
141.59636306762695,-1.3790335508700031,-1.2366708004124314,-1.4045178518803267,-1.6289540358760974,-1.1731437739281165,-1.6133382694501037
141.60639810562134,-1.3797318746433376,-1.2366708004124314,-1.4045178518803267,-1.6289540358760974,-1.1731437739281165,-1.6154086486787935
141.61636757850647,-1.3805391925685335,-1.2366708004124314,-1.4045178840532193,-1.6289540358760974,-1.1731437739281165,-1.6176051374107712
141.6262617111206,-1.381433946691212,-1.2366705693638604,-1.4045187843364697,-1.6287896017039598,-1.1731437739281165,-1.6196757860565416
141.6364631652832,-1.381433946691212,-1.236668216830723,-1.4045187843364697,-1.6287117004277611,-1.1731437739281165,-1.6214837393566688
141.65039157867432,-1.381433946691212,-1.236668216830723,-1.4045187843364697,-1.6286473591143733,-1.1731437739281165,-1.6232511500382387
141.65653324127197,-1.381433946691212,-1.236668216830723,-1.4045187843364697,-1.6285234816747598,-1.1731265760731535,-1.6257467659073666
141.6666829586029,-1.381433946691212,-1.236668216830723,-1.4045187843364697,-1.62827673701588,-1.1731265760731535,-1.6299409168120012
141.6774446964264,-1.381433946691212,-1.236668216830723,-1.4045187843364697,-1.6278482633401423,-1.1731265760731535,-1.636227076884335
141.6863317489624,-1.3803547791500392,-1.236668216830723,-1.4045127325560558,-1.627171901552405,-1.1731265760731535,-1.6440411284923695
141.69650554656982,-1.3787724111867687,-1.2366868999091205,-1.4044912257106958,-1.6261667608652672,-1.1731265760731535,-1.6522018748601204
141.70660495758057,-1.3772985759561287,-1.2367266059704023,-1.40445654685472,-1.624750720427256,-1.1731265760731535,-1.6594865920461366
141.7163906097412,-1.3772985759561287,-1.2367266059704023,-1.40445654685472,-1.6228936638054376,-1.1731265760731535,-1.6649422526582258
141.72648739814758,-1.3772985759561287,-1.2367266059704023,-1.40445654685472,-1.6228936638054376,-1.1731265760731535,-1.6680410517934414
141.73689341545105,-1.3772985759561287,-1.2367266059704023,-1.40445654685472,-1.6228936638054376,-1.1731265760731535,-1.6686729914637972
141.74676299095154,-1.3772985759561287,-1.2367266059704023,-1.40445654685472,-1.6228936638054376,-1.1731265760731535,-1.6688045650046917
141.7567753791809,-1.3772985759561287,-1.2367266059704023,-1.40445654685472,-1.6228936638054376,-1.1731265760731535,-1.6689524946196777
141.7665195465088,-1.377587152499451,-1.23597503544604,-1.4045756778057108,-1.6228936638054376,-1.1730959672306533,-1.671087546369347
141.77643299102783,-1.3798041047333016,-1.2344765810986202,-1.404835691515162,-1.6230536965966869,-1.172957643687699,-1.671087546369347
141.7863790988922,-1.3828426099403295,-1.231935551644457,-1.4052393073028642,-1.6290902078624616,-1.1727469603667664,-1.671087546369347
141.79658341407776,-1.3868350272318823,-1.228120460653243,-1.4058416400782996,-1.63719824533678,-1.1724770674001317,-1.671087546369347
141.8064591884613,-1.392011227697171,-1.2265270746677783,-1.4067259887816812,-1.647585695526906,-1.1723433557917993,-1.671087546369347
141.81694960594177,-1.3987214855057502,-1.2265270746677783,-1.408007572696566,-1.660769841332741,-1.1723433557917993,-1.671087546369347
141.8275706768036,-1.4074016845681079,-1.2265270746677783,-1.4098220934637535,-1.677561351610357,-1.1723433557917993,-1.6552070422234622
141.83735036849976,-1.4184500613362274,-1.2265270746677783,-1.4122827914738723,-1.6989059701666958,-1.1723433557917993,-1.5537483734020336
141.85150337219238,-1.4319926053897176,-1.2265270746677783,-1.4122827914738723,-1.725604287333343,-1.1723433557917993,-1.372236644861361
141.8579876422882,-1.4475396702067689,-1.2265270746677783,-1.4122827914738723,-1.7579591312230032,-1.1723433557917993,-1.1051424956052374
141.86728620529175,-1.4475396702067689,-1.256675154453947,-1.4122827914738723,-1.795408427650542,-1.1723433557917993,-0.77254258196449
141.8803369998932,-1.4475396702067689,-1.3070690921259234,-1.4122827914738723,-1.8361673557375533,-1.1723433557917993,-0.41757817766406163
141.88764142990112,-1.4475396702067689,-1.3800882023302128,-1.4122827914738723,-1.8361673557375533,-1.1723433557917993,-0.09081814525988763
141.90069890022278,-1.4475396702067689,-1.4747163033481903,-1.405088724781922,-1.8361673557375533,-1.1723433557917993,0.16557491930233909
141.90717554092407,-1.4475396702067689,-1.5854152207307837,-1.3815242198610138,-1.8361673557375533,-1.1723433557917993,0.16557491930233909
141.91904282569885,-1.4133013819593,-1.7015504780418849,-1.3462596026742386,-1.8361673557375533,-1.1686556273205388,0.16557491930233909
141.92733764648438,-1.34810368215091,-1.7015504780418849,-1.301372656467,-1.8361673557375533,-1.158459618336782,0.16557491930233909
141.94094848632812,-1.265510705509437,-1.7015504780418849,-1.2508212426608902,-1.8129314906761629,-1.138453612622022,0.16557491930233909
141.9485902786255,-1.1732918506057464,-1.7015504780418849,-1.198192151711524,-1.6862959164510822,-1.1039466532339939,0.16557491930233909
141.95696568489075,-1.0794075319724246,-1.7015504780418849,-1.1444747158031523,-1.5237276609856718,-1.050325458090976,0.1574478766757318
141.966383934021,-0.9885165403948938,-1.7015504780418849,-1.0869918725811905,-1.3451714458044879,-0.9744914311178995,0.0793842202593619
141.97632694244385,-0.9006246941405204,-1.6582241076017228,-1.019945225997809,-1.1738096721161495,-0.8765861826043327,0.005614691212244664
141.9863007068634,-0.8123884906946057,-1.4608670794605496,-0.9365053127094638,-1.026152385595316,-0.7611585651282299,-0.06209305655451357
141.9963402748108,-0.719922591798044,-1.2283296049049017,-0.831975723070139,-0.9060776783445074,-0.6364952434641966,-0.12000392623623446
142.00681948661804,-0.6212626488138681,-0.9776338169179788,-0.7066392402145997,-0.8061832124328795,-0.5117604055991296,-0.16389341484294254
142.0163733959198,-0.5174052669438312,-0.7250717521311513,-0.5663070240500434,-0.7137458720714008,-0.3939881371437431,-0.16804984973014672
142.02657270431519,-0.4120584615930284,-0.48328549245469754,-0.42005813682563997,-0.6167649828689094,-0.28719586234612926,-0.16804984973014672
142.03641510009766,-0.3104820959226944,-0.26056310452852516,-0.27705812075263875,-0.507798780501723,-0.19312022682690896,-0.16804984973014672
142.04641819000244,-0.2177033549526485,-0.061705795559264816,-0.14432976516812868,-0.38536141617976977,-0.11194059407644207,-0.16804984973014672
142.05640268325806,-0.13700433217945665,0.11126927390569442,-0.025802670386652547,-0.25322221180527993,-0.04272185550391112,-0.16804984973014672
142.06632256507874,-0.06969306379769451,0.25828401499371906,0.07746722582006818,-0.11813088919320354,0.016081741812572777,-0.16804984973014672
142.07632517814636,-0.015781362344918382,0.38006400131915924,0.16643984052110217,0.013114111583400536,0.06620237887130745,-0.16128114458243953
142.08645629882812,0.025464676074747793,0.47763738824900376,0.2434016504627302,0.13589327685561337,0.10933164176212264,-0.15882405610747286
142.09716248512268,0.05530688943322499,0.5524693130413327,0.31140354538865966,0.24822556293083448,0.14688867132554345,-0.15882405610747286
