time,L second toe,L third metatarsal head,L fifth metatarsal head,L lateral heel,L heel,L medial heel,L first metatarsal head,L first toe
0.0,1.670654296875,3.6668701171875,3.86212158203125,1.677001953125,5.25634765625,4.812255859375,4.620849609375,3.79345703125
0.00085154,1.670654296875,3.6668701171875,3.88433837890625,1.6893310546875,5.25634765625,4.812255859375,4.59912109375,3.79345703125
0.0015307200000000002,1.730712890625,4.2296142578125,4.0440673828125,1.995849609375,5.435302734375,5.46142578125,4.940673828125,4.053955078125
0.00220172,1.730712890625,4.2296142578125,4.062744140625,1.995849609375,5.435302734375,5.46142578125,4.949462890625,4.053955078125
0.00287104,1.735107421875,4.2296142578125,4.062744140625,1.995849609375,5.435302734375,5.46142578125,4.949462890625,4.053955078125
0.0035499399999999997,1.730712890625,4.2296142578125,4.0440673828125,1.9879150390625,5.435302734375,5.46142578125,4.949462890625,4.053955078125
0.00422285,1.735107421875,4.2296142578125,4.062744140625,1.995849609375,5.435302734375,5.46142578125,4.949462890625,4.073974609375
0.00488937,1.735107421875,4.2296142578125,4.0440673828125,1.995849609375,5.435302734375,5.46142578125,4.949462890625,4.053955078125
0.00555789,1.735107421875,4.2296142578125,4.0440673828125,1.995849609375,5.435302734375,5.46142578125,4.949462890625,4.073974609375
0.00622376,1.735107421875,4.2296142578125,4.0440673828125,1.9879150390625,5.435302734375,5.46142578125,4.949462890625,4.053955078125
0.0068922,1.735107421875,4.2296142578125,4.0440673828125,1.995849609375,5.435302734375,5.46142578125,4.949462890625,4.053955078125
0.00755937,1.730712890625,4.2296142578125,4.0440673828125,1.9879150390625,5.421630859375,5.46142578125,4.949462890625,4.073974609375
0.011894849999999998,1.735107421875,4.2296142578125,4.0440673828125,1.9879150390625,5.421630859375,5.46142578125,4.949462890625,4.073974609375
0.015108,1.735107421875,4.2296142578125,4.0440673828125,1.995849609375,5.421630859375,5.46142578125,4.949462890625,4.053955078125
0.01812813,1.735107421875,4.2296142578125,4.062744140625,1.995849609375,5.421630859375,5.46142578125,4.949462890625,4.073974609375
0.018908849999999998,1.735107421875,4.2296142578125,4.0440673828125,1.9879150390625,5.421630859375,5.46142578125,4.949462890625,4.073974609375
0.01958493,1.735107421875,4.2296142578125,4.0440673828125,1.995849609375,5.421630859375,5.46142578125,4.949462890625,4.073974609375
0.02034467,1.74267578125,4.2120361328125,4.0440673828125,1.995849609375,5.421630859375,5.4462890625,4.949462890625,4.073974609375
0.02111909,1.74267578125,4.2296142578125,4.0440673828125,1.995849609375,5.4052734375,5.4462890625,4.949462890625,4.073974609375
0.02179472,1.74267578125,4.2296142578125,4.062744140625,1.995849609375,5.421630859375,5.4462890625,4.949462890625,4.073974609375
0.02255591,1.74267578125,4.2296142578125,4.0440673828125,1.9879150390625,5.4052734375,5.4462890625,4.949462890625,4.08984375
0.02332198,1.74267578125,4.2296142578125,4.0440673828125,1.995849609375,5.4052734375,5.4462890625,4.949462890625,4.073974609375
0.02408772,1.74267578125,4.2296142578125,4.0440673828125,1.9879150390625,5.4052734375,5.432861328125,4.9619140625,4.073974609375
0.02476244,1.74267578125,4.2296142578125,4.0440673828125,1.995849609375,5.4052734375,5.432861328125,4.949462890625,4.073974609375
0.02552722,1.748779296875,4.2296142578125,4.0440673828125,1.9879150390625,5.388916015625,5.432861328125,4.949462890625,4.073974609375
0.026297499999999998,1.74267578125,4.2296142578125,4.0440673828125,1.9879150390625,5.388916015625,5.432861328125,4.949462890625,4.073974609375
0.02697463,1.74267578125,4.2296142578125,4.0440673828125,1.9879150390625,5.388916015625,5.432861328125,4.9619140625,4.08984375
0.027732569999999998,1.748779296875,4.2296142578125,4.0440673828125,1.9879150390625,5.373779296875,5.432861328125,4.949462890625,4.073974609375
0.02853396,1.748779296875,4.2296142578125,4.0440673828125,1.9879150390625,5.373779296875,5.432861328125,4.9619140625,4.073974609375
0.029318149999999998,1.74267578125,4.2296142578125,4.0440673828125,1.9879150390625,5.373779296875,5.432861328125,4.9619140625,4.073974609375
0.029992219999999997,1.748779296875,4.2296142578125,4.0440673828125,1.9879150390625,5.373779296875,5.4189453125,4.9619140625,4.08984375
0.03075089,1.748779296875,4.2296142578125,4.0440673828125,1.995849609375,5.373779296875,5.4189453125,4.9619140625,4.08984375
0.03151907,1.74267578125,4.2296142578125,4.0440673828125,1.9879150390625,5.357666015625,5.4189453125,4.9619140625,4.073974609375
0.032195060000000005,1.74267578125,4.2296142578125,4.0440673828125,1.995849609375,5.357666015625,5.40380859375,4.9619140625,4.08984375
0.03296269,1.74267578125,4.2296142578125,4.0440673828125,1.9879150390625,5.357666015625,5.4189453125,4.9619140625,4.073974609375
0.033728650000000006,1.74267578125,4.2296142578125,4.0440673828125,1.9879150390625,5.338623046875,5.40380859375,4.9619140625,4.073974609375
0.034497690000000004,1.748779296875,4.2296142578125,4.0440673828125,1.9879150390625,5.338623046875,5.40380859375,4.9619140625,4.08984375
0.03517319,1.748779296875,4.2296142578125,4.0440673828125,1.9879150390625,5.338623046875,5.40380859375,4.9619140625,4.08984375
0.03593115,1.748779296875,4.2296142578125,4.0440673828125,1.9879150390625,5.338623046875,5.40380859375,4.9619140625,4.08984375
0.03670333,1.748779296875,4.2296142578125,4.0440673828125,1.9879150390625,5.3232421875,5.40380859375,4.9619140625,4.08984375
0.03753352,1.748779296875,4.2296142578125,4.0440673828125,1.9879150390625,5.3232421875,5.38623046875,4.9619140625,4.08984375
0.038269040000000004,1.748779296875,4.2296142578125,4.0440673828125,1.978515625,5.3232421875,5.38623046875,4.976318359375,4.08984375
