time,L second toe,L third metatarsal head,L fifth metatarsal head,L lateral calcaneal tuberosity,L calcaneal tuberosity,L medial calcaneal tuberosity,L first metatarsal head,L first toe
1.395659870000003,3.1162109375,10.002685546875,5.9534912109375,3.4036865234375,3.376708984375,6.091796875,17.23876953125,6.50634765625
1.398871580000005,3.18310546875,10.15625,5.9534912109375,3.3450927734375,3.201416015625,5.997802734375,17.337158203125,6.56787109375
1.401990369999993,3.2708740234375,10.379638671875,5.9534912109375,3.30029296875,3.010498046875,5.83837890625,17.451171875,6.650390625
1.4050463300000047,3.3753662109375,10.548828125,5.9534912109375,3.2265625,2.896728515625,5.71435546875,17.54638671875,6.729736328125
1.4081297999999975,3.46337890625,10.7255859375,5.96990966796875,3.1339111328125,2.809326171875,5.50244140625,17.651611328125,6.79736328125
1.4112321500000036,3.5203857421875,10.834716796875,5.96990966796875,3.0435791015625,2.737548828125,5.231689453125,17.76123046875,6.900146484375
1.4144047999999998,3.6026611328125,11.076904296875,5.96990966796875,2.989501953125,2.666259765625,4.797607421875,17.76123046875,6.97705078125
1.417444279999998,3.6951904296875,11.19921875,5.96990966796875,2.90380859375,2.596923828125,4.455322265625,17.8662109375,7.057373046875
1.4205810200000002,3.8182373046875,11.31884765625,5.96990966796875,2.8236083984375,2.521728515625,4.16162109375,17.983642578125,7.096923828125
1.4236893899999927,3.95361328125,11.501220703125,5.983642578125,2.7598876953125,2.4403076171875,3.77783203125,18.086669921875,7.16943359375
1.426876820000004,4.076416015625,11.632568359375,5.983642578125,2.569580078125,2.4312744140625,3.38818359375,18.086669921875,7.23486328125
1.4299623699999984,4.208984375,11.76220703125,5.983642578125,2.4261474609375,2.251953125,2.9588623046875,18.189453125,7.33740234375
1.433038719999999,4.3079833984375,11.886962890625,5.983642578125,2.2752685546875,2.0145263671875,2.602294921875,18.189453125,7.4306640625
1.436169410000005,4.3905029296875,11.9580078125,5.983642578125,2.1815185546875,1.964111328125,2.51708984375,18.3046875,7.50732421875
