,Name,Sync,F1X1,F1X3,F1Y1,F1Y2,F1Z1,F1Z2,F1Z3,F1Z4,F2X1,F2X3,F2Y1,F2Y2,F2Z1,F2Z2,F2Z3,F2Z4
587,0.978333,10444.0,3.0,5.0,-23.0,-10.0,-20.0,-7.0,-14.0,-20.0,-26.0,-15.0,-20.0,-17.0,-16.0,-14.0,-12.0,-20.0
588,0.98,10475.0,-2.0,6.0,-37.0,-29.0,-10.0,-1.0,-12.0,-18.0,-20.0,-9.0,-12.0,-19.0,-10.0,-8.0,-14.0,-15.0
589,0.981667,10452.0,10.0,14.0,-46.0,-40.0,0.0,3.0,-6.0,-6.0,-24.0,-10.0,-15.0,-26.0,-13.0,-9.0,-8.0,-17.0
590,0.983333,10451.0,-16.0,-13.0,-65.0,-63.0,-33.0,-28.0,-28.0,-32.0,-76.0,-58.0,-60.0,-69.0,-58.0,-57.0,-55.0,-65.0
591,0.985,10454.0,-14.0,0.0,-73.0,-64.0,-29.0,-22.0,-27.0,-27.0,-47.0,-33.0,-37.0,-51.0,-28.0,-24.0,-21.0,-30.0
592,0.986667,10447.0,-10.0,-4.0,-70.0,-57.0,-18.0,-4.0,-9.0,-19.0,-40.0,-28.0,-24.0,-31.0,-16.0,-10.0,-10.0,-26.0
593,0.988333,10460.0,-16.0,-5.0,-57.0,-50.0,-6.0,-2.0,-3.0,-10.0,-34.0,-16.0,-21.0,-30.0,-19.0,-9.0,-3.0,-16.0
594,0.99,10462.0,-13.0,3.0,-57.0,-54.0,-9.0,-1.0,-8.0,-13.0,-33.0,-22.0,-18.0,-27.0,-10.0,-6.0,-3.0,-16.0
595,0.991667,10446.0,-40.0,-26.0,-81.0,-76.0,-36.0,-28.0,-32.0,-37.0,-82.0,-68.0,-65.0,-75.0,-65.0,-57.0,-55.0,-64.0
596,0.993333,10447.0,-35.0,-21.0,-62.0,-57.0,-21.0,-10.0,-14.0,-19.0,-54.0,-46.0,-40.0,-47.0,-30.0,-26.0,-21.0,-35.0
597,0.995,10457.0,-15.0,-2.0,-57.0,-45.0,-16.0,-5.0,-15.0,-19.0,-36.0,-21.0,-20.0,-28.0,-14.0,-10.0,-5.0,-14.0
598,0.996667,10428.0,-13.0,0.0,-47.0,-40.0,-16.0,-7.0,-9.0,-19.0,-28.0,-20.0,-20.0,-26.0,-13.0,-6.0,-5.0,-17.0
599,0.998333,10452.0,-8.0,3.0,-46.0,-34.0,-9.0,1.0,-8.0,-16.0,-32.0,-16.0,-19.0,-21.0,-15.0,-17.0,-7.0,-22.0
