,Name,Sync,F1X1,F1X3,F1Y1,F1Y2,F1Z1,F1Z2,F1Z3,F1Z4,F2X1,F2X3,F2Y1,F2Y2,F2Z1,F2Z2,F2Z3,F2Z4
618,1.03,10442.0,-1.0,-28.0,23.0,34.0,-13.0,-4.0,-12.0,-22.0,9.0,9.0,-15.0,3.0,-19.0,-10.0,-18.0,-18.0
619,1.031667,10451.0,-1.0,-32.0,22.0,31.0,-10.0,-3.0,-14.0,-21.0,6.0,10.0,-16.0,11.0,-18.0,-9.0,-17.0,-20.0
620,1.033333,10439.0,-44.0,-74.0,-19.0,-13.0,-55.0,-49.0,-56.0,-65.0,-64.0,-67.0,-93.0,-67.0,-104.0,-91.0,-91.0,-96.0
621,1.035,10443.0,-23.0,-49.0,5.0,13.0,-30.0,-21.0,-27.0,-38.0,-18.0,-23.0,-43.0,-10.0,-43.0,-35.0,-36.0,-41.0
622,1.036667,10438.0,-6.0,-37.0,22.0,28.0,-15.0,-3.0,-19.0,-28.0,5.0,5.0,-22.0,9.0,-21.0,-15.0,-18.0,-19.0
623,1.038333,10434.0,-4.0,-35.0,24.0,28.0,-13.0,-4.0,-10.0,-23.0,6.0,6.0,-19.0,11.0,-18.0,-13.0,-15.0,-14.0
624,1.04,10450.0,-4.0,-35.0,24.0,32.0,-9.0,-3.0,-12.0,-23.0,5.0,5.0,-17.0,12.0,-14.0,-14.0,-17.0,-16.0
625,1.041667,10451.0,-46.0,-76.0,-17.0,-9.0,-58.0,-46.0,-59.0,-68.0,-70.0,-67.0,-97.0,-65.0,-97.0,-90.0,-92.0,-93.0
626,1.043333,10443.0,-23.0,-56.0,6.0,13.0,-30.0,-21.0,-28.0,-42.0,-21.0,-20.0,-40.0,-10.0,-42.0,-32.0,-43.0,-40.0
627,1.045,10441.0,-6.0,-37.0,21.0,31.0,-14.0,-7.0,-14.0,-24.0,3.0,1.0,-15.0,4.0,-20.0,-14.0,-18.0,-20.0
628,1.046667,10440.0,-4.0,-36.0,25.0,32.0,-14.0,-2.0,-12.0,-23.0,4.0,6.0,-18.0,13.0,-19.0,-10.0,-18.0,-21.0
