,Name,Sync,F1X1,F1X3,F1Y1,F1Y2,F1Z1,F1Z2,F1Z3,F1Z4,F2X1,F2X3,F2Y1,F2Y2,F2Z1,F2Z2,F2Z3,F2Z4
2257,3.761667,10431.0,-30.0,-38.0,-19.0,-9.0,-22.0,-9.0,-17.0,-27.0,-16.0,-14.0,-23.0,-5.0,-16.0,-6.0,-7.0,-10.0
2258,3.763333,10442.0,-24.0,-34.0,-19.0,-6.0,-20.0,-6.0,-16.0,-21.0,-14.0,-5.0,-24.0,-3.0,-13.0,-7.0,-7.0,-9.0
2259,3.765,10439.0,-26.0,-38.0,-18.0,-3.0,-20.0,-6.0,-14.0,-24.0,-15.0,-9.0,-19.0,-6.0,-13.0,-4.0,-8.0,-10.0
2260,3.766667,10466.0,-69.0,-79.0,-62.0,-51.0,-65.0,-57.0,-62.0,-71.0,-61.0,-53.0,-62.0,-54.0,-62.0,-54.0,-54.0,-59.0
2261,3.768333,10440.0,-47.0,-57.0,-37.0,-23.0,-36.0,-28.0,-35.0,-43.0,-32.0,-23.0,-34.0,-20.0,-30.0,-22.0,-20.0,-26.0
2262,3.77,10434.0,-30.0,-41.0,-20.0,-8.0,-21.0,-10.0,-19.0,-26.0,-18.0,-14.0,-18.0,-4.0,-21.0,-8.0,-8.0,-12.0
2263,3.771667,10445.0,-30.0,-36.0,-20.0,-5.0,-16.0,-5.0,-22.0,-22.0,-15.0,-8.0,-19.0,-1.0,-14.0,-9.0,-5.0,-16.0
2264,3.773333,10427.0,-29.0,-36.0,-20.0,-4.0,-19.0,-7.0,-15.0,-23.0,-15.0,-9.0,-19.0,-2.0,-10.0,-13.0,-7.0,-9.0
2265,3.775,10455.0,-70.0,-86.0,-62.0,-50.0,-67.0,-55.0,-62.0,-72.0,-60.0,-58.0,-67.0,-50.0,-61.0,-56.0,-59.0,-62.0
2266,3.776667,10450.0,-48.0,-64.0,-40.0,-27.0,-38.0,-26.0,-32.0,-42.0,-35.0,-26.0,-35.0,-19.0,-26.0,-19.0,-23.0,-26.0
2267,3.778333,10440.0,-31.0,-38.0,-21.0,-6.0,-23.0,-9.0,-21.0,-26.0,-21.0,-13.0,-19.0,-6.0,-16.0,-6.0,-13.0,-15.0
2268,3.78,10443.0,-27.0,-36.0,-18.0,-3.0,-19.0,-5.0,-16.0,-23.0,-17.0,-14.0,-18.0,-2.0,-15.0,-6.0,-4.0,-19.0
2269,3.781667,10445.0,-28.0,-36.0,-18.0,-5.0,-18.0,-6.0,-15.0,-23.0,-13.0,-16.0,-19.0,-3.0,-13.0,-5.0,-5.0,-7.0
2270,3.783333,10439.0,-70.0,-86.0,-61.0,-49.0,-65.0,-56.0,-63.0,-71.0,-60.0,-58.0,-70.0,-48.0,-62.0,-55.0,-55.0,-56.0
