,Name,Sync,F1X1,F1X3,F1Y1,F1Y2,F1Z1,F1Z2,F1Z3,F1Z4,F2X1,F2X3,F2Y1,F2Y2,F2Z1,F2Z2,F2Z3,F2Z4
652,1.086667,10453.0,-20.0,-27.0,-18.0,-6.0,-17.0,-9.0,-19.0,-22.0,-14.0,-19.0,-14.0,0.0,-17.0,6.0,-10.0,-18.0
653,1.088333,10443.0,-18.0,-20.0,-17.0,-5.0,-18.0,-9.0,-16.0,-20.0,-14.0,-22.0,-14.0,-2.0,-12.0,8.0,-5.0,-15.0
654,1.09,10445.0,-18.0,-28.0,-15.0,-3.0,-16.0,-5.0,-19.0,-22.0,-15.0,-16.0,-13.0,1.0,-10.0,3.0,-6.0,-10.0
655,1.091667,10441.0,-63.0,-71.0,-63.0,-54.0,-64.0,-60.0,-63.0,-70.0,-60.0,-65.0,-62.0,-46.0,-61.0,-41.0,-56.0,-61.0
656,1.093333,10445.0,-44.0,-47.0,-38.0,-23.0,-37.0,-28.0,-36.0,-41.0,-31.0,-35.0,-30.0,-13.0,-23.0,-14.0,-21.0,-26.0
657,1.095,10442.0,-20.0,-28.0,-17.0,-6.0,-19.0,-10.0,-15.0,-24.0,-15.0,-17.0,-18.0,-1.0,-10.0,3.0,-9.0,-13.0
658,1.096667,10451.0,-19.0,-26.0,-17.0,-3.0,-15.0,-8.0,-14.0,-23.0,-15.0,-19.0,-13.0,1.0,-9.0,5.0,-10.0,-13.0
659,1.098333,10445.0,-18.0,-24.0,-13.0,-1.0,-17.0,-8.0,-17.0,-21.0,-15.0,-18.0,-15.0,0.0,-14.0,7.0,-7.0,-12.0
660,1.1,10445.0,-61.0,-76.0,-61.0,-50.0,-67.0,-58.0,-64.0,-72.0,-64.0,-64.0,-59.0,-46.0,-60.0,-44.0,-61.0,-61.0
661,1.101667,10439.0,-40.0,-47.0,-36.0,-22.0,-37.0,-30.0,-33.0,-38.0,-33.0,-37.0,-23.0,-18.0,-27.0,-9.0,-20.0,-24.0
662,1.103333,10445.0,-20.0,-31.0,-17.0,-5.0,-18.0,-9.0,-20.0,-24.0,-22.0,-22.0,-13.0,0.0,-16.0,3.0,-8.0,-17.0
663,1.105,10438.0,-21.0,-27.0,-16.0,-2.0,-17.0,-10.0,-14.0,-21.0,-14.0,-19.0,-9.0,0.0,-12.0,5.0,-6.0,-13.0
664,1.106667,10444.0,-19.0,-27.0,-19.0,-1.0,-15.0,-8.0,-16.0,-16.0,-18.0,-22.0,-13.0,1.0,-13.0,7.0,-4.0,-17.0
665,1.108333,10443.0,-64.0,-77.0,-62.0,-48.0,-65.0,-59.0,-63.0,-74.0,-62.0,-69.0,-58.0,-45.0,-69.0,-45.0,-54.0,-63.0
666,1.11,10448.0,-43.0,-49.0,-40.0,-22.0,-36.0,-27.0,-35.0,-42.0,-32.0,-41.0,-28.0,-14.0,-28.0,-9.0,-18.0,-30.0
667,1.111667,10453.0,-22.0,-33.0,-18.0,-4.0,-19.0,-13.0,-20.0,-22.0,-19.0,-24.0,-12.0,4.0,-16.0,1.0,-8.0,-10.0
668,1.113333,10470.0,-18.0,-28.0,-15.0,-3.0,-19.0,-8.0,-14.0,-22.0,-13.0,-27.0,-12.0,0.0,-12.0,5.0,-7.0,-14.0
669,1.115,10453.0,-21.0,-29.0,-15.0,-2.0,-17.0,-7.0,-16.0,-21.0,-18.0,-19.0,-12.0,4.0,-12.0,0.0,-5.0,-16.0
