time,R third metatarsal head,R second toe,R fifth metatarsal head,R lateral calcaneal tuberosity,R calcaneal tuberosity,R medial calcaneal tuberosity,R first metatarsal head,R first toe
0.0027794599999992897,1.6588134765625,2.3172607421875,2.743377685546875,1.41021728515625,2.182647705078125,4.8233642578125,0.2438507080078125,5.6365966796875
0.005865569999997433,1.6588134765625,2.266357421875,2.743377685546875,1.41021728515625,2.182647705078125,4.8087158203125,0.2438507080078125,5.617462158203125
0.008971290000005183,1.6588134765625,2.2525634765625,2.743377685546875,1.41021728515625,2.172454833984375,4.7935791015625,0.2438507080078125,5.6365966796875
0.012074330000018563,1.66827392578125,2.227783203125,2.743377685546875,1.41021728515625,2.172454833984375,4.77947998046875,0.2438507080078125,5.6365966796875
0.015251550000016323,1.67779541015625,2.190185546875,2.743377685546875,1.383819580078125,2.172454833984375,4.74957275390625,0.2438507080078125,5.6365966796875
0.01832909000000882,1.67779541015625,2.1650390625,2.743377685546875,1.35760498046875,2.16168212890625,4.7340087890625,0.2438507080078125,5.6365966796875
0.021434330000005275,1.6876220703125,2.1524658203125,2.743377685546875,1.304840087890625,2.16168212890625,4.71868896484375,0.2438507080078125,5.617462158203125
0.024564789999999448,1.6876220703125,2.140869140625,2.743377685546875,1.25006103515625,2.16168212890625,4.70355224609375,0.2438507080078125,5.617462158203125
0.027734129999998913,1.697265625,2.1287841796875,2.743377685546875,1.195465087890625,2.118499755859375,4.6722412109375,0.2438507080078125,5.617462158203125
0.03080305000000294,1.7069091796875,2.11572265625,2.743377685546875,1.1680908203125,2.09625244140625,4.65655517578125,0.2438507080078125,5.617462158203125
0.03391763999999853,1.71673583984375,2.10302734375,2.729583740234375,1.140625,2.073394775390625,4.624755859375,0.2438507080078125,5.617462158203125
0.03703064000001177,1.71673583984375,2.10302734375,2.729583740234375,1.140625,2.0504150390625,4.6087646484375,0.2438507080078125,5.5997314453125
0.04018861000000129,1.72711181640625,2.10302734375,2.729583740234375,1.112945556640625,2.02618408203125,4.6087646484375,0.2438507080078125,5.5997314453125
0.04328438000001711,1.736572265625,2.10302734375,2.743377685546875,1.112945556640625,2.01373291015625,4.59295654296875,0.2438507080078125,5.5997314453125
0.04640600000001882,1.736572265625,2.091796875,2.743377685546875,1.0841064453125,1.976470947265625,4.5771484375,0.22320556640625,5.5997314453125
0.04948390000001268,1.74658203125,2.091796875,2.743377685546875,1.0841064453125,1.950927734375,4.54461669921875,0.1349639892578125,5.5997314453125
0.052600940000019136,1.757080078125,2.079345703125,2.729583740234375,1.0841064453125,1.897186279296875,4.5281982421875,0.12570953369140625,5.579803466796875
0.055741920000002665,1.76702880859375,2.079345703125,2.743377685546875,1.0841064453125,1.85546875,4.5281982421875,0.1025238037109375,5.579803466796875
0.058888130000013916,1.777099609375,2.079345703125,2.743377685546875,1.0556640625,1.84124755859375,4.477783203125,0.09893035888671875,5.561492919921875
0.06196227000000931,1.777099609375,2.0673828125,2.743377685546875,1.0272216796875,1.826416015625,4.477783203125,0.1080474853515625,5.561492919921875
0.0650810000000206,1.777099609375,2.0673828125,2.75933837890625,1.0272216796875,1.7969970703125,4.477783203125,0.11296844482421875,5.5433349609375
0.06819427000002065,1.78778076171875,2.0673828125,2.77349853515625,0.96905517578125,1.735992431640625,4.4615478515625,0.14722442626953125,5.524627685546875
0.07171200999999883,1.78778076171875,2.0673828125,2.78961181640625,0.88128662109375,1.70416259765625,4.42767333984375,0.16547393798828125,5.506500244140625
0.07441172000000051,1.80877685546875,2.056640625,2.78961181640625,0.88128662109375,1.671356201171875,4.42767333984375,0.18532562255859375,5.488922119140625
0.07767479000000321,1.8192138671875,2.056640625,2.78961181640625,0.88128662109375,1.671356201171875,4.4105224609375,0.2177886962890625,5.47021484375
0.08065687000001276,1.84063720703125,2.056640625,2.8040771484375,0.88128662109375,1.654632568359375,4.4105224609375,0.2661895751953125,5.45263671875
0.0837866100000042,1.84063720703125,2.056640625,2.8040771484375,0.88128662109375,1.654632568359375,4.4105224609375,0.318328857421875,5.416259765625
0.08685379000002058,1.85174560546875,2.056640625,2.8040771484375,0.88128662109375,1.63812255859375,4.39349365234375,0.37298583984375,5.398406982421875
0.08999328999999534,1.85174560546875,2.056640625,2.8040771484375,0.8514404296875,1.63812255859375,4.37640380859375,0.4837799072265625,5.364349365234375
0.09309238000000164,1.86309814453125,2.056640625,2.8173828125,0.8514404296875,1.63812255859375,4.37640380859375,0.5659942626953125,5.32977294921875
0.09625016000001096,1.86309814453125,2.056640625,2.8173828125,0.8514404296875,1.620849609375,4.37640380859375,0.6451568603515625,5.312286376953125
0.09931593999999677,1.8743896484375,2.056640625,2.8173828125,0.8514404296875,1.60394287109375,4.37640380859375,0.6949005126953125,5.277679443359375
0.10245496000001708,1.8743896484375,2.056640625,2.8333740234375,0.8514404296875,1.60394287109375,4.37640380859375,0.731170654296875,5.261322021484375
0.1055575000000033,1.885498046875,2.056640625,2.8333740234375,0.8514404296875,1.60394287109375,4.37640380859375,0.8210906982421875,5.244293212890625
0.10864614000001893,1.8966064453125,2.056640625,2.8333740234375,0.8514404296875,1.60394287109375,4.37640380859375,0.8313751220703125,5.227264404296875
0.11175835000000234,1.8966064453125,2.056640625,2.84771728515625,0.8514404296875,1.60394287109375,4.37640380859375,0.851776123046875,5.193572998046875
0.11489409000000705,1.90863037109375,2.056640625,2.84771728515625,0.8514404296875,1.60394287109375,4.37640380859375,0.861663818359375,5.161407470703125
