Time,layout.dim,layout.data_offset,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7
1714455915.3339136,[],0,0.0,-0.19999998807907104,-0.19995412230491638,-0.19994467496871948,-0.20004364848136902,-0.20004364848136902,-0.2003684788942337,-0.0003684851690195501
1714455915.3439696,[],0,0.0,-0.19999994337558746,-0.19982971251010895,-0.1998155266046524,-0.20001256465911865,-0.19993750751018524,-0.20026235282421112,-0.00026235124096274376
1714455915.353784,[],0,0.0,-0.1999998837709427,-0.1997728794813156,-0.19968841969966888,-0.20003217458724976,-0.1999504566192627,-0.20027530193328857,-0.0002753099543042481
1714455915.3638453,[],0,0.0,-0.1999998241662979,-0.19972698390483856,-0.19964252412319183,-0.20008431375026703,-0.19992095232009888,-0.20024579763412476,-0.00024581540492363274
1714455915.3738234,[],0,0.0,-0.1999998241662979,-0.19974873960018158,-0.19966427981853485,-0.20034915208816528,-0.20011736452579498,-0.20044220983982086,-0.00044223072472959757
1714455915.3837578,[],0,0.0,-0.1999998241662979,-0.19972454011440277,-0.19964008033275604,-0.20047159492969513,-0.20016475021839142,-0.2004895955324173,-0.0004896133905276656
1714455915.3938751,[],0,0.0,-0.19999977946281433,-0.19974622130393982,-0.1996617615222931,-0.20068775117397308,-0.20030583441257477,-0.20063067972660065,-0.0006306989816948771
1714455915.403824,[],0,0.0,-0.19999977946281433,-0.19976793229579926,-0.19968347251415253,-0.20090477168560028,-0.20044785737991333,-0.2007727026939392,-0.0007727184565737844
1714455915.4138424,[],0,0.0,-0.19999979436397552,-0.19985733926296234,-0.1997728794813156,-0.20123811066150665,-0.20078784227371216,-0.20111267268657684,-0.001112699625082314
1714455915.4238331,[],0,0.0,-0.1999998390674591,-0.19994673132896423,-0.1998622715473175,-0.2015227973461151,-0.20100411772727966,-0.20132896304130554,-0.001328977756202221
1714455915.4343328,[],0,0.0,-0.1999998241662979,-0.19995756447315216,-0.19987310469150543,-0.20177768170833588,-0.201203852891922,-0.20185351371765137,-0.0018535297131165862
1714455915.4437194,[],0,0.0,-0.1999998390674591,-0.20013636350631714,-0.2000519037246704,-0.2022004872560501,-0.20163995027542114,-0.20228959619998932,-0.0022896411828696728
1714455915.4537754,[],0,0.0,-0.1999998539686203,-0.20022571086883545,-0.20014125108718872,-0.2025337964296341,-0.20191818475723267,-0.20256784558296204,-0.002567879157140851
1714455915.463792,[],0,0.0,-0.19999980926513672,-0.20040446519851685,-0.20032000541687012,-0.2031998187303543,-0.20260414481163025,-0.20325380563735962,-0.0032538443338125944
1714455915.473826,[],0,0.0,-0.1999998390674591,-0.2006833851337433,-0.20059892535209656,-0.2037706971168518,-0.20313316583633423,-0.2037828117609024,-0.0037828581407666206
