,time,vout
32058,100.19398855,0.098
32059,100.19713007,0.1
32060,100.20036233,0.098
32061,100.20341429,0.1
32062,100.2065279,0.1
32063,100.20965605,0.098
32064,100.21278996,0.098
32065,100.215892,0.098
32066,100.21903262,0.098
32067,100.22217013,0.098
32068,100.22529557,0.098
32069,100.22847564,0.1
32070,100.23155813,0.1
32071,100.23470533,0.098
32072,100.23788288,0.098
32073,100.24095357,0.098
32074,100.24416051,0.098
32075,100.2472439,0.1
32076,100.25038705,0.1
32077,100.25353474,0.098
32078,100.25666605,0.098
32079,100.25985494,0.098
32080,100.26293963,0.098
32081,100.26611061,0.098
32082,100.26925627,0.098
32083,100.27243833,0.1
32084,100.27556153,0.1
32085,100.27865055,0.1
32086,100.28176827,0.098
32087,100.28491642,0.098
32088,100.2880112,0.1
32089,100.29116138,0.1
32090,100.29432961,0.098
32091,100.29739392,0.098
32092,100.30058933,0.098
32093,100.30368542,0.1
32094,100.3067827,0.1
32095,100.30991007,0.1
32096,100.313044,0.1
32097,100.31622877,0.1
32098,100.31937446,0.098
32099,100.3225792,0.098
32100,100.3256032,0.098
32101,100.32870759,0.098
32102,100.33181279,0.1
32103,100.334943,0.098
32104,100.33808738,0.1
32105,100.34123583,0.098
32106,100.34434438,0.098
32107,100.34748801,0.1
32108,100.35060696,0.098
32109,100.35378079,0.098
32110,100.35686787,0.1
32111,100.35993266,0.1
32112,100.36306579,0.098
32113,100.36617805,0.098
32114,100.36930566,0.1
32115,100.37249599,0.098
32116,100.37555546,0.1
32117,100.37876029,0.098
32118,100.38190972,0.098
32119,100.38499151,0.1
32120,100.3881122,0.1
32121,100.39125109,0.1
32122,100.394308,0.098
32123,100.39749644,0.098
32124,100.40065764,0.098
32125,100.40370498,0.098
32126,100.40694192,0.098
32127,100.41007535,0.098
32128,100.41318633,0.098
32129,100.41630355,0.1
32130,100.4194439,0.1
32131,100.42253826,0.098
32132,100.42566768,0.098
32133,100.42881155,0.1
32134,100.43195353,0.098
32135,100.43517751,0.098
32136,100.438262,0.1
32137,100.44142749,0.1
32138,100.44452285,0.098
32139,100.44759403,0.098
32140,100.45071076,0.098
32141,100.45391718,0.098
32142,100.45697181,0.1
32143,100.46016496,0.1
32144,100.46332951,0.1
32145,100.46650624,0.1
32146,100.46957572,0.1
32147,100.47267009,0.098
32148,100.47577716,0.1
32149,100.47896638,0.1
32150,100.48208755,0.1
32151,100.48517696,0.1
32152,100.48838527,0.098
32153,100.49157455,0.1
32154,100.49466361,0.1
32155,100.49777018,0.098
32156,100.50088476,0.098
32157,100.50396905,0.1
32158,100.50708877,0.098
32159,100.51021251,0.1
32160,100.5133359,0.1
32161,100.51657825,0.1
32162,100.51966076,0.1
32163,100.52279522,0.098
32164,100.52596724,0.1
32165,100.52899207,0.098
32166,100.53212431,0.1
32167,100.5352959,0.098
32168,100.53837444,0.1
32169,100.5415185,0.098
32170,100.54476853,0.1
32171,100.54781675,0.1
32172,100.55099522,0.098
32173,100.55411474,0.1
32174,100.55717433,0.098
32175,100.56027627,0.1
32176,100.56346935,0.1
32177,100.56656349,0.1
32178,100.56968679,0.1
32179,100.57281235,0.1
32180,100.57599437,0.1
32181,100.57920294,0.1
32182,100.58225379,0.1
32183,100.58536529,0.098
32184,100.58846825,0.1
32185,100.59158625,0.1
32186,100.59472677,0.098
32187,100.59787527,0.098
32188,100.60110514,0.098
32189,100.60416242,0.1
32190,100.60732518,0.098
32191,100.61045313,0.098
32192,100.61353499,0.1
32193,100.6166122,0.098
32194,100.61974477,0.1
32195,100.62290875,0.098
32196,100.62596288,0.1
32197,100.62909781,0.098
32198,100.63229809,0.096
32199,100.63541622,0.1
32200,100.63858513,0.098
32201,100.64166911,0.098
32202,100.64476535,0.1
32203,100.64785037,0.098
32204,100.65100253,0.098
32205,100.6541459,0.098
32206,100.65724029,0.098
32207,100.66035827,0.098
32208,100.66358488,0.1
32209,100.66671485,0.098
32210,100.6697962,0.098
32211,100.67292861,0.1
32212,100.67601522,0.1
32213,100.67913192,0.098
32214,100.68227825,0.098
32215,100.68549459,0.1
32216,100.68854003,0.098
32217,100.69179935,0.098
32218,100.69491303,0.098
32219,100.69799403,0.098
32220,100.70113364,0.1
32221,100.7041907,0.1
32222,100.70731359,0.098
32223,100.71048675,0.112
32224,100.71358111,0.114
32225,100.71676587,0.118
32226,100.71991198,0.118
32227,100.72301581,0.12
32228,100.72614498,0.124
32229,100.72928425,0.146
32230,100.73235974,0.148
32231,100.73555261,0.154
32232,100.73868759,0.16
32233,100.74176079,0.176
32234,100.74491279,0.182
32235,100.74808274,0.192
32236,100.75123392,0.204
32237,100.75434231,0.232
32238,100.75746127,0.244
32239,100.7606075,0.256
32240,100.76370999,0.272
32241,100.7668164,0.292
32242,100.76995999,0.312
32243,100.77308659,0.33
32244,100.77630716,0.34
32245,100.7794005,0.358
32246,100.7826457,0.374
32247,100.78567053,0.394
32248,100.7887682,0.412
32249,100.79196007,0.434
32250,100.79503651,0.454
32251,100.79822298,0.468
32252,100.80131861,0.48
32253,100.80455572,0.494
