,time,vout
32058,100.19398855,0.146
32059,100.19713007,0.146
32060,100.20036233,0.146
32061,100.20341429,0.144
32062,100.2065279,0.144
32063,100.20965605,0.146
32064,100.21278996,0.146
32065,100.215892,0.144
32066,100.21903262,0.144
32067,100.22217013,0.146
32068,100.22529557,0.144
32069,100.22847564,0.144
32070,100.23155813,0.144
32071,100.23470533,0.142
32072,100.23788288,0.144
32073,100.24095357,0.144
32074,100.24416051,0.142
32075,100.2472439,0.142
32076,100.25038705,0.144
32077,100.25353474,0.144
32078,100.25666605,0.142
32079,100.25985494,0.144
32080,100.26293963,0.142
32081,100.26611061,0.142
32082,100.26925627,0.142
32083,100.27243833,0.142
32084,100.27556153,0.142
32085,100.27865055,0.142
32086,100.28176827,0.142
32087,100.28491642,0.142
32088,100.2880112,0.142
32089,100.29116138,0.142
32090,100.29432961,0.14
32091,100.29739392,0.142
32092,100.30058933,0.142
32093,100.30368542,0.142
32094,100.3067827,0.142
32095,100.30991007,0.142
32096,100.313044,0.14
32097,100.31622877,0.142
32098,100.31937446,0.142
32099,100.3225792,0.142
32100,100.3256032,0.142
32101,100.32870759,0.142
32102,100.33181279,0.142
32103,100.334943,0.142
32104,100.33808738,0.142
32105,100.34123583,0.142
32106,100.34434438,0.142
32107,100.34748801,0.14
32108,100.35060696,0.142
32109,100.35378079,0.142
32110,100.35686787,0.142
32111,100.35993266,0.142
32112,100.36306579,0.142
32113,100.36617805,0.142
32114,100.36930566,0.14
32115,100.37249599,0.142
32116,100.37555546,0.142
32117,100.37876029,0.142
32118,100.38190972,0.142
32119,100.38499151,0.142
32120,100.3881122,0.142
32121,100.39125109,0.144
32122,100.394308,0.142
32123,100.39749644,0.142
32124,100.40065764,0.142
32125,100.40370498,0.14
32126,100.40694192,0.142
32127,100.41007535,0.14
32128,100.41318633,0.14
32129,100.41630355,0.14
32130,100.4194439,0.14
32131,100.42253826,0.14
32132,100.42566768,0.14
32133,100.42881155,0.14
32134,100.43195353,0.14
32135,100.43517751,0.14
32136,100.438262,0.14
32137,100.44142749,0.138
32138,100.44452285,0.14
32139,100.44759403,0.14
32140,100.45071076,0.138
32141,100.45391718,0.138
32142,100.45697181,0.14
32143,100.46016496,0.138
32144,100.46332951,0.14
32145,100.46650624,0.14
32146,100.46957572,0.138
32147,100.47267009,0.138
32148,100.47577716,0.138
32149,100.47896638,0.138
32150,100.48208755,0.14
32151,100.48517696,0.138
32152,100.48838527,0.138
32153,100.49157455,0.138
32154,100.49466361,0.138
32155,100.49777018,0.14
32156,100.50088476,0.138
32157,100.50396905,0.14
32158,100.50708877,0.14
32159,100.51021251,0.14
32160,100.5133359,0.14
32161,100.51657825,0.14
32162,100.51966076,0.14
32163,100.52279522,0.14
32164,100.52596724,0.14
32165,100.52899207,0.14
32166,100.53212431,0.138
32167,100.5352959,0.138
32168,100.53837444,0.14
32169,100.5415185,0.138
32170,100.54476853,0.138
32171,100.54781675,0.136
32172,100.55099522,0.134
32173,100.55411474,0.134
32174,100.55717433,0.132
32175,100.56027627,0.136
32176,100.56346935,0.14
32177,100.56656349,0.148
32178,100.56968679,0.156
32179,100.57281235,0.16
32180,100.57599437,0.18
32181,100.57920294,0.21
32182,100.58225379,0.238
32183,100.58536529,0.264
32184,100.58846825,0.278
32185,100.59158625,0.286
32186,100.59472677,0.292
32187,100.59787527,0.304
32188,100.60110514,0.31
32189,100.60416242,0.316
32190,100.60732518,0.322
32191,100.61045313,0.324
32192,100.61353499,0.324
32193,100.6166122,0.328
32194,100.61974477,0.332
32195,100.62290875,0.332
32196,100.62596288,0.334
32197,100.62909781,0.338
32198,100.63229809,0.342
32199,100.63541622,0.344
32200,100.63858513,0.348
32201,100.64166911,0.35
32202,100.64476535,0.348
32203,100.64785037,0.348
32204,100.65100253,0.35
32205,100.6541459,0.348
32206,100.65724029,0.35
32207,100.66035827,0.35
32208,100.66358488,0.35
32209,100.66671485,0.35
32210,100.6697962,0.35
32211,100.67292861,0.35
32212,100.67601522,0.35
32213,100.67913192,0.352
32214,100.68227825,0.35
32215,100.68549459,0.35
32216,100.68854003,0.35
32217,100.69179935,0.35
32218,100.69491303,0.35
32219,100.69799403,0.35
32220,100.70113364,0.352
32221,100.7041907,0.352
32222,100.70731359,0.354
32223,100.71048675,0.356
32224,100.71358111,0.356
32225,100.71676587,0.36
32226,100.71991198,0.36
32227,100.72301581,0.364
32228,100.72614498,0.366
32229,100.72928425,0.366
32230,100.73235974,0.368
32231,100.73555261,0.37
32232,100.73868759,0.374
32233,100.74176079,0.376
32234,100.74491279,0.38
32235,100.74808274,0.388
32236,100.75123392,0.394
32237,100.75434231,0.404
32238,100.75746127,0.418
32239,100.7606075,0.424
32240,100.76370999,0.434
32241,100.7668164,0.442
32242,100.76995999,0.456
32243,100.77308659,0.462
32244,100.77630716,0.472
32245,100.7794005,0.478
32246,100.7826457,0.484
32247,100.78567053,0.494
32248,100.7887682,0.498
32249,100.79196007,0.508
32250,100.79503651,0.518
32251,100.79822298,0.522
32252,100.80131861,0.534
32253,100.80455572,0.544
32254,100.80762524,0.554
32255,100.81077814,0.568
32256,100.81386401,0.574
32257,100.81693744,0.584
32258,100.8200945,0.592
32259,100.82322305,0.598
32260,100.82634533,0.604
32261,100.82965222,0.612
32262,100.83271713,0.62
32263,100.83580605,0.626
32264,100.83893464,0.634
32265,100.84204625,0.644
32266,100.84515061,0.652
32267,100.84826944,0.654
32268,100.85140548,0.666
32269,100.85456837,0.672
32270,100.85772794,0.676
32271,100.8609085,0.68
32272,100.86403138,0.686
32273,100.86717711,0.69
32274,100.87025238,0.698
32275,100.87342886,0.702
32276,100.87655751,0.706
32277,100.87961927,0.712
32278,100.88276255,0.716
32279,100.88590044,0.724
32280,100.88908129,0.728
32281,100.89220385,0.734
32282,100.89540533,0.738
32283,100.89843931,0.744
32284,100.90164859,0.748
32285,100.90465459,0.752
32286,100.90778699,0.756
32287,100.91093464,0.762
32288,100.91408436,0.764
32289,100.91733785,0.766
32290,100.92045133,0.77
32291,100.92357951,0.774
32292,100.92662364,0.78
32293,100.92973844,0.784
32294,100.93287896,0.786
32295,100.93598853,0.788
32296,100.93916644,0.792
32297,100.94226644,0.796
32298,100.94541848,0.798
32299,100.9485754,0.802
32300,100.95168394,0.804
32301,100.95479959,0.808
32302,100.95791644,0.812
32303,100.96161657,0.814
32304,100.96464888,0.82
32305,100.96733179,0.82
32306,100.97042937,0.822
32307,100.97406464,0.828
32308,100.97716883,0.83
32309,100.98027522,0.836
32310,100.98345479,0.838
32311,100.98660429,0.842
32312,100.98977225,0.846
32313,100.99285751,0.85
32314,100.9959994,0.852
32315,100.99914624,0.854
32316,101.00222199,0.862
32317,101.00542092,0.866
32318,101.00853011,0.868
32319,101.01166761,0.872
32320,101.01474483,0.876
32321,101.01800083,0.878
32322,101.02109751,0.88
32323,101.02416275,0.882
32324,101.02730553,0.886
32325,101.03043888,0.89
32326,101.03358644,0.898
32327,101.03669431,0.902
32328,101.03993879,0.908
32329,101.04302325,0.92
32330,101.04609349,0.926
32331,101.04920166,0.93
32332,101.05269642,0.936
32333,101.05568211,0.942
32334,101.05866983,0.944
32335,101.06180555,0.95
32336,101.06500707,0.954
32337,101.06809853,0.958
32338,101.07131411,0.962
32339,101.07440592,0.968
32340,101.07747312,0.97
32341,101.08058218,0.974
32342,101.08364629,0.98
32343,101.08643127,0.982
32344,101.08963601,0.99
32345,101.09268392,0.994
32346,101.09582951,1.0
32347,101.0989237,1.006
32348,101.10202744,1.008
32349,101.10518283,1.012
32350,101.10828498,1.014
32351,101.11140635,1.018
32352,101.11454627,1.018
32353,101.11779781,1.024
32354,101.12081983,1.026
32355,101.12392377,1.026
32356,101.1270914,1.028
32357,101.13017479,1.028
32358,101.13329844,1.03
32359,101.13647957,1.03
32360,101.1395964,1.032
32361,101.1426959,1.03
32362,101.14582403,1.03
32363,101.14892205,1.03
32364,101.15207701,1.03
32365,101.1551907,1.032
32366,101.1583092,1.03
32367,101.16149538,1.032
32368,101.16460898,1.032
32369,101.16771485,1.034
32370,101.17084894,1.034
32371,101.17398609,1.034
32372,101.17709564,1.034
32373,101.18025385,1.036
32374,101.18337733,1.038
32375,101.186552,1.038
32376,101.18965098,1.04
32377,101.1928069,1.04
32378,101.19589798,1.042
32379,101.19902625,1.042
32380,101.20217425,1.042
32381,101.20527411,1.042
32382,101.20840216,1.04
32383,101.21155525,1.04
32384,101.21469138,1.04
32385,101.2177844,1.04
32386,101.2210289,1.04
32387,101.22404114,1.04
32388,101.22718818,1.038
32389,101.23036837,1.038
32390,101.23344212,1.036
32391,101.23662403,1.034
32392,101.23969451,1.032
32393,101.24291216,1.03
32394,101.24598162,1.028
32395,101.24910714,1.024
32396,101.25226199,1.02
32397,101.25534418,1.014
32398,101.25856205,1.012
32399,101.26168774,1.008
32400,101.26472338,1.002
32401,101.26785448,0.994
32402,101.27103083,0.984
32403,101.27418386,0.97
32404,101.27726388,0.956
32405,101.28039781,0.934
32406,101.28357927,0.92
32407,101.28666792,0.902
32408,101.28982044,0.886
32409,101.29292092,0.87
32410,101.29607622,0.856
32411,101.2991719,0.846
32412,101.30238938,0.83
32413,101.30548196,0.814
32414,101.30858592,0.792
32415,101.3117095,0.75
32416,101.31488953,0.718
32417,101.31795746,0.69
32418,101.32113298,0.672
32419,101.3242502,0.658
32420,101.32737481,0.646
32421,101.33057779,0.634
32422,101.33365787,0.626
32423,101.3368047,0.616
32424,101.33992437,0.598
32425,101.34305096,0.588
32426,101.34620818,0.576
32427,101.34932953,0.566
32428,101.35247324,0.548
32429,101.35566022,0.526
32430,101.35875498,0.504
32431,101.36187683,0.478
32432,101.36499811,0.45
32433,101.36815192,0.41
32434,101.37132042,0.382
32435,101.37443161,0.356
32436,101.37758487,0.326
32437,101.38067907,0.3
32438,101.38387566,0.272
32439,101.38696546,0.254
32440,101.39010133,0.232
32441,101.39329361,0.21
32442,101.39637849,0.19
32443,101.3994944,0.176
32444,101.40264536,0.164
32445,101.40582807,0.158
32446,101.40893231,0.158
32447,101.41203627,0.156
32448,101.41523305,0.154
32449,101.4183299,0.156
32450,101.42144153,0.154
32451,101.42459188,0.148
32452,101.42770651,0.146
32453,101.43086286,0.146
32454,101.43395611,0.146
32455,101.43711948,0.146
32456,101.44020833,0.146
32457,101.44332846,0.146
32458,101.44647418,0.146
32459,101.44965881,0.146
32460,101.45272924,0.146
32461,101.45586475,0.146
32462,101.45897423,0.146
32463,101.46216025,0.146
32464,101.46523494,0.144
32465,101.46845187,0.144
32466,101.47151355,0.144
32467,101.47466062,0.146
32468,101.47776177,0.146
32469,101.48090211,0.146
32470,101.48402459,0.144
32471,101.48714159,0.144
32472,101.49027407,0.144
32473,101.49342309,0.144
32474,101.49651827,0.144
32475,101.49967274,0.144
32476,101.50280285,0.142
32477,101.50591986,0.142
32478,101.50905916,0.142
32479,101.51222742,0.142
32480,101.51533766,0.142
32481,101.51850222,0.142
32482,101.52161492,0.144
32483,101.52470388,0.144
32484,101.52785177,0.142
32485,101.53099959,0.144
32486,101.53412848,0.144
32487,101.53722257,0.142
32488,101.54037309,0.144
32489,101.54353199,0.142
32490,101.54669279,0.144
32491,101.54973416,0.142
32492,101.55286836,0.142
32493,101.55601429,0.142
32494,101.5591409,0.142
32495,101.56225683,0.144
32496,101.565385,0.144
32497,101.56860216,0.142
32498,101.57169088,0.142
32499,101.57478588,0.142
32500,101.57796309,0.142
32501,101.58114914,0.142
32502,101.5842069,0.142
32503,101.5873457,0.142
32504,101.59046075,0.142
32505,101.59362496,0.142
32506,101.59673274,0.142
32507,101.59986955,0.142
32508,101.60305001,0.142
32509,101.60612798,0.142
32510,101.60926979,0.142
32511,101.61237479,0.14
32512,101.61550907,0.142
32513,101.61869486,0.142
32514,101.62178336,0.142
32515,101.62490477,0.142
32516,101.62811299,0.142
32517,101.63120748,0.142
32518,101.63436275,0.14
32519,101.63745212,0.14
32520,101.64062844,0.14
32521,101.64374727,0.138
32522,101.64690107,0.14
32523,101.65000968,0.14
32524,101.65314398,0.14
32525,101.65625123,0.142
32526,101.65938396,0.142
32527,101.66252055,0.14
32528,101.66563581,0.14
32529,101.66888466,0.14
32530,101.67199114,0.14
32531,101.67503051,0.14
32532,101.67815366,0.14
32533,101.68129998,0.14
32534,101.68439948,0.14
32535,101.6875244,0.142
32536,101.69073764,0.14
32537,101.69399088,0.14
32538,101.69689505,0.14
32539,101.7000974,0.14
32540,101.70324701,0.14
32541,101.70626051,0.14
32542,101.70939407,0.138
32543,101.71274874,0.142
32544,101.71575001,0.142
32545,101.71876273,0.138
32546,101.72196192,0.14
32547,101.72501129,0.14
32548,101.72813518,0.138
32549,101.73127416,0.14
32550,101.7344382,0.14
32551,101.73751305,0.14
32552,101.74070479,0.138
32553,101.74377101,0.14
32554,101.74696811,0.138
32555,101.7500112,0.138
32556,101.75315922,0.14
32557,101.75631927,0.138
32558,101.75939912,0.14
32559,101.76253022,0.14
32560,101.76571555,0.14
32561,101.76882503,0.138
32562,101.77190572,0.138
32563,101.77506694,0.136
32564,101.77817199,0.138
32565,101.78133844,0.138
32566,101.78449068,0.138
32567,101.78771507,0.138
32568,101.79075707,0.136
32569,101.79386094,0.138
32570,101.79701538,0.136
32571,101.80011296,0.136
32572,101.80323424,0.136
32573,101.80640048,0.136
32574,101.80954535,0.138
32575,101.81269862,0.138
32576,101.81576842,0.138
32577,101.81891561,0.136
32578,101.8220359,0.136
32579,101.82515894,0.134
32580,101.82826883,0.134
32581,101.83151272,0.134
32582,101.83453057,0.134
32583,101.83765377,0.138
32584,101.84079638,0.14
32585,101.84400053,0.152
32586,101.84705983,0.156
32587,101.8501452,0.17
32588,101.85327953,0.178
32589,101.85640283,0.182
32590,101.85953496,0.188
32591,101.86273966,0.198
32592,101.86585946,0.22
