Time,layout.dim,layout.data_offset,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7
1714457290.7306511,[],0,0.0,-1.922290484904024e-17,-1.922290484904024e-17,1.0012607062903633e-16,-0.2800000011920929,-0.2800000011920929,-0.2800000011920929,-0.2800000011920929
1714457290.740507,[],0,0.0,-1.922290484904024e-17,-6.151921843411401e-05,-0.00010123278480023146,-0.2801012396812439,-0.2801012396812439,-0.2801012396812439,-0.2801012396812439
1714457290.7504942,[],0,0.0,-1.922290484904024e-17,-0.000153905974002555,-0.00021033060329500586,-0.28021031618118286,-0.2801437973976135,-0.28014445304870605,-0.28014445304870605
1714457290.7605941,[],0,0.0,-1.922290484904024e-17,-0.00023086262808647007,-0.00019741560390684754,-0.280197411775589,-0.28013893961906433,-0.28006237745285034,-0.28006237745285034
1714457290.77064,[],0,0.0,-1.922290484904024e-17,-0.00023086262808647007,-0.00019741560390684754,-0.280197411775589,-0.2801470160484314,-0.2800697982311249,-0.2800697982311249
1714457290.780597,[],0,0.0,-1.922290484904024e-17,-0.00023086262808647007,-0.00019741560390684754,-0.280197411775589,-0.2800723910331726,-0.27999451756477356,-0.27999451756477356
1714457290.790614,[],0,0.0,-1.922290484904024e-17,-0.0003078192821703851,-0.0002743722579907626,-0.280274361371994,-0.2801574170589447,-0.28007954359054565,-0.2800647020339966
1714457290.800598,[],0,0.0,-1.922290484904024e-17,-0.0003078192821703851,-0.00020121167472098023,-0.2802011966705322,-0.2801588475704193,-0.2800031006336212,-0.27998828887939453
1714457290.810608,[],0,0.0,-1.922290484904024e-17,-0.0003078192821703851,-0.00020121167472098023,-0.2802011966705322,-0.2801588475704193,-0.28000375628471375,-0.27998894453048706
1714457290.8205554,[],0,0.0,-1.922290484904024e-17,-0.00023086262808647007,-9.080646850634366e-05,-0.2800908088684082,-0.2800484597682953,-0.27981480956077576,-0.2797999978065491
1714457290.8307245,[],0,0.0,-6.640230481025355e-07,-0.00023152664653025568,-0.0001479186030337587,-0.280147910118103,-0.28009751439094543,-0.2798638641834259,-0.2798490524291992
1714457290.8406055,[],0,0.0,-6.640230481025355e-07,-0.0003084832860622555,-0.0002415875205770135,-0.28024157881736755,-0.28011655807495117,-0.27988290786743164,-0.2798532545566559
1714457290.850521,[],0,0.0,-6.640230481025355e-07,-0.0003084832860622555,-0.0002415875205770135,-0.2802415192127228,-0.28010037541389465,-0.2798667550086975,-0.27983710169792175
