time,L lateral heel,L fifth metatarsal head,L second toe,L third metatarsal head,L first toe,L first metatarsal head,L medial heel,L heel
0.0017767200000022,5.6590576171875,5.8970947265625,1.3438720703125,3.5391845703125,1.67236328125,0.8084716796875,-4328.060791015625,10.337890625
0.004919000000001,5.6590576171875,5.8970947265625,1.336181640625,3.4901123046875,1.63330078125,0.72650146484375,-4201.010620117188,10.187744140625
0.0080131100000002,5.6590576171875,5.8970947265625,1.3179931640625,3.4556884765625,1.63330078125,0.645904541015625,-4138.4132080078125,9.984375
0.011163370000002,5.6590576171875,5.8970947265625,1.3070068359375,3.4066162109375,1.5556640625,0.53173828125,-4076.421875,9.984375
0.0142895600000017,5.67486572265625,5.921630859375,1.2982177734375,3.396728515625,1.52197265625,0.511505126953125,-4015.026123046875,9.913330078125
0.0174195900000029,5.703125,5.921630859375,1.289794921875,3.35595703125,1.484375,0.48809814453125,-3954.30517578125,9.984375
0.020534480000002,5.737274169921875,5.951416015625,1.2982177734375,3.35595703125,1.484375,0.511505126953125,-3954.30517578125,10.0582275390625
0.0236853900000006,5.7542724609375,6.0081787109375,1.289794921875,3.3570556640625,1.50390625,0.48809814453125,-4015.026123046875,10.2503662109375
0.0268059400000026,5.79437255859375,6.033935546875,1.3070068359375,3.3570556640625,1.537109375,0.48809814453125,-4076.421875,10.4671630859375
0.029941830000002,5.8570556640625,6.091064453125,1.3179931640625,3.35595703125,1.576171875,0.46881103515625,-4201.010620117188,10.608642578125
0.0331663500000019,5.918182373046875,6.17529296875,1.3438720703125,3.38671875,1.63330078125,0.48809814453125,-4264.200927734375,10.9527587890625
0.0361747000000001,5.956573486328125,6.2286376953125,1.347900390625,3.396728515625,1.7275390625,0.46881103515625,-4392.53759765625,11.2423095703125
0.0392634300000018,5.9942626953125,6.263427734375,1.37451171875,3.4066162109375,1.81201171875,0.48809814453125,-4523.2728271484375,11.530029296875
0.0423918000000007,6.041259765625,6.3216552734375,1.3983154296875,3.4349365234375,1.8330078125,0.511505126953125,-4656.552734375,11.747314453125
0.0455209300000021,6.084503173828125,6.3834228515625,1.408203125,3.500732421875,1.8623046875,0.511505126953125,-4861.1507568359375,11.956298828125
0.0486799800000028,6.12945556640625,6.4085693359375,1.4398193359375,3.55419921875,1.94580078125,0.511505126953125,-5000.749267578125,12.1761474609375
0.0517468500000006,6.150482177734375,6.4422607421875,1.486328125,3.59814453125,1.94580078125,0.570648193359375,-5071.494873046875,12.329833984375
0.0548912600000015,6.176788330078125,6.5029296875,1.51171875,3.635498046875,2.0205078125,0.645904541015625,-5142.84326171875,12.399169921875
0.0580155800000028,6.196441650390625,6.5738525390625,1.5506591796875,3.696533203125,2.06591796875,0.711669921875,-5287.536376953125,12.471923828125
0.0611448900000013,6.222076416015625,6.59814453125,1.5816650390625,3.71923828125,2.10595703125,0.79620361328125,-5287.536376953125,12.471923828125
0.0642148200000001,6.222076416015625,6.635986328125,1.607666015625,3.7974853515625,2.1865234375,0.857421875,-5360.8519287109375,12.471923828125
0.0673731100000019,6.247314453125,6.7025146484375,1.618896484375,3.846435546875,2.19970703125,0.89117431640625,-5360.8519287109375,12.536865234375
0.0704448299999995,6.247314453125,6.738525390625,1.66552734375,3.91455078125,2.28662109375,0.951904296875,-5434.819580078125,12.6256103515625
0.0735681300000017,6.247314453125,6.738525390625,1.6781005859375,3.9222412109375,2.28662109375,0.9910888671875,-5434.819580078125,12.536865234375
0.0768140800000019,6.2686767578125,6.8033447265625,1.6934814453125,3.9456787109375,2.32080078125,1.02996826171875,-5434.819580078125,12.536865234375
0.0798074300000024,6.2947998046875,6.83251953125,1.713134765625,3.9769287109375,2.32177734375,1.03619384765625,-5434.819580078125,12.536865234375
0.0829150399999996,6.2947998046875,6.8726806640625,1.7449951171875,4.01708984375,2.39892578125,1.05889892578125,-5434.819580078125,12.536865234375
0.0860589800000006,6.2947998046875,6.8726806640625,1.760498046875,4.03662109375,2.408203125,1.065673828125,-5434.819580078125,12.536865234375
0.0892183499999994,6.320587158203125,6.9080810546875,1.760498046875,4.087646484375,2.42919921875,1.09539794921875,-5434.819580078125,12.399169921875
0.0922808699999997,6.320587158203125,6.9407958984375,1.7962646484375,4.11669921875,2.4873046875,1.11273193359375,-5434.819580078125,12.329833984375
0.0954046100000027,6.320587158203125,6.9407958984375,1.8270263671875,4.1473388671875,2.51611328125,1.1422119140625,-5509.4085693359375,12.1761474609375
0.098511000000002,6.320587158203125,7.0137939453125,1.881103515625,4.1905517578125,2.51611328125,1.1593017578125,-5434.819580078125,12.106689453125
0.1016846500000028,6.337158203125,7.0496826171875,1.917236328125,4.225830078125,2.5947265625,1.18267822265625,-5434.819580078125,11.8209228515625
0.104821170000001,6.320587158203125,7.0496826171875,1.94921875,4.2659912109375,2.7021484375,1.19244384765625,-5434.819580078125,11.530029296875
0.1078997800000003,6.337158203125,7.0496826171875,1.989501953125,4.302978515625,2.76025390625,1.22210693359375,-5360.8519287109375,11.3848876953125
0.1110869100000009,6.337158203125,7.086181640625,2.0294189453125,4.36669921875,2.8017578125,1.2293701171875,-5360.8519287109375,11.177734375
0.1140997800000001,6.337158203125,7.1234130859375,2.0294189453125,4.396240234375,2.8271484375,1.25341796875,-5360.8519287109375,10.878662109375
0.1172445400000015,6.337158203125,7.1986083984375,2.082763671875,4.4510498046875,2.9140625,1.29718017578125,-5287.536376953125,10.6781005859375
0.1203734300000007,6.337158203125,7.236572265625,2.1319580078125,4.505615234375,2.9453125,1.34576416015625,-5142.84326171875,10.389892578125
