time,L lateral calcaneal tuberosity,L fifth metatarsal head,L second toe,L third metatarsal head,L first toe,L first metatarsal head,L medial calcaneal tuberosity,L calcaneal tuberosity
0.0011147000000022445,5.332916259765625,7.1234130859375,1.486328125,4.072509765625,1.70947265625,1.42877197265625,-4015.026123046875,7.3643798828125
0.004228910000009023,5.332916259765625,7.086181640625,1.4652099609375,4.072509765625,1.6962890625,1.42877197265625,-3954.30517578125,7.4014892578125
0.007302740000014296,5.317413330078125,7.0496826171875,1.474853515625,4.03662109375,1.6962890625,1.4107666015625,-3954.30517578125,7.3643798828125
0.010423700000004033,5.317413330078125,7.0137939453125,1.4652099609375,4.03662109375,1.6962890625,1.4107666015625,-3954.30517578125,7.3643798828125
0.013524830000008592,5.317413330078125,7.0137939453125,1.4652099609375,4.03662109375,1.6962890625,1.3887939453125,-3954.30517578125,7.3643798828125
0.016681090000005838,5.30230712890625,6.9808349609375,1.4493408203125,4.03662109375,1.6962890625,1.3887939453125,-3954.30517578125,7.4014892578125
0.01985492000001443,5.30230712890625,6.9080810546875,1.4493408203125,4.01708984375,1.6962890625,1.3887939453125,-3954.30517578125,7.513671875
0.022944390000006365,5.30230712890625,6.9080810546875,1.4493408203125,4.01708984375,1.6962890625,1.3887939453125,-3954.30517578125,7.5557861328125
0.026093220000007022,5.30230712890625,6.8726806640625,1.4398193359375,4.01708984375,1.6962890625,1.3802490234375,-3954.30517578125,7.5557861328125
0.02911817000000383,5.30230712890625,6.83251953125,1.4398193359375,4.01708984375,1.6962890625,1.3802490234375,-3954.30517578125,7.6112060546875
0.03229313000001355,5.317413330078125,6.83251953125,1.427734375,4.0081787109375,1.6962890625,1.3802490234375,-3954.30517578125,7.6112060546875
0.03537661000001435,5.317413330078125,6.83251953125,1.427734375,4.0081787109375,1.6962890625,1.3648681640625,-3954.30517578125,7.670654296875
0.03848683000001074,5.30230712890625,6.83251953125,1.427734375,3.995849609375,1.70947265625,1.35479736328125,-3954.30517578125,7.670654296875
0.0415700700000059,5.30230712890625,6.8033447265625,1.427734375,3.995849609375,1.6962890625,1.337158203125,-4015.026123046875,7.7288818359375
0.04466355000000988,5.30230712890625,6.8033447265625,1.4183349609375,3.9769287109375,1.6962890625,1.337158203125,-4076.421875,7.7738037109375
0.04787141000001327,5.30230712890625,6.83251953125,1.427734375,3.9769287109375,1.6962890625,1.32989501953125,-4076.421875,7.834228515625
0.05093937000000892,5.30230712890625,6.8033447265625,1.4183349609375,3.9769287109375,1.70947265625,1.32989501953125,-4076.421875,7.834228515625
0.0541008700000134,5.317413330078125,6.8033447265625,1.4183349609375,3.9769287109375,1.6962890625,1.32000732421875,-4138.4132080078125,7.8780517578125
0.05714928000000441,5.317413330078125,6.8033447265625,1.4183349609375,3.9769287109375,1.70947265625,1.29718017578125,-4138.4132080078125,7.9390869140625
0.060325960000014334,5.332916259765625,6.8033447265625,1.408203125,3.9456787109375,1.70947265625,1.29217529296875,-4076.421875,7.9925537109375
0.06342985000000567,5.332916259765625,6.8033447265625,1.408203125,3.9222412109375,1.70947265625,1.29217529296875,-4138.4132080078125,7.9925537109375
0.06654604000000575,5.345367431640625,6.83251953125,1.4183349609375,3.9222412109375,1.70947265625,1.29217529296875,-4138.4132080078125,7.9925537109375
0.06964572000001112,5.345367431640625,6.83251953125,1.408203125,3.91455078125,1.7275390625,1.2744140625,-4138.4132080078125,8.0477294921875
0.07274528000000657,5.371673583984375,6.8726806640625,1.408203125,3.91455078125,1.70947265625,1.2744140625,-4138.4132080078125,8.107421875
0.07601063000001318,5.38177490234375,6.9080810546875,1.408203125,3.91455078125,1.70947265625,1.2744140625,-4138.4132080078125,8.167236328125
0.07900180000001455,5.40069580078125,6.9080810546875,1.408203125,3.91455078125,1.70947265625,1.26483154296875,-4138.4132080078125,8.167236328125
0.08213259000001472,5.43719482421875,6.9407958984375,1.408203125,3.9222412109375,1.7275390625,1.2744140625,-4138.4132080078125,8.2271728515625
0.08522422000001484,5.475372314453125,7.0137939453125,1.3983154296875,3.9222412109375,1.7275390625,1.2744140625,-4201.0106201171875,8.2271728515625
0.088346570000013,5.51336669921875,7.086181640625,1.408203125,3.9222412109375,1.7275390625,1.26483154296875,-4138.4132080078125,8.287109375
0.09145970000000148,5.569305419921875,7.1986083984375,1.408203125,3.9456787109375,1.75537109375,1.2744140625,-4201.0106201171875,8.336181640625
0.09458215000000791,5.603851318359375,7.275146484375,1.408203125,3.9769287109375,1.79248046875,1.2744140625,-4201.0106201171875,8.44580078125
0.09771355000000881,5.63983154296875,7.34912109375,1.4183349609375,4.0081787109375,1.79248046875,1.28082275390625,-4392.53759765625,8.57666015625
0.1008244800000142,5.703125,7.427734375,1.427734375,4.01708984375,1.8330078125,1.28082275390625,-4457.5819091796875,8.513427734375
0.10391822000001127,5.7542724609375,7.5819091796875,1.427734375,4.03662109375,1.8330078125,1.28082275390625,-4523.2728271484375,8.57666015625
0.10713605000000825,5.815582275390625,7.663818359375,1.4398193359375,4.087646484375,1.89306640625,1.29217529296875,-4589.610107421875,8.6898193359375
0.1102202900000151,5.8570556640625,7.792724609375,1.4398193359375,4.106689453125,1.92431640625,1.29217529296875,-4656.552734375,8.8787841796875
0.11333094000001154,5.956573486328125,7.9102783203125,1.4652099609375,4.11669921875,1.96435546875,1.29718017578125,-4861.1507568359375,9.0704345703125
0.11642243000001429,5.9942626953125,7.9599609375,1.474853515625,4.1473388671875,2.00634765625,1.30517578125,-5000.749267578125,9.2615966796875
