Time,layout.dim,layout.data_offset,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7
1714300745.16006,[],0,0.0,-3.751339351363723e-18,-7.852240378269926e-05,-6.445985491154715e-05,-0.2800644040107727,-0.2799893319606781,-0.2799893319606781,-0.27998340129852295
1714300745.1694512,[],0,0.0,-3.751339351363723e-18,-7.720225403318182e-05,-4.9077276344178244e-05,-0.2800489366054535,-0.2798980474472046,-0.2798170745372772,-0.27981114387512207
1714300745.1793706,[],0,0.0,-3.751339351363723e-18,-7.588513108203188e-05,-3.3699176128720865e-05,-0.2800333499908447,-0.27980703115463257,-0.27972355484962463,-0.2797176241874695
1714300745.189631,[],0,0.0,-3.751339351363723e-18,-7.457115134457126e-05,-3.2385203667217866e-05,-0.2800317704677582,-0.27973079681396484,-0.2796473205089569,-0.27964138984680176
1714300745.199762,[],0,0.0,-3.751339351363723e-18,-0.00015179018373601139,-3.588440813473426e-05,-0.2800348997116089,-0.2796592712402344,-0.279578298330307,-0.27957236766815186
1714300745.2098324,[],0,0.0,-6.15296016803768e-07,-0.00015240548236761242,-3.6499703128356487e-05,-0.2800349295139313,-0.27958425879478455,-0.2795032858848572,-0.279497355222702
1714300745.2196383,[],0,0.0,-6.15296016803768e-07,-0.00023093557683750987,-0.00011502979759825394,-0.2801125645637512,-0.2795860469341278,-0.27950504422187805,-0.2794991135597229
1714300745.2295508,[],0,0.0,-6.15296016803768e-07,-0.00022962763614486903,-0.0001137218569056131,-0.28011059761047363,-0.2795840799808502,-0.27950310707092285,-0.2794971764087677
1714300745.239664,[],0,0.0,-6.15296016803768e-07,-0.00030685291858389974,-0.00011722710041794926,-0.28011229634284973,-0.2795118987560272,-0.27943092584609985,-0.27941906452178955
1714300745.2499285,[],0,0.0,-6.15296016803768e-07,-0.0003055511915590614,-2.8143309464212507e-05,-0.28002163767814636,-0.27942126989364624,-0.2793402671813965,-0.27932843565940857
1714300745.2595618,[],0,0.0,-3.493158146739006e-05,-0.0004183902346994728,-0.00011285814980510622,-0.2801046073436737,-0.2794283926486969,-0.27926889061927795,-0.27925702929496765
