,mean_paretic,std_paretic,mean_nonparetic,std_nonparetic,symmetry
toeClearance,,,,,
stride,,,,,
GRFmax,892.8697509765625,55.41073005403369,1198.5618867420014,420.4926024742103,42.69179708644689
GRFimpulse,931.9944195916179,2014.3077784402196,934.1290872707174,1212.4876541629435,49.94280475886913
stanceTime,1.5926278591156007,2.93022293228051,1.9937763327643985,2.7098028286103535,44.40737222874878
