,time,vout
36086,112.80569352,0.18
36087,112.80882589,0.18
36088,112.81195358,0.184
36089,112.81508473,0.184
36090,112.81819662,0.186
36091,112.82137075,0.19
36092,112.8244698,0.194
36093,112.82762154,0.198
36094,112.83079412,0.202
36095,112.83382701,0.202
36096,112.83708786,0.206
36097,112.84017727,0.212
36098,112.84343799,0.216
36099,112.84647836,0.222
36100,112.8495328,0.224
36101,112.85262197,0.226
36102,112.85577493,0.228
36103,112.85890528,0.23
36104,112.86207467,0.232
36105,112.86516017,0.234
36106,112.86863858,0.232
36107,112.87179662,0.238
36108,112.87483786,0.24
36109,112.87771323,0.244
36110,112.88081102,0.248
36111,112.88388684,0.254
36112,112.88703575,0.252
36113,112.89016662,0.254
36114,112.89329251,0.256
36115,112.89649521,0.258
36116,112.8995444,0.26
36117,112.90263386,0.264
36118,112.90576158,0.266
36119,112.90901645,0.266
36120,112.91208771,0.266
36121,112.91517653,0.266
36122,112.91838706,0.272
36123,112.92147673,0.276
36124,112.92455269,0.278
36125,112.9277124,0.28
36126,112.93088677,0.282
36127,112.93396047,0.286
36128,112.93705477,0.29
36129,112.94021878,0.292
36130,112.94338969,0.294
36131,112.94645327,0.296
36132,112.94960328,0.298
36133,112.9527589,0.302
36134,112.95589904,0.302
36135,112.95899612,0.304
36136,112.96213134,0.306
36137,112.96530036,0.304
36138,112.96837478,0.304
36139,112.97154369,0.308
36140,112.97463421,0.308
36141,112.9778201,0.31
36142,112.98090177,0.312
36143,112.98411038,0.316
36144,112.98722525,0.318
36145,112.99031538,0.32
36146,112.99343143,0.322
36147,112.99656051,0.322
36148,112.99968304,0.326
36149,113.00284093,0.326
36150,113.0059998,0.332
36151,113.00918464,0.334
36152,113.01226751,0.336
36153,113.01540764,0.338
36154,113.01846093,0.342
36155,113.02161514,0.344
36156,113.02478464,0.348
36157,113.02792764,0.356
36158,113.03112164,0.356
36159,113.03437591,0.356
36160,113.03734254,0.354
36161,113.04042578,0.356
36162,113.04356662,0.36
36163,113.04674051,0.36
36164,113.04984653,0.362
36165,113.05308123,0.366
36166,113.05612269,0.37
36167,113.05925351,0.372
36168,113.06236662,0.376
36169,113.06544571,0.378
36170,113.06859077,0.382
36171,113.07171849,0.386
36172,113.07490443,0.39
36173,113.07803617,0.394
36174,113.08118378,0.398
36175,113.08431886,0.402
36176,113.08749588,0.408
36177,113.09054304,0.416
36178,113.09364347,0.418
36179,113.09676058,0.422
36180,113.09998975,0.426
36181,113.10303095,0.43
36182,113.10628841,0.436
36183,113.10945691,0.44
36184,113.11254814,0.45
36185,113.11565551,0.454
36186,113.11883114,0.458
36187,113.12188149,0.466
36188,113.12500565,0.468
36189,113.1281274,0.472
36190,113.13128332,0.478
36191,113.13442008,0.478
36192,113.13746908,0.486
36193,113.14075495,0.49
36194,113.14380058,0.496
36195,113.14688958,0.502
36196,113.15002627,0.506
36197,113.15310486,0.508
36198,113.15621215,0.512
36199,113.15940104,0.518
36200,113.16249353,0.524
36201,113.16566134,0.526
36202,113.16905047,0.528
36203,113.17215982,0.532
36204,113.1752198,0.538
36205,113.17836364,0.538
36206,113.18137723,0.54
36207,113.18447449,0.542
36208,113.18763388,0.548
36209,113.19073378,0.548
36210,113.19386747,0.554
36211,113.1969718,0.558
36212,113.20010804,0.562
36213,113.20323575,0.564
36214,113.20642627,0.568
36215,113.20953443,0.572
36216,113.21263578,0.576
36217,113.21574673,0.58
36218,113.21890919,0.584
36219,113.22206115,0.584
36220,113.22518969,0.588
36221,113.22839102,0.59
36222,113.23204688,0.592
36223,113.23461419,0.596
36224,113.23779619,0.6
36225,113.24086958,0.602
36226,113.2440448,0.604
36227,113.24715071,0.606
36228,113.25024602,0.606
36229,113.25334888,0.61
36230,113.25651188,0.612
36231,113.25961243,0.612
36232,113.26273728,0.614
36233,113.26588801,0.618
36234,113.26898888,0.62
36235,113.27217301,0.62
36236,113.2752406,0.62
36237,113.27846678,0.62
36238,113.28157484,0.624
36239,113.28463514,0.624
36240,113.28775867,0.626
36241,113.29090041,0.626
36242,113.29404943,0.628
36243,113.29717184,0.628
