Time,data
1714453619.8229458,0.3482241630554199
1714453620.4129083,0.37651604413986206
1714453621.1724496,0.3946932554244995
1714453621.7527368,0.38912564516067505
1714453622.493042,0.3786132335662842
1714453623.032692,0.4017089605331421
1714453623.8323388,0.33349674940109253
1714453624.3733368,0.4134467542171478
1714453625.1124353,0.4058118760585785
1714453625.642849,0.4187799394130707
1714453626.3724608,0.4171546697616577
1714453626.4524157,0.3866994082927704
1714453626.9630153,0.411965936422348
1714453627.7324162,0.42614009976387024
1714453628.282599,0.42963147163391113
1714453629.0630841,0.4771340787410736
1714453629.6322308,0.3870261311531067
1714453630.3824098,0.45555487275123596
1714453630.9236255,0.4033730626106262
1714453631.6724088,0.4607095420360565
1714453632.2425554,0.35937103629112244
1714453632.97249,0.4859815537929535
1714453633.0334346,0.4505111277103424
1714453633.5228598,0.35782286524772644
1714453634.2728436,0.41732802987098694
1714453634.8126807,0.4130844473838806
1714453635.5822961,0.4530697762966156
1714453636.1324363,0.3923642635345459
1714453636.8928144,0.41109395027160645
1714453636.9516404,0.38359737396240234
1714453637.472329,0.43027523159980774
1714453638.2522328,0.39580875635147095
1714453638.7826107,0.4307876527309418
1714453639.543507,0.4553945064544678
1714453640.0822577,0.41175732016563416
1714453640.8121412,0.4137839376926422
1714453640.8728838,0.38947832584381104
1714453641.3422034,0.41291165351867676
1714453642.085048,0.4212771952152252
1714453642.145416,0.3927176892757416
1714453642.639887,0.3958779573440552
1714453643.3944793,0.40780577063560486
1714453643.9623857,0.38609394431114197
1714453644.7333422,0.4510307312011719
1714453645.2934434,0.38282233476638794
1714453646.0423224,0.43686187267303467
1714453646.5534358,0.4106329381465912
1714453647.3026574,0.3876457214355469
1714453647.8525317,0.42580023407936096
1714453648.612951,0.41898229718208313
1714453649.1887832,0.41232165694236755
1714453649.9331288,0.43204811215400696
1714453650.503089,0.41686540842056274
1714453651.2727666,0.409792959690094
1714453651.8429925,0.4310760200023651
1714453652.5935748,0.43421491980552673
1714453653.1124,0.42902490496635437
1714453653.8233726,0.4167139530181885
1714453654.4031816,0.42116039991378784
1714453655.1727188,0.44899386167526245
1714453655.722358,0.39275655150413513
1714453656.5027645,0.4216021001338959
1714453657.042698,0.428588330745697
1714453657.7939491,0.4304243326187134
1714453657.8624766,0.3905542194843292
1714453658.4225419,0.4303291141986847
1714453659.1423814,0.3925520181655884
1714453659.2029235,0.36536648869514465
1714453659.7727492,0.4292912781238556
1714453660.5328116,0.4204551875591278
1714453660.6024556,0.3832983672618866
1714453661.1522617,0.4433821439743042
1714453661.8528802,0.39144638180732727
1714453662.421712,0.47111776471138
1714453663.112683,0.39633962512016296
1714453663.6522264,0.4545665681362152
1714453664.34498,0.3297271132469177
1714453664.8837612,0.504766047000885
1714453665.603027,0.3639487028121948
1714453666.1223044,0.43546339869499207
1714453666.8847022,0.3763372302055359
1714453667.4324834,0.3985886871814728
