,Name,Sync,F1X1,F1X3,F1Y1,F1Y2,F1Z1,F1Z2,F1Z3,F1Z4,F2X1,F2X3,F2Y1,F2Y2,F2Z1,F2Z2,F2Z3,F2Z4
1011,1.685,10403.0,-19.0,-18.0,-29.0,-33.0,-26.0,-18.0,-32.0,-36.0,217.0,90.0,-183.0,-315.0,474.0,2659.0,397.0,4.0
1012,1.686667,10414.0,-5.0,-7.0,-14.0,-15.0,-12.0,-9.0,-16.0,-24.0,226.0,107.0,-171.0,-306.0,489.0,2669.0,403.0,14.0
1013,1.688333,10397.0,-3.0,-3.0,-12.0,-13.0,-10.0,-7.0,-18.0,-21.0,226.0,110.0,-167.0,-307.0,489.0,2670.0,407.0,14.0
1014,1.69,10403.0,-2.0,-6.0,-10.0,-15.0,-9.0,-4.0,-16.0,-22.0,224.0,107.0,-170.0,-307.0,495.0,2670.0,412.0,17.0
1015,1.691667,10402.0,-35.0,-38.0,-45.0,-48.0,-45.0,-40.0,-47.0,-59.0,179.0,65.0,-212.0,-349.0,455.0,2626.0,361.0,-27.0
1016,1.693333,10396.0,-20.0,-17.0,-28.0,-30.0,-23.0,-22.0,-32.0,-35.0,204.0,91.0,-186.0,-323.0,483.0,2654.0,397.0,5.0
1017,1.695,10417.0,-4.0,-5.0,-12.0,-18.0,-12.0,-7.0,-19.0,-21.0,218.0,103.0,-177.0,-312.0,502.0,2668.0,409.0,19.0
1018,1.696667,10422.0,-2.0,-7.0,-10.0,-12.0,-8.0,-5.0,-15.0,-23.0,216.0,106.0,-169.0,-309.0,506.0,2673.0,404.0,14.0
1019,1.698333,10394.0,-1.0,-2.0,-9.0,-13.0,-12.0,-7.0,-17.0,-23.0,215.0,106.0,-173.0,-308.0,502.0,2672.0,414.0,17.0
1020,1.7,10408.0,-34.0,-33.0,-44.0,-50.0,-45.0,-43.0,-54.0,-54.0,173.0,64.0,-219.0,-352.0,467.0,2626.0,370.0,-21.0
1021,1.701667,10409.0,-18.0,-23.0,-26.0,-30.0,-26.0,-18.0,-31.0,-38.0,195.0,87.0,-187.0,-325.0,497.0,2657.0,393.0,7.0
1022,1.703333,10400.0,-7.0,-7.0,-14.0,-16.0,-10.0,-9.0,-18.0,-28.0,209.0,99.0,-173.0,-311.0,508.0,2668.0,409.0,19.0
1023,1.705,10417.0,-1.0,0.0,-10.0,-15.0,-8.0,-6.0,-15.0,-20.0,212.0,104.0,-179.0,-310.0,517.0,2672.0,414.0,21.0
1024,1.706667,10406.0,-2.0,-6.0,-12.0,-14.0,-9.0,-5.0,-15.0,-21.0,207.0,108.0,-174.0,-310.0,519.0,2672.0,411.0,19.0
1025,1.708333,10409.0,-34.0,-35.0,-43.0,-45.0,-42.0,-41.0,-54.0,-58.0,166.0,60.0,-215.0,-351.0,470.0,2626.0,372.0,-18.0
1026,1.71,10402.0,-19.0,-19.0,-26.0,-31.0,-24.0,-21.0,-29.0,-35.0,192.0,82.0,-193.0,-324.0,508.0,2655.0,397.0,11.0
1027,1.711667,10392.0,-4.0,-7.0,-13.0,-15.0,-12.0,-9.0,-18.0,-23.0,201.0,97.0,-175.0,-309.0,522.0,2671.0,405.0,18.0
1028,1.713333,10402.0,-1.0,-2.0,-8.0,-13.0,-7.0,-4.0,-19.0,-22.0,204.0,103.0,-173.0,-306.0,521.0,2668.0,415.0,19.0
1029,1.715,10403.0,-3.0,-4.0,-10.0,-16.0,-10.0,-5.0,-14.0,-21.0,204.0,102.0,-179.0,-308.0,530.0,2670.0,414.0,26.0
1030,1.716667,10395.0,-32.0,-36.0,-44.0,-45.0,-43.0,-40.0,-48.0,-56.0,158.0,53.0,-213.0,-350.0,486.0,2627.0,368.0,-18.0
1031,1.718333,10397.0,-20.0,-19.0,-24.0,-30.0,-24.0,-20.0,-31.0,-33.0,185.0,77.0,-186.0,-318.0,511.0,2655.0,400.0,9.0
1032,1.72,10400.0,-6.0,-6.0,-12.0,-18.0,-13.0,-7.0,-19.0,-23.0,199.0,95.0,-182.0,-308.0,529.0,2666.0,414.0,19.0
1033,1.721667,10394.0,0.0,-6.0,-10.0,-15.0,-9.0,-5.0,-13.0,-21.0,193.0,93.0,-172.0,-305.0,534.0,2670.0,412.0,21.0
1034,1.723333,10383.0,-2.0,0.0,-10.0,-14.0,-8.0,-6.0,-18.0,-18.0,196.0,93.0,-168.0,-299.0,530.0,2669.0,415.0,24.0
1035,1.725,10410.0,-33.0,-34.0,-41.0,-47.0,-44.0,-38.0,-50.0,-53.0,154.0,50.0,-217.0,-346.0,493.0,2624.0,370.0,-19.0
1036,1.726667,10398.0,-16.0,-23.0,-24.0,-29.0,-27.0,-21.0,-27.0,-36.0,172.0,73.0,-185.0,-315.0,521.0,2655.0,399.0,8.0
