,Name,Sync,F1X1,F1X3,F1Y1,F1Y2,F1Z1,F1Z2,F1Z3,F1Z4,F2X1,F2X3,F2Y1,F2Y2,F2Z1,F2Z2,F2Z3,F2Z4
242,0.403333,10410.0,-10.0,-26.0,-13.0,-13.0,-13.0,-6.0,-15.0,-29.0,-23.0,-40.0,-20.0,-38.0,-13.0,-6.0,-5.0,-15.0
243,0.405,10400.0,-7.0,-22.0,-12.0,-12.0,-12.0,-8.0,-15.0,-23.0,-20.0,-41.0,-15.0,-38.0,-16.0,-4.0,0.0,-14.0
244,0.406667,10384.0,-7.0,-20.0,-10.0,-14.0,-9.0,-6.0,-16.0,-20.0,-19.0,-36.0,-21.0,-36.0,-10.0,-3.0,-2.0,-14.0
245,0.408333,10383.0,-37.0,-56.0,-44.0,-47.0,-44.0,-40.0,-50.0,-58.0,-67.0,-79.0,-61.0,-79.0,-57.0,-46.0,-45.0,-64.0
246,0.41,10395.0,-23.0,-37.0,-27.0,-28.0,-27.0,-19.0,-31.0,-37.0,-35.0,-56.0,-33.0,-50.0,-27.0,-22.0,-12.0,-33.0
247,0.411667,10388.0,-10.0,-24.0,-15.0,-13.0,-16.0,-8.0,-16.0,-21.0,-22.0,-38.0,-19.0,-44.0,-13.0,-5.0,-3.0,-21.0
248,0.413333,10404.0,-5.0,-19.0,-13.0,-13.0,-14.0,-5.0,-19.0,-24.0,-18.0,-42.0,-15.0,-36.0,-12.0,-3.0,1.0,-17.0
249,0.415,10413.0,-7.0,-18.0,-10.0,-15.0,-10.0,-5.0,-17.0,-24.0,-18.0,-40.0,-15.0,-34.0,-12.0,-4.0,-3.0,-14.0
250,0.416667,10425.0,-37.0,-51.0,-44.0,-47.0,-46.0,-44.0,-48.0,-58.0,-59.0,-82.0,-57.0,-78.0,-60.0,-46.0,-45.0,-59.0
251,0.418333,10400.0,-23.0,-36.0,-26.0,-32.0,-27.0,-21.0,-28.0,-36.0,-33.0,-51.0,-37.0,-51.0,-27.0,-18.0,-15.0,-28.0
252,0.42,10404.0,-6.0,-21.0,-15.0,-15.0,-12.0,-10.0,-17.0,-19.0,-26.0,-38.0,-18.0,-40.0,-14.0,-4.0,-3.0,-21.0
253,0.421667,10409.0,-6.0,-17.0,-10.0,-15.0,-12.0,-5.0,-21.0,-23.0,-19.0,-35.0,-17.0,-35.0,-13.0,-6.0,0.0,-15.0
254,0.423333,10400.0,-5.0,-16.0,-12.0,-12.0,-12.0,-6.0,-16.0,-23.0,-17.0,-33.0,-15.0,-38.0,-12.0,-4.0,-1.0,-14.0
255,0.425,10397.0,-35.0,-48.0,-46.0,-48.0,-45.0,-40.0,-48.0,-56.0,-57.0,-86.0,-58.0,-79.0,-56.0,-48.0,-43.0,-60.0
256,0.426667,10406.0,-22.0,-31.0,-27.0,-31.0,-27.0,-18.0,-30.0,-37.0,-34.0,-53.0,-32.0,-49.0,-24.0,-19.0,-16.0,-30.0
257,0.428333,10405.0,-8.0,-19.0,-15.0,-17.0,-12.0,-10.0,-19.0,-23.0,-20.0,-37.0,-15.0,-40.0,-18.0,-6.0,-2.0,-21.0
258,0.43,10404.0,-3.0,-17.0,-10.0,-18.0,-13.0,-5.0,-16.0,-26.0,-17.0,-33.0,-21.0,-35.0,-13.0,-5.0,1.0,-17.0
259,0.431667,10411.0,-2.0,-16.0,-13.0,-15.0,-10.0,-6.0,-16.0,-22.0,-22.0,-34.0,-14.0,-36.0,-9.0,-2.0,-1.0,-17.0
260,0.433333,10396.0,-36.0,-44.0,-45.0,-50.0,-45.0,-41.0,-51.0,-57.0,-58.0,-78.0,-58.0,-76.0,-56.0,-49.0,-44.0,-60.0
261,0.435,10406.0,-20.0,-30.0,-27.0,-32.0,-29.0,-19.0,-33.0,-36.0,-32.0,-49.0,-32.0,-54.0,-28.0,-17.0,-15.0,-24.0
262,0.436667,10398.0,-4.0,-19.0,-20.0,-16.0,-12.0,-6.0,-16.0,-23.0,-18.0,-42.0,-16.0,-36.0,-13.0,-3.0,-1.0,-22.0
263,0.438333,10405.0,-3.0,-15.0,-10.0,-16.0,-10.0,-6.0,-14.0,-24.0,-16.0,-31.0,-16.0,-36.0,-9.0,-5.0,-4.0,-16.0
264,0.44,10388.0,-2.0,-10.0,-12.0,-15.0,-8.0,-8.0,-16.0,-20.0,-15.0,-34.0,-14.0,-36.0,-14.0,-3.0,-1.0,-18.0
265,0.441667,10387.0,-33.0,-45.0,-45.0,-53.0,-45.0,-42.0,-49.0,-55.0,-58.0,-74.0,-63.0,-76.0,-55.0,-46.0,-43.0,-57.0
266,0.443333,10406.0,-17.0,-32.0,-26.0,-32.0,-26.0,-19.0,-32.0,-41.0,-35.0,-50.0,-28.0,-49.0,-27.0,-16.0,-17.0,-30.0
267,0.445,10410.0,-4.0,-16.0,-15.0,-21.0,-14.0,-7.0,-18.0,-24.0,-17.0,-35.0,-16.0,-35.0,-17.0,-7.0,-1.0,-17.0
268,0.446667,10400.0,-2.0,-13.0,-14.0,-16.0,-12.0,-7.0,-14.0,-22.0,-15.0,-30.0,-16.0,-36.0,-12.0,-1.0,0.0,-17.0
269,0.448333,10401.0,-2.0,-9.0,-16.0,-17.0,-10.0,-6.0,-18.0,-20.0,-16.0,-34.0,-14.0,-35.0,-10.0,-3.0,0.0,-18.0
270,0.45,10398.0,-33.0,-46.0,-46.0,-49.0,-46.0,-42.0,-51.0,-58.0,-56.0,-72.0,-56.0,-77.0,-54.0,-50.0,-45.0,-59.0
271,0.451667,10414.0,-18.0,-27.0,-28.0,-33.0,-26.0,-23.0,-32.0,-36.0,-32.0,-49.0,-27.0,-53.0,-27.0,-15.0,-13.0,-30.0
272,0.453333,10401.0,-3.0,-12.0,-15.0,-22.0,-10.0,-6.0,-17.0,-24.0,-17.0,-35.0,-19.0,-36.0,-12.0,-5.0,-3.0,-18.0
273,0.455,10403.0,0.0,-16.0,-13.0,-19.0,-12.0,-5.0,-15.0,-23.0,-15.0,-31.0,-13.0,-36.0,-10.0,-2.0,-5.0,-17.0
274,0.456667,10416.0,0.0,-10.0,-13.0,-15.0,-8.0,-4.0,-20.0,-23.0,-13.0,-31.0,-13.0,-32.0,-14.0,-5.0,-2.0,-13.0
275,0.458333,10404.0,-29.0,-42.0,-45.0,-50.0,-47.0,-44.0,-46.0,-55.0,-54.0,-70.0,-59.0,-79.0,-58.0,-48.0,-45.0,-57.0
