,Name,Sync,F1X1,F1X3,F1Y1,F1Y2,F1Z1,F1Z2,F1Z3,F1Z4,F2X1,F2X3,F2Y1,F2Y2,F2Z1,F2Z2,F2Z3,F2Z4
1064,1.773333,10431.0,66.0,167.0,316.0,186.0,368.0,185.0,1156.0,1738.0,-31.0,-6.0,-17.0,0.0,-16.0,-2.0,-6.0,-10.0
1065,1.775,10425.0,37.0,133.0,283.0,157.0,333.0,150.0,1125.0,1705.0,-74.0,-42.0,-62.0,-48.0,-60.0,-48.0,-54.0,-49.0
1066,1.776667,10434.0,51.0,147.0,299.0,174.0,355.0,168.0,1148.0,1724.0,-48.0,-18.0,-32.0,-13.0,-34.0,-16.0,-24.0,-24.0
1067,1.778333,10434.0,68.0,158.0,305.0,189.0,366.0,182.0,1166.0,1740.0,-35.0,-2.0,-19.0,-4.0,-15.0,-5.0,-13.0,-9.0
1068,1.78,10436.0,74.0,161.0,307.0,193.0,369.0,186.0,1169.0,1741.0,-32.0,-4.0,-18.0,0.0,-16.0,-3.0,-6.0,-15.0
1069,1.781667,10430.0,74.0,159.0,306.0,193.0,367.0,186.0,1175.0,1744.0,-32.0,3.0,-19.0,-1.0,-15.0,-1.0,-8.0,-8.0
1070,1.783333,10433.0,42.0,127.0,273.0,159.0,335.0,151.0,1140.0,1712.0,-74.0,-42.0,-58.0,-45.0,-63.0,-47.0,-54.0,-54.0
1071,1.785,10439.0,59.0,141.0,284.0,176.0,353.0,173.0,1167.0,1728.0,-48.0,-18.0,-33.0,-15.0,-29.0,-20.0,-24.0,-26.0
1072,1.786667,10406.0,76.0,156.0,294.0,190.0,366.0,187.0,1181.0,1750.0,-37.0,-4.0,-19.0,-1.0,-20.0,-3.0,-9.0,-13.0
1073,1.788333,10433.0,80.0,159.0,302.0,189.0,368.0,189.0,1185.0,1747.0,-31.0,0.0,-20.0,1.0,-15.0,-3.0,-9.0,-3.0
1074,1.79,10429.0,83.0,161.0,293.0,191.0,368.0,187.0,1189.0,1750.0,-33.0,0.0,-15.0,-2.0,-16.0,-3.0,-8.0,-9.0
1075,1.791667,10419.0,53.0,126.0,260.0,156.0,334.0,158.0,1153.0,1714.0,-74.0,-43.0,-61.0,-43.0,-58.0,-53.0,-55.0,-51.0
1076,1.793333,10440.0,74.0,145.0,272.0,173.0,355.0,172.0,1181.0,1739.0,-51.0,-18.0,-32.0,-15.0,-30.0,-14.0,-28.0,-27.0
1077,1.795,10434.0,90.0,162.0,285.0,179.0,365.0,187.0,1195.0,1754.0,-33.0,-2.0,-22.0,-1.0,-17.0,-4.0,-8.0,-9.0
1078,1.796667,10429.0,94.0,163.0,284.0,186.0,366.0,189.0,1203.0,1754.0,-30.0,0.0,-14.0,-7.0,-14.0,-2.0,-8.0,-7.0
1079,1.798333,10426.0,96.0,170.0,282.0,181.0,366.0,191.0,1204.0,1759.0,-31.0,0.0,-17.0,1.0,-18.0,-4.0,-8.0,-8.0
1080,1.8,10425.0,70.0,133.0,246.0,147.0,331.0,157.0,1178.0,1727.0,-75.0,-41.0,-59.0,-44.0,-56.0,-48.0,-57.0,-50.0
1081,1.801667,10434.0,83.0,158.0,259.0,160.0,355.0,176.0,1202.0,1756.0,-46.0,-21.0,-34.0,-15.0,-31.0,-15.0,-22.0,-27.0
1082,1.803333,10436.0,103.0,174.0,271.0,176.0,366.0,190.0,1218.0,1769.0,-35.0,0.0,-22.0,-5.0,-20.0,-5.0,-9.0,-9.0
1083,1.805,10430.0,105.0,174.0,272.0,175.0,370.0,190.0,1229.0,1772.0,-32.0,-1.0,-16.0,1.0,-20.0,-4.0,-10.0,-7.0
1084,1.806667,10422.0,110.0,175.0,271.0,176.0,370.0,193.0,1230.0,1774.0,-31.0,0.0,-19.0,0.0,-13.0,-2.0,-14.0,-9.0
1085,1.808333,10429.0,79.0,149.0,231.0,139.0,336.0,158.0,1202.0,1748.0,-75.0,-45.0,-60.0,-44.0,-59.0,-49.0,-51.0,-56.0
1086,1.81,10426.0,93.0,167.0,248.0,156.0,354.0,178.0,1226.0,1772.0,-45.0,-16.0,-37.0,-15.0,-30.0,-14.0,-27.0,-24.0
1087,1.811667,10417.0,110.0,175.0,260.0,171.0,370.0,191.0,1244.0,1786.0,-33.0,-2.0,-18.0,-1.0,-22.0,-3.0,-7.0,-13.0
1088,1.813333,10426.0,116.0,178.0,262.0,171.0,370.0,193.0,1254.0,1786.0,-31.0,1.0,-18.0,0.0,-14.0,-6.0,-10.0,-6.0
