,time,vout
41265,128.40319242,1.812
41266,128.40627626,1.812
41267,128.40936577,1.812
41268,128.41246183,1.81
41269,128.41596074,1.81
41270,128.41871815,1.81
41271,128.42239985,1.81
41272,128.42494841,1.808
41273,128.43083879,1.808
41274,128.43146577,1.806
41275,128.4343444,1.806
41276,128.43749233,1.806
41277,128.44056209,1.804
41278,128.44371263,1.804
41279,128.44678285,1.802
41280,128.44985977,1.8
41281,128.45304707,1.798
41282,128.45617726,1.794
41283,128.45927868,1.794
41284,128.46234957,1.792
41285,128.46546004,1.792
41286,128.46857929,1.79
41287,128.47169598,1.79
41288,128.47481379,1.788
41289,128.47792739,1.788
41290,128.48106113,1.786
41291,128.4842265,1.786
41292,128.48728642,1.784
41293,128.49038415,1.782
41294,128.49350924,1.78
41295,128.49664848,1.778
41296,128.49977518,1.774
41297,128.5028549,1.774
41298,128.50597965,1.774
41299,128.50910059,1.772
41300,128.51227992,1.772
41301,128.5153365,1.77
41302,128.51867154,1.77
41303,128.52183976,1.77
41304,128.52492937,1.768
41305,128.52795074,1.768
41306,128.53108907,1.768
41307,128.53427028,1.768
41308,128.53735798,1.768
41309,128.5404692,1.766
41310,128.54356139,1.766
41311,128.54669759,1.766
41312,128.54977487,1.768
41313,128.55291704,1.766
41314,128.55604296,1.768
41315,128.55913281,1.766
41316,128.5622839,1.766
41317,128.56544761,1.766
41318,128.56850674,1.764
41319,128.57160761,1.764
41320,128.57501802,1.764
41321,128.57788233,1.764
41322,128.58100629,1.762
41323,128.5840937,1.76
41324,128.58720479,1.758
41325,128.59029859,1.756
41326,128.59348933,1.754
41327,128.59653942,1.752
41328,128.59972498,1.75
41329,128.60283055,1.746
41330,128.60619924,1.746
41331,128.6095467,1.742
41332,128.61238283,1.742
41333,128.61525852,1.74
41334,128.61829846,1.738
41335,128.62144933,1.736
41336,128.62449909,1.734
41337,128.62815277,1.734
41338,128.63068298,1.732
41339,128.6337605,1.73
41340,128.6368852,1.728
41341,128.64004439,1.728
41342,128.64311296,1.726
41343,128.64625124,1.726
41344,128.64937679,1.726
41345,128.65242448,1.726
41346,128.65554974,1.726
41347,128.65867807,1.726
41348,128.66176333,1.726
41349,128.66487948,1.726
41350,128.66809755,1.726
41351,128.67124998,1.726
41352,128.67427946,1.728
41353,128.67736033,1.728
41354,128.68046559,1.728
41355,128.6835867,1.728
41356,128.68670894,1.73
41357,128.68993087,1.73
41358,128.69300122,1.732
41359,128.69607498,1.732
41360,128.69921996,1.732
41361,128.70233485,1.732
41362,128.70541707,1.734
41363,128.70859185,1.732
41364,128.71176805,1.732
41365,128.71483792,1.734
41366,128.71793076,1.734
41367,128.72101326,1.734
41368,128.72413839,1.734
41369,128.72729441,1.732
41370,128.73037505,1.732
41371,128.73349998,1.732
41372,128.73666296,1.732
41373,128.73976359,1.732
41374,128.74285059,1.732
41375,128.74594576,1.732
41376,128.74906363,1.732
41377,128.752226,1.73
41378,128.7553784,1.73
41379,128.75846661,1.73
41380,128.76163479,1.73
41381,128.76470255,1.728
41382,128.76776963,1.728
41383,128.77087646,1.728
41384,128.77403752,1.73
41385,128.77713413,1.73
41386,128.78027952,1.73
41387,128.78331513,1.73
41388,128.78646816,1.732
41389,128.78957159,1.734
41390,128.79266889,1.736
41391,128.79577241,1.738
41392,128.79894455,1.738
41393,128.8020105,1.742
41394,128.80513246,1.744
41395,128.80829085,1.746
41396,128.81137737,1.748
41397,128.81451296,1.75
41398,128.8176079,1.752
41399,128.82074789,1.754
41400,128.82388555,1.754
41401,128.82699453,1.754
41402,128.83010679,1.756
41403,128.83323637,1.756
41404,128.83636257,1.758
41405,128.8394545,1.758
41406,128.84260089,1.76
41407,128.84567996,1.762
41408,128.84881342,1.764
41409,128.8519527,1.766
41410,128.855059,1.766
41411,128.8581419,1.77
41412,128.86129416,1.772
41413,128.86438415,1.778
41414,128.86751279,1.78
41415,128.87063427,1.782
41416,128.87374609,1.784
41417,128.87691772,1.786
41418,128.88005591,1.788
41419,128.88312172,1.788
41420,128.88646926,1.792
41421,128.88933596,1.794
41422,128.89245629,1.796
41423,128.8956302,1.798
41424,128.89869557,1.8
41425,128.901794,1.802
41426,128.90498074,1.804
41427,128.90822859,1.806
41428,128.91123644,1.81
41429,128.91588724,1.814
41430,128.91739453,1.814
41431,128.92063965,1.816
41432,128.9237137,1.818
41433,128.9271795,1.818
41434,128.9298644,1.822
41435,128.93306398,1.824
41436,128.93608472,1.826
41437,128.93925183,1.828
41438,128.94236592,1.83
41439,128.94549783,1.834
41440,128.94856292,1.838
41441,128.95166887,1.842
41442,128.954802,1.844
41443,128.95794361,1.848
41444,128.96103402,1.852
41445,128.96423705,1.856
41446,128.96731081,1.858
41447,128.97037661,1.864
41448,128.973501,1.868
41449,128.97662503,1.87
41450,128.97972787,1.876
41451,128.98284696,1.878
41452,128.98599672,1.88
41453,128.98909526,1.882
41454,128.99226787,1.884
41455,128.99537029,1.886
41456,128.99852589,1.886
41457,129.001593,1.888
41458,129.00468174,1.89
41459,129.00779366,1.89
41460,129.0109137,1.89
41461,129.01402472,1.89
41462,129.01715711,1.89
41463,129.02031759,1.892
41464,129.02338016,1.892
41465,129.02648929,1.892
41466,129.02964253,1.89
41467,129.03276528,1.888
41468,129.03585116,1.888
41469,129.03899111,1.886
41470,129.0420672,1.882
41471,129.04526346,1.876
41472,129.04833163,1.872
41473,129.05146846,1.864
41474,129.0545657,1.862
41475,129.05765587,1.854
41476,129.06080489,1.846
41477,129.06392827,1.84
41478,129.06702131,1.83
41479,129.07016689,1.818
41480,129.07354361,1.81
41481,129.07639065,1.8
41482,129.0795002,1.788
41483,129.08264168,1.772
41484,129.08572992,1.756
41485,129.08889477,1.744
41486,129.09197491,1.734
41487,129.09520342,1.722
41488,129.09899235,1.708
41489,129.10139272,1.696
41490,129.10446796,1.676
41491,129.10758333,1.662
41492,129.110732,1.642
41493,129.11392807,1.624
41494,129.11699083,1.604
41495,129.12005422,1.576
41496,129.12317879,1.548
41497,129.12634322,1.518
41498,129.12947187,1.49
41499,129.13251879,1.464
41500,129.13565489,1.428
41501,129.13877263,1.398
41502,129.14189174,1.374
41503,129.14498431,1.346
41504,129.14810133,1.326
41505,129.15127981,1.312
41506,129.15436205,1.284
41507,129.1575527,1.272
41508,129.16059939,1.264
41509,129.163725,1.26
41510,129.16684959,1.254
41511,129.16992707,1.242
41512,129.17304787,1.224
41513,129.17617074,1.198
41514,129.17941898,1.172
41515,129.18242507,1.166
41516,129.18551761,1.158
41517,129.18862989,1.146
41518,129.19180461,1.128
41519,129.19486796,1.124
