time,vout
65.81177179,0.916
65.81487429,0.914
65.8179997,0.914
65.82109517,0.916
65.82420963,0.918
65.82732561,0.926
65.83044902,0.92
65.83355044,0.922
65.83667574,0.924
65.83983616,0.924
65.84291846,0.924
65.84604179,0.926
65.84915426,0.928
65.8522727,0.926
65.85537879,0.928
65.85850226,0.93
65.86161105,0.93
65.86477852,0.932
65.86785876,0.932
65.87097135,0.934
65.87409237,0.934
65.87721909,0.934
65.88033203,0.934
65.88342496,0.936
65.88654679,0.944
65.88966189,0.938
65.89283554,0.94
65.89593252,0.942
65.89903776,0.944
65.90215157,0.944
65.90526404,0.946
65.90838448,0.954
65.91150996,0.95
65.91460735,0.95
65.91778713,0.952
65.92086292,0.954
65.92397242,0.956
65.92709287,0.958
65.93021415,0.958
65.93332685,0.96
65.93644576,0.962
65.93956894,0.964
65.94268867,0.966
65.94584392,0.966
65.94893807,0.966
65.95204709,0.968
65.95517378,0.968
65.95828966,0.968
65.96139829,0.97
65.96452437,0.97
65.96762539,0.98
65.97079342,0.974
65.97387926,0.974
65.97699196,0.976
65.98011516,0.976
65.98322359,0.976
65.98635887,0.976
65.98947328,0.982
65.99257053,0.976
65.99567898,0.976
65.99885411,0.978
66.00192279,0.978
66.00504926,0.978
66.00815015,0.978
66.01127509,0.98
66.01438944,0.98
66.01751189,0.98
66.02062018,0.98
66.02380646,0.98
66.02685813,0.98
66.02994972,0.98
66.03306246,0.982
66.0361825,0.982
66.03929952,0.982
66.04240376,0.982
66.04551748,0.984
66.04863094,0.988
66.05179965,0.982
66.05486578,0.984
66.05799353,0.982
66.06109331,0.984
66.06420857,0.984
66.06733041,0.984
66.07043729,0.99
66.07356239,0.984
66.07667976,0.984
66.07980952,0.984
66.08288892,0.986
66.08601872,0.986
66.08912318,0.988
66.0922295,0.988
66.09533611,0.99
66.09845952,0.99
66.10156931,0.99
66.10468941,0.992
66.10781968,0.994
66.11092287,0.994
66.1140414,0.996
66.11714541,0.996
66.12025002,0.998
66.12337211,1.0
66.12646948,1.0
66.12958078,1.004
66.13269492,1.002
66.13581928,1.002
66.13891933,1.004
66.14202989,1.004
66.14513874,1.004
66.14826185,1.004
66.15135939,1.012
66.15448057,1.006
66.15757639,1.006
66.16069659,1.008
66.16382098,1.008
66.16692439,1.008
66.17001998,1.008
66.17313037,1.016
66.17625607,1.008
66.17935748,1.01
66.18247363,1.008
66.18558005,1.008
66.1886962,1.01
66.19182722,1.01
66.19492924,1.018
66.1980305,1.01
66.2011495,1.01
66.20426261,1.01
66.20739113,1.01
66.21049331,1.01
66.21361583,1.01
66.21672998,1.01
66.21989755,1.008
66.22295622,1.008
66.22607192,1.008
66.22918402,1.008
66.23228715,1.006
66.23540442,1.006
66.23851744,1.006
66.2416492,1.004
66.24474205,1.002
66.24789966,1.002
66.25096381,1.0
66.25406077,1.0
66.25716785,0.998
66.26028385,0.998
66.26340444,0.998
66.26652035,0.996
66.26961187,0.996
66.27271487,0.992
66.27583844,0.99
66.27895611,0.988
66.28206535,0.986
66.28517161,0.982
66.28829363,0.98
66.29139287,0.978
66.29451502,0.972
66.29762442,0.97
66.30074189,0.966
66.30389283,0.964
66.30696881,0.96
66.31009102,0.958
66.31319455,0.956
66.31630531,0.952
66.31942489,0.952
66.32253811,0.948
66.32566198,0.944
66.32884081,0.938
66.33191568,0.936
66.33500594,0.932
66.33812153,0.924
66.34123718,0.926
66.344356,0.914
66.3474709,0.91
66.35057685,0.904
66.35368009,0.896
66.35685009,0.886
66.35992618,0.878
66.36303487,0.866
66.36621122,0.852
66.36927296,0.842
66.37238926,0.832
66.37552365,0.818
66.37864853,0.8
66.38178228,0.788
66.38491066,0.776
66.38804385,0.754
66.3911985,0.742
66.39430202,0.728
66.39743016,0.712
66.40054665,0.702
66.40367352,0.69
66.40679622,0.678
66.40996946,0.674
